date,data,url
2018-11-12,"Reliance Industries Limited (RIL) Chairman Mukesh Ambani said on Monday that his company is working on creating the world's largest online-to-offline new commerce platform. This new platform will be created by integrating the power of Reliance Retail's physical marketplace with Jio's digital infrastructure and services, and will take on the likes of Amazon and Flipkart in India. He also said the company is aiming to transform businesses of 3 crore merchants in the country. Speaking during the Make in Odisha Conclave 2018 in Bhubaneswar, Ambani said since Jio commenced operations over two years ago, India has moved from the 155th rank in mobile broadband penetration to being the number 1 nation in mobile data consumption in the world. Ambani said his father Dhirubhai Ambani and Biju Patnaik, the father of Odisha Chief Minister Naveen Patnaik, shared a deep and personal friendship. ""Both were ahead of their times and inspired millions of Indians that nothing is impossible. Today, Odisha has been growing at 8% per annum, higher than the national average,"" said the RIL Chairman.Talking about the company's projects in Odisha, he said Reliance has emerged as one of the largest investors in the state. ""Reliance has already invested over Rs 6,000 crore in Odisha. Today, I am committing to investing additional Rs 3,000 crore in the next three years in our businesses in Odisha,"" he said, adding that the company has created new employment opportunities to over 30,000 people in the state. ""The world is at the cusp of a digital revolution. Everything in the world is going digital, including music, movies, commerce, banking, cars, homes, healthcare, education, etc -- every aspect of life is going digital,"" said Ambani, adding that newer digital technologies, with artificial intelligence at their core, are rapidly transforming our world like never before.Talking about his company's expansion in Odisha, he said Jio has connected all cities, towns, and 43,000 villages in Odisha. ""In the past eight months, several million villagers in Odisha have got affordable smartphones. Their lives are being digitally transformed and empowered,"" he said, praising Odisha for the highest per capita data consumption in the country. He said the company is working with the Odisha government on an initiative to integrate several lakh women in the digital mainstream under the ""Mission Shakti"" scheme. Its another project in the state, JioGigaFiber, will see a full-scale push in fixed broadband through fiber-to-home network, said Ambani, hoping that India would rise from the present 135th rank to be amongst the top three nations in fixed broadband within the next three years. Besides, the company has partnered with the state government to set up the Reliance Foundation's high-performance athletics centre in the state, which will train local talent under world-renowned experts.Edited by Manoj Sharma",https://www.businesstoday.in/current/corporate/reliance-platform-largest-world-transform-3-crore-merchants-mukesh-ambani/story/289960.html
2018-07-05,"The biggest announcement at Reliance Industries' 41st AGM meeting today was the launch of its fixed line broadband service, JioGigaFiber. ""While India has pole-vaulted into global leadership in the mobile broadband space, we still lag significantly behind in fixed line broadband. India is ranked quite low, at 134th spot in global rankings,"" said the company's Chairman and Managing Director Mukesh Ambani, adding that ""Jio is determined to move India to be among the Top 5"" in this space in the coming years.According to him, optical fibre-based fixed line broadband is the future and the company has already invested over Rs 250,000 crores for creating state-of-the-art digital infrastructure to provide mobile and broadband connectivity across the country with the largest fiber footprint. ""We will now extend this fiber connectivity to homes, merchants, small and medium enterprises, and large enterprises simultaneously across 1,100 cities to offer the most advanced connectivity solutions,"" he added.What does this mean for your home? Think mean ultra-high definition entertainment on your large screen TV, multi-party video conferencing from the comfort of your home, voice-activated virtual assistance, smart home solutions where 100s of devises like security cameras, home appliances and even light switches can be securely controlled by owners using a smartphone - even from outside the home - and more. ""This will redefine 24x7 emergency help for all homes across India,"" added Ambani.His children, Akash and Isha, then elaborated on JioGigaFiber potential and how it will work. The first step would be to install the GigaRouter at your premises. ""This will give you an ultrafast connection with gigabits per second speeds,"" promised Akash, adding that the router will also give you wall-to-wall high speed Wi-Fi coverage. Next, Jio will connect a second device, the GigaTV set-top box, to your large screen TV, which will allow you to watch ""600 plus"" channels and every other type of content possible. What more, you will be able to ""tell"" your Jio Remote what you want to watch, and the voice-command feature - available in multiple Indian languages - will play it immediately on your TV. ""This changes the way India will watch TV,"" he summed up.Another interesting feature is the JioGigaTV calling, which will allow you to make video calls to every other TV powered by JioGigaFiber as well as any mobile or tablet connected to any other network. ""Just imagine, every child in a JioGigaFiber home will have live access to the world's best educational content and the best teachers,"" said Isha, adding that ""anyone with a health problem can get real-time consultations with the best doctors right at home.""The icing on the cake is that the deal includes a virtual reality headset. ""Gone are the days of MBPS, now it will be all about GBPS. With JioGigaFiber every Indian home will become the most connected home in the world,"" she added.Jio is also going to roll out ""revolutionary"" smart home solutions. ""With some simple accessories that Jio will provide, every appliance, plug point, switch in your house will become smart,"" said Akash. How long will it take to set up such a smart home? ""Our engineers will come in and set up JioGigaFiber and all its smart home capabilities in as short as one hour,"" claimed Isha.According to Ambani, ""Starting this Independence Day, August 15th, you can start registering your interest for JioGigaFiber through both MyJio and Jio.com"". RIL is currently running beta trials in tens of thousands of homes for the JioGigaFiber. Those interested can register through MyJio or Jio.com. Starting August 15, you can register your interest in the JioGigaFiber. ""We will prioritize our JioGigaFiber rollout to those localities from where we receive the highest number of registrations,"" he added. This will be the largest greenfield fixed-line broadband rollout anywhere in the world.",https://www.businesstoday.in/sectors/telecom/jiogigafiber-launched-to-disrupt-indian-broadband-market/story/279925.html
2018-10-17,"Reliance Industries on Wednesday posted its highest ever net profit at Rs 9,516 crore in Q2 FY 19, up 17.35 per cent  (YoY). Mukesh Ambani-led oil-to-telecom conglomerate posted a 54.5 per cent rise in revenues to Rs 1,56,291 crore in the July-September quarter.The company posted record quarterly EBIT for petrochemicals, retail and digital services businesses. The EBIT of retail business jumped 272.5 per cent year-on-year to a record Rs 1,244 crore. However, the refining EBIT was down 19.61 per cent year-on-year. The EBIT of Petchem segment was up 63.7 per cent on a yearly basis to Rs 8,120 crore.Reliance Industries' telecom arm, Reliance Jio, reported standalone revenues of Rs 10,942 crore, up 51.7 per cent year-on-year. Jio logged a profit of Rs 681 crore in September quarter, up from Rs 612 crore in June quarter. The EBIT for RIL's digital business grew more than twice to 682.3 per cent. Commenting on the Q2 results, RIL Chairman Mukesh Ambani said, ""Our Company delivered robust operating and financial results for the quarter despite macro headwinds, with strong growth in earnings on Y-o-Y basis. Our integrated refining and petrochemicals business generated strong cash flows in a period of heightened volatility in commodity and currency markets.""""The financial performance of both Retail and Jio reflect the benefits of scale, technology and operational efficiencies. Retail business EBITDA has grown three fold on Y-o-Y basis whereas Reliance Jio EBITDA has grown nearly 2.5 times. Jio has now crossed 250 million subscriber milestone and continues to be the largest mobile data carrier in the world,"" Ambani added. Reliance Industries said it will acquire 66 per cent stake in Den Networks for Rs 2,290 crore and 51.3 per cent in Hathway Cable for Rs 2,940 crore. The move is likely to speed up the roll out of Jio GigaFiber by bringing under its fold 27,000 local cable operators who would help strengthen its fibre-based broadband service to households for offering ultra high definition entertainment on large screen TVs.RIL will make a ""primary investment of Rs 2,045 crore through a preferential issue under SEBI regulations and secondary purchase of Rs 245 crore from the existing promoters for a 66 per cent stake in DEN"", the company said in a statement. Also, it will make a primary investment of Rs 2,940 crore through a preferential issue for a 51.3 per cent stake in Hathway.RIL would also make open offers to minority shareholders of GTPL Hathway Ltd, a company jointly controlled by Hathway with 37.3 per cent stake, and Hathway Bhawani Cabletel and Datacomm Limited, a subsidiary of Hathway. Net subscriber addition for Jio was 37 million in July-September, as against 28.7 million in the previous quarter. The Average Revenue per User (ARPU), however, declined to Rs 131.7 per subscriber per month from Rs 134.5 in April-June. RIL said it will make a ""primary investment of Rs 2,045 crore through a preferential issue under SEBI regulations and secondary purchase of Rs 245 crore from the existing promoters for a 66 per cent stake in DEN"".Also, it will make a primary investment of Rs 2,940 crore through a preferential issue for a 51.34 per cent stake in Hathway.RIL would also make open offers to minority shareholders of GTPL Hathway Ltd, a company jointly controlled by Hathway with 37.3 per cent stake, and Hathway Bhawani Cabletel and Datacomm Limited, a subsidiary of Hathway, the statement said.With telecom continuing to drain investments, Reliance said its outstanding debt rose to Rs 2,58,701 crore as on September 30 as compared to Rs 2,42,116 crore on June 30 and Rs 2,18,763 crore on March 31.Cash in hand was marginally declined to Rs 76,740 crore, from Rs 79,492 crore in the previous quarter.The operator of world's largest oil refining complex saw pre-tax earnings from the business decline for the second quarter in a row. It fell 19.6 per cent to Rs 5,322 crore as margins dipped. In the first quarter the pre-tax earnings had fallen 16.8 per cent. The gross refining margin for the second quarter came in at $9.50 per barrel against $12 per barrel in the same period last year. This it attributed to significantly higher crude price (up 47 per cent over last year) and tight product cracks.The pre-tax loss of oil and gas business widened to Rs 480 crore from Rs 272 crore in the second quarter of 2017-18 due to the continued decline in production.",https://www.businesstoday.in/current/corporate/reliance-industries-posts-highest-ever-net-profit-in-q2-jio/story/285585.html
2018-11-04,"British bank HSBC has executed India's first financial transaction using blockchain for a deal involving an export by Reliance Industries to an American client. The blockchain-enabled letter of credit transaction was for a shipment from the Mukesh Ambani-led company to US-based Tricon Energy, and helped reduce the time required to process the documents.""The use of blockchain offers significant potential to reduce the timelines involved in exchange of export documentation from the extant seven-ten days to less than a day,"" RIL joint chief financial officer Srikanth Venkatachari was quoted as saying by PTI.The blockchain platform was integrated with the electronic bill of lading (eBL) platform to issue and manage an electronic bill of lading, it said, adding this allows a digital transfer of the title of goods from the seller to the buyer in the underlying trade.The statement claimed that the solution is a significant improvement for any organisation involved in buying and selling goods internationally, as it brings together all parties onto one platform.Blckchain solutions is a distributed database that maintains a continuously-growing list of ordered records called blocks and is deemed to be very transparent as all the stakeholders can view progress real time.A slew of domestic lenders, including ICICI Bank, SBI and Yes Bank among others are working on blockchain solutions and count trade finance as one of the best use cases for the technology because of the ability to cut down on time.HSBC's head of global banking and markets Hitendra Dave said blockchain has a transformative impact on trade finance transactions and enables greater transparency and enhanced security in addition to making it simpler and faster.That apart, it can ensure cost effectiveness, quicker turnaround and also potentially unlock liquidity for businesses, he added.For this transaction between Reliance and Tricon, the LC was issued by ING Bank, Brussels for Tricon Energy US with HSBC India as the advising and negotiating bank for Reliance, it said, claiming the how the transaction validates the commercial and operational viability of blockchain as an alternative to conventional exchanges for paper-based documentation.Explaining the current system, it said at present buyers and sellers use paper-based LCs to underpin transactions and physical documents are sent to each party in the transaction by post, courier or fax.While the current system provides a high level of certainty, the time and cost involved in processing the documents are deterrents for exporters.HSBC said it, along with five other banks globally supporting the 'Corda application', is seeking to expand the network on an open source basis to drive adoption across the industry.",https://www.businesstoday.in/current/economy-politics/hsbc-executes-india-first-overseas-blockchain-payment-for-reliance-industries/story/288187.html
2018-07-13,"A day after entering the $100 billion m-cap club, Reliance Industries' stock continued its rally on Friday to breach the 7 lakh crore market valuation. The RIL stock surged past the 1,100 mark to hit an all-time high of 1107.25 level taking the market capitalisation of Mukesh Ambani-owned conglomerate to Rs 7,01,404 crore (over $102 billion) on BSE. RIL has become the second company in the country to achieve this feat after TCS.It is not for the first time that Mukesh Ambani-led Reliance Industries (RIL) has crossed the $100 billion valuation mark. The m-cap of oil-to-telecom conglomerate had last scaled this milestone in October 2007 when the rupee was valued at 39.5 against the dollar. ""In every phase of our growth our mantra has been simple - set up a firm foundation. Then change the rules of the game. Then change the game itself,"" Ambani had told India Today in 2007. With the launch of Reliance Jio, one can safely say that the prophetic mantra RIL Chairman adhered to has helped the company catapult to Rs 6,88,766 crore valuation.Ambani, who took over the reins of the company his father founded, had also told India Today that RIL is always known for ""making paradigm and disruptive changes"" in the market place. It's costly bet on Jio is a testimony to the disruption that telecom sector in the country has undergone in the last two years.Rise of RelianceThe mammoth aspirations of Reliance date back to a time when Dhirubhai Ambani returned to India from Yemen in 1957 to start a yarn trading business from a small 500 sq.ft. office in Masjid Bunder area of Mumbai. Dhirubhai's first company was called Reliance Commercial Corporation.In 1960s, Dhirubhai and his cousin Champaklal Damani co-founded Reliance Commercial Corporation which ran a polyester business. In 1965, the partnership ended but Dhirubhai continued the business. Vimal, the first brand from Reliance, founded in 1966 at Naroda in Gujarat, became a household name.In 1977, when it was difficult to raise capital, Reliance Textile Industries' IPO created history by introducing the equity cult in India. The issue was oversubscribed seven times. In 1982, Reliance begins backward integration. Elder son Mukesh Ambani leads the establishment of Reliance's first mega manufacturing project at Patalganga in a record 18 months. Younger son Anil joins the business in 1983. In 1985, Reliance Textiles Industries was renamed Reliance Industries Limited as we know today. Reliance's backward integration journey continues. The Hazira plant coming on stream in 1991 laid the foundation for Reliance becoming the world's largest integrated producer of polyester.This was followed by mega polyester plant capacities, the mammoth Rs 25,000 crore, 27 mtpa refinery in Jamnagar. In 2000 Reliance commissioned the world's largest refinery in Jamnagar in a record 36 months. Following Dhirubhai Ambani's death in 2002, Mukesh Ambani became chairman and managing director of Reliance Industries Ltd and Anil Ambani was made vice-chairman. The market-capitalisation of the undivided Reliance Industries stood at Rs 28,598.97 crore.In 2002, the site Dhirubhai-6 (D6) block in Krishna-Godavari basin is where Reliance Industries Ltd (RIL) made the biggest gas discovery in India and started production of crude oil in May 2008 and natural gas in April 2009.Discovery of basin was announced on Oct. 31, 2002 at the AGM. The market cap on that day was Rs 37,241.39 crore (it rose by Rs 4545.21 crore in a single day). On Oct. 30, 2002, RIL's  m-cap stood at Rs 32,696.18 crore.In 2002, Reliance enters the Infocomm businessIn 2004, Reliance emerges as the first and only private Indian organisation to be listed in the Fortune Global 500 list. Reliance is also the first private sector company to be rated by international credit rating agencies - including Moody's, Standard and Poor's. Also, the feud between the brothers becomes public.In 2005, family reached a settlement to split the Reliance group in a deal brokered by their homemaker mother, Kokilaben.In 2006, Formal split takes place, with Mukesh taking control of flagship Reliance Industries, with interests in petrochemicals, oil and gas exploration, refining and textiles. Ambani launches a retail venture Reliance Retail.The Anil Dhirubhai Ambani Group gets telecom, power, entertainment and financial services. The Group includes Reliance Communications Ltd , Reliance Infrastructure Ltd , Reliance Capital Ltd , Reliance Natural Resources Ltd (RNRL) and Reliance Power Ltd.In 2009, Reliance commences production of hydrocarbons in its KGD6 block - against all odds - in just over two years of its discovery, making it the world's fastest green-field deepwater oil development project. With this development, Reliance completes an unprecedented backward integration journey.In 2014, Reliance Retail becomes the largest retailer by revenue.  In 2016, Mukesh Ambani announces the launch of Reliance Jio, which upended the mobile data tariffs in the country.In 2017, 170 days after its launch, Reliance Jio crossed 100 million subscribers mark. RIL Chairman launches JioPhone at 40th AGM of RIL. Ambani sets a target of 30 per cent growth each year over the next decade for Reliance Retail, which is expanding in rural and semi-urban markets. That is expected to take Reliance Retail to a revenue of Rs 4.65 lakh crore by 2027, which is not an easy task.In 2018, RIL along with its joint venture partners BP Plc and Niko Resources announced Rs 40,000 crore investment in oil and gas exploration and production. It roped in British giant BP Plc by offering 30 per cent stake in all of its hydrocarbon assets in a $7-billion deal in 2011 to arrest the production slide. However, BP also failed to increase the production, which stands at 5 million standard cubic metres a day (mscmd) now vis-a-vis its peak of 60 mscmd in 2010. Jio subscriber base grows to 215 million by 41st shareholders' meeting of RIL. Mukesh Ambani announces rollout of broadband network called JioGigaFiber and a new commerce platform.RIL's outstanding debt stood at Rs 2,18,763 crore at the end of last fiscal, while cash and cash equivalent stood at Rs 78,063 crore - largely in bank deposits, mutual funds, corporate deposits, government bonds and other marketable securities.With Reuters inputs",https://www.businesstoday.in/current/corporate/how-mukesh-ambani-turned-reliance-into-a-100-billion-dollar-firm/story/280218.html
2018-07-11,"The Sensex rose to its all-time high in early trade today amid gains in banking stocks and higher Asian markets. While the Sensex climbed to a new high of 36,540, Nifty opened above 11,000 mark for the first time since January 29, 2018. At 9:58 am, the Sensex was trading 258 points higher at 36,523 level with Nifty rising 75 points to 11,023 level. On January 29, Sensex and Nifty reached all time high levels of 36,443 and 11,171 levels, respectively on expectations from Union Budget and optimism over Q3 earnings. Reliance Industries (1.90%), SBI (1.78%) and IndusInd Bank (1.75%) were the top Sensex gainers. TCS which reached its all-time high of 1995 yesterday over strong Q1 earnings succumbed to profit booking and was trading just 0.62% higher compared to its previous close.Market breadth was positive with 1194 stocks trading higher against 442 falling on the BSE index. Manoj Sachdeva, Research Head at Hem Securities said, ""Indian equity benchmarks traded on strong note throughout the day and ended the session with modest gains after tracking firmness in Asian cues. Key Indices opened on an upbeat note despite lingering concerns regarding escalating US-China trade war during previous session. Meanwhile investors are awaiting May industrial growth (IIP) data and June retail inflation (CPI) data, due later in the day. Reliance Industries rose 4-5 percent and hit all time high and touched market capitalisation of $100 billion. On the sectoral front, Oil & Gas, Capital Goods, Bank and FMCG were top gaining indices on BSE while on the flip side; Metal, Realty, Information Technology and Consumer Durables were top losing indices on BSE. The top gainers on the Sensex were Reliance, Wipro, LT, HUL and HDFC while on the flip side; Vedanta, Infosys, Bajaj Auto, M&M and Hero Motocorp were the top losers. On global Front; Asian markets shut the day on a green note while European indices were trading in green"". Among sectoral indices, BSE bankex was the top gainer rising 1.04% or 308 points  to 29,994 level. Bank Nifty too rose 294 points to 27,109 level. Oil and gas index too rose 1.91% or 266 points to 14,195 level. Among 19 BSE sectoral indices,16 were trading higher.Meanwhile, the rupee firmed up by 19 paise to 68.58 against the dollar in early trade ahead of release of key index of industrial production (IIP) and inflation data amid foreign capital inflows.Forex dealers said selling of the greenback by banks and exporters supported the rupee. However, dollar's strength against other currencies overseas, due to mounting US-China trade tensions and strong US inflation data, capped the gains.Asian markets Asian stock markets rose Thursday following Wall Street's decline amid US-Chinese trade tensions and oil prices recovered some of the previous day's steep losses.The Shanghai Composite Index rose 1.1 percent to 2,809.42 and Tokyo's Nikkei 225 gained 1.2 percent to 22,181.13. Sydney's S&P-ASX 200 added 0.7 percent to 6,258.00 and Seoul's Kospi advanced 0.4 percent to 2,289.31. Benchmarks in Taiwan and Southeast Asia also rose. Hong Kong's Hang Seng was unchanged at 28,309.61. New Zealand declined.",https://www.businesstoday.in/markets/stocks/sensex-rises-all-time-high-nifty-reliance-industries-sbi-indusind-bank/story/280198.html
2018-05-18,"The Reliance Communications (RCom) stock closed 7.25 per cent lower today amid reports that there were no talks for an out-of-court settlement with Swedish communications equipment major Ericsson on a plea filed against the Anil Ambani firm and two of its subsidiaries seeking to recover Rs 1,150 crore. The stock  closed 7.25 per cent lower at 15.35 on the BSE. The share which gained over 72 per cent in two days pared gains in last two hours of trade on reports denying any talks between the two firms.However, later in a press release, Reliance Communications confirmed the development to the BSE and said, ""We confirm that RCom and Ericsson are at an advanced stage of discussions to expeditiously resolve commercial issues. This will enable Reliance Communications to exit the NCLT process. RCom is confident to expeditiously proceed with its monetisation plan with Reliance Jio and overall Resolution Plan with the lenders, keeping in mind the interests of all stakeholders.""Earlier in the day, the stock was the top BSE gainer today. Ericsson, which inked a seven-year deal in 2014 to operate and manage RCom's nationwide telecom network is trying to recover over Rs 1,000 crore in dues from the Anil Ambani firm. National Company Law Tribunal had admitted three petitions filed by Ericsson against the telco and its subsidiaries and ordered bankruptcy proceedings against Reliance Communications. If the two parties reach a pact, they would have to approach the NCLT to repeal the order.The stock has been on fire on the prospects that if a settlement outside NCLT is allowed, it may help RCom to move ahead with the sale of its telecom tower business to Anil Ambani's elder brother-run Reliance Industries for over Rs 23,000 crore, apart from monetising other assets including selling its sprawling DAKC premises to a Chinese lender. Reliance Communications owes around Rs 45,000 crore to as many as 31 domestic and international banks, including over Rs 10,000 crore to a Chinese lender.At 12:02 pm, the stock was trading 14.80 percent higher at 19 level on BSE. It hit an intra day high of 20.65 level in trade today. The stock has risen 72.71% in two sessions. On Thursday, the stock closed 57 percent higher to 16.55 on BSE. Buying was also seen in other ADAG stocks, with Reliance Naval and Engineering rising 33.07 per cent, Reliance Capital (4.64 per cent) and Reliance Infrastructure (3.21 per cent) yesterday.Today, Reliance Naval stock rose 8.88%, Reliance Capital down 0.79% and Reliance Infrastructure up 0.06% on the BSE.The stock opened with a gain of 9.97% today. The stock has been highly volatile with an intra day volatility of 9.03% (calculated on the basis of weighted average price). The stock has given 38.32% returns during the week against sectoral returns of -4.37%. The stock has fallen by 33.27% during the last three months.Due to mounting losses, the company began to wind down its mobile operations from last November. It was also not servicing the debt for many quarters before that as it was looking to recast the loans but did not materialise and since then many of its creditors had taken RCom to bankruptcy court. The company is set to report earnings for the quarter ended March on May 19.The market valuation of other companies of Anil Ambani are not anywhere close their peaks. Reliance Power, which had a Rs 11,700 crore IPO in 2008, is now valued at Rs 10,000 crore, lower than the capital it raised from IPO. The peak valuation of Reliance Power was over a lakh crore in February 2008. The engineering, procurement and construction (EPC) firm, Reliance Infrastructure is the largest in the group according to the market capitalisation at over Rs 10,400 crore. Reliance Capital is the third largest company in the group considering the valuation in the market at Rs 9,900 crore, though the company's value is one seventh of its peak. Reliance Naval & Engineering (RNE), the erstwhile Pipavav Shipyard which was acquired by Reliance Infrastructure in 2015, is valued Rs 1,240 crore.The total market value of the Anil Ambani's Reliance Group companies comes to around Rs 36,000 crore now, compared to aggregate peak values of over Rs 4 lakh crore. For comparison, his elder brother Mukesh Ambani's Reliance Industries is valued just below Rs 6 lakh crore in the market.",https://www.businesstoday.in/markets/company-stock/reliance-communications-rcom-stock-ericsson-settlement-nclt-anil-ambani/story/277197.html
2018-08-23,"Mukesh Ambani-led Reliance Industries (RIL) on Thursday became the first Indian company to cross Rs 8 lakh crore market capitalisation, racing ahead of Tata Sons' crown jewel TCS by more than Rs 20,000 crore in valuation. The Reliance Industries' stock closed 1.86 per cent or 23.20 points higher at Rs 1,269 level on BSE today, taking its m-cap to Rs 8,04,691 crore. RIL stock has gained 37.85 per cent since the beginning of this year.The market valuation of oil-to-telecom conglomerate crossed the $100-billion mark last month. A few days later, its m-cap surged past Rs 7 lakh crore, making it the second company after IT bellwether Tata Consultancy Services to achieve the coveted milestone. TCS had crossed the $100 billion milestone on April 23.While RIL is the first homegrown major to achieve this feat, the aggregate market capitalisation of 15 Tata group companies comes to Rs 11.32 lakh crore. Also, the collective valuation of Deepak Parekh-led financial services behemoth HDFC Group had recently crossed Rs 10 lakh crore. This includes HDFC Ltd, HDFC Bank, HDFC Asset Management Company and HDFC Standard Life Insurance Company.It's not just the shareholders who are reaping in the benefits of sky high valuations, promoters too have seen their wealth grow exponentially.Ambanis own 47.35 per cent stake in RIL, compared to 71.92 per cent held by promoters of TCS. With today's hike in stock prices, the collective wealth of Ambani family has risen to Rs 3,81,021 crore.The aggregate value of promoter holdings in 15 top Tata group companies has crossed $100 billion (Rs 7.03 lakh crore), thanks to the recent surge in TCS and Titan stocks and the depreciation witnessed in the Indian rupee. The Tata Trusts through the holding companies -- Tata Sons and Tata Industries -- control the promoter stake in group companies. Edited By Karan Dhar",https://www.businesstoday.in/markets/stocks/reliance-industries-ril-first-indian-company-to-cross-rs-8-lakh-crore-market-cap/story/281569.html
2018-02-03,"Reliance Industries chairman Mukesh Ambani today announced an investment of Rs 2,500 crore in Assam in various sectors, including retail, petroleum, telecom, tourism and sports, creating jobs for at least 80,000 people over the next three years.""Today I am happy to announce five commitments for Assam over the next three years. Reliance will invest an additional Rs 2,500 crore to augment its presence in this market,"" he said at the inaugural function of the Global Investors Summit 2018 here. Under this programme, the company will enhance its retail division's outlet to 40 from existing two, while the number of petrol depots will be increased to 165 from the existing 27,"" Ambani said.""We are also going to open new offices in all 145 tehsil headquarters across Assam. Our approach has always been to create sustainable livelihood opportunities and have generated 20,000 jobs in Assam,"" he added.Assam has always been a low priority market for other telecom operators, but it is a 'Category A' market for Reliance, he added.""We now target to increase the sustainable livelihood opportunities by five-fold to 1,00,000 jobs,"" Ambani said.In the tourism sector, the company's CSR wing Reliance Foundation will partner with Assam government to set up a centre at an university to promote ""wildlife protection and eco-tourism"", he added.""In football, ISL is a huge success in Assam. We have decided to establish a top class football academy in partnership with Government of Assam to produce global players from the state,"" Ambani said.Reliance Industries has become the largest private sector investor in Assam by putting in Rs 5,000 crore over the last few years, he said.The company's telecom arm 'Jio' has over 30 lakh users at present and aims to increase it manifold in the coming months, he added.Complimenting Assam Chief Minister Sarbananda Sonowal for organising the 'Advantage Assam - Global Investors Summit 2018', Ambani said: ""Assam's development potential is limitless. In 50's, the state was a developed one with its per capital income more than the national average."" The Global Investors Summit is happening at an appropriate time with the country also ""rising under the leadership of a very popular Prime Minister Narendra Modi"", whose thrust on 'ease of living' is touching many other countries, he added.Ambani also praised Prime Minister Narendra Modi for his government ""presenting one of the best budgets in recent times"" by focusing on all segments of the society, including the farmers.",https://www.businesstoday.in/current/corporate/reliance-industries-to-invest-rs-2500-crore-in-assam-create-80000-jobs-says-mukesh-ambani/story/269662.html
2018-08-15,"Reliance Industries, which operates the world's largest refining complex, has declared force majeure on gasoline exports from its Jamnagar site, four people familiar with the matter said on Wednesday, potentially boosting margins for other suppliers of the oil product. The force majeure follows an unspecified issue at a gasoline-producing fluid catalytic cracker (FCC) unit in its export-oriented refinery with a capacity of more than 500,000 barrels per day (bpd) in the special economic zone in Jamnagar, two of the people said.Force majeure is typically declared when matters deemed beyond a refinery's control disrupt supplies, allowing it to void some of its contractual obligations to customers.Reliance operates one other refinery in Jamnagar, in Gujarat, which mainly meets domestic demand.The people said at least two gasoline cargoes scheduled for this month's loading from Reliance were affected, one of which was destined for Fujairah in the United Arab Emirates. The people declined to be identified because they were not authorised to speak with media.A Reliance Industries spokesman did not answer mobile telephone and email requests for comment.The force majeure on gasoline supplies was declared this week and this could last at least eight days, one of the four people said. It was not immediately clear what the issue at the FCC was, but it is expected to be resolved soon, another source said.""This will have quite an impact on the (Asian) gasoline market,"" said a Singapore-based trader, adding that the market was already reacting to talk of trouble at Reliance's gasoline-making unit even before it had declared force majeure.Reliance had offered a heavy naphtha cargo to the export market last month, which traders took as a sign its gasoline-making unit could be hit by glitches. Heavy naphtha is a feedstock for gasoline or paraxylene and Reliance does not usually offer the grade as it needs the feedstock.Asia's gasoline crack, the premiums or losses of refining a barrel of Brent crude into petrol, hit a fresh 2-1/2 month high of $8.69 a barrel on Aug. 10, before easing to $8.62 a barrel on Tuesday.",https://www.businesstoday.in/current/corporate/reliance-industries-force-majeure-on-gasoline-jamnagar-plant/story/281334.html
