date,data,url
2018-07-04,"Reports suggest that RIL could well announce the commercial launch and prices for its broadband venture, JioFiber service. So what is JioFiber and how is it different from other broadband connections?   JioFiber is the latest offering from Jio for your home. It offers ultimate broadband experience to surf, stream, game and work, because of its ultra-fast upload and download speeds and effective functioning in merely “milli seconds”. JioFiber connectivity comes directly to your home unlike in most cases where the fiber reaches only until the building and the last few meters of end connectivity is done using the traditional cable which drastically reduces the speed and user experience due to patches and inferior cable qualities of such patch up. The current offer as listed on the Jio website is the JioFiber preview offer which gives you ultra high-speed internet up to 100Mbps for 90 days along with a monthly data quota of 100 GB and a complimentary access to a host of Jio's premium apps.  Highlights from March quarter results: Reliance Industries reported a consolidated net profit of Rs 9,459 crore for the March quarter, up 17 percent compared to the same quarter of the previous year. Consolidated quarterly revenues stood at Rs 1.29 lakh crore, up 39 percent quarter on quarter. Earnings before interest, taxes, depreciation, and amortisation (EBITDA) rose 5 percent, QoQ, to Rs 18,469 crore, and the operating margin was 15.8 percent. Jio has continued its strong subscriber growth trend with net addition during the quarter of 26.5 million and its total count reached to 186 million. Higher competition has capped ARPU to Rs 137 which resulted in lower revenue of Rs 8,421 crore. Most brokerages have highlighted that the results have largely been in line with estimates, but have raised target prices up to Rs 1,200. Markets are expected to go up in anticipation of the conglomerate's retail IPO. Brokerages such as CLSA and Kotak Institutional Equities already ascribe an enterprise value of over ₹ 1 trillion for Reliance Retail, and valuations can be far higher on listing. (Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited)​   .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/what-to-expect-from-reliance-industries-limiteds-41st-agm-today-1801371.html
2018-10-16,"According to a Bloomberg poll of seven brokers, RIL's consolidated net sales is expected to come in at USD 1.41 trillion; net profit is estimated at USD 9,630.20 crore by 10 brokers.   During the July-September quarter, RIL had raised prices of its key petrochemical products to offset higher crude oil prices and counter the effect of a weakening rupee. Bulk chemicals traders, suppliers for RIL’s petrochemical products and analysts tracking the company said it raised prices by 10-21% in Q2 2018-19 while year-on-year increase is 17-61%. On the telecom front, Morgan Stanley expects Reliance Jio to have added about 35 million subscribers in Q2. Average revenue per user (ARPU) was seen declining by 2% quarter-on-quarter, leading to 13% quarterly revenue growth. “Some increase in opex (operating expenditure) could compress the earnings before interest, taxes, depreciation and amortisation (ebitda) margin, but we expect 10% quarter-on-quarter EBIDTA growth,"" said Morgan Stanley research in a report dated 9 October. EBIDTA is the measure of operating profit of a company. However, the refining business slowdown could continue, the gross refining margins have fallen a tad bit this time around to USD 10.2 per barrel versus USD 10.5 per barrel last quarter. On the petchem EBIDTA, last quarter it had hit a record high, the EBIDTA is expected to rise further by 8 percent quarter-on-quarter (Q-o-Q) to come in at Rs 8,490 crore, refining could see a bit of a downtick, so the EBIT could fall about one percent Q-o-Q, the retail business has been growing at a scorching pace, that pace is expected to continue and Rel Jio as well – subscriber additions will increase, so a revenue growth of around 12.5 percent is expected.  (Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited) .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/ril-q2-results-today-heres-what-to-expect-1911609.html
2018-03-23,"Of the $100 million, $20 million will be invested upfront, the company said, adding that the three co-founders of Saavn — Rishi Malhotra, Paramdeep Singh, and Vinodh Bhat — will continue in their respective leadership roles at the combined entity.   The investments will be made in the form of rupee-equivalents of the amounts mentioned above. In addition to this deal, Reliance Industries will also acquire a part of the stake held by Saavn’s existing shareholders for a sum of $104 million. Saavn’s shareholders, including Tiger Global Management, Liberty Media, and Bertelsmann, will continue holding the remainder of their stake. “We are delighted to announce this partnership with Saavn, and believe that their highly experienced management team will be instrumental in expanding Jio-Saavn to an extensive user base, thereby strengthening our leadership position in the Indian streaming market,” said Akash Ambani, Director, Reliance Jio. Currently, JioMusic has been India’s fastest growing music streaming application for over 60 consecutive weeks. It sources content from all major Indian and international labels and currently has over 16 million high definition songs across 20 languages. Saavn has the unique distinction of being the only streaming service to feature on lists of top-grossing apps in numerous markets such as India, UK, Canada, United States, UAE, and Singapore, among others. ""The combined entity will have both Saavn’s streaming media expertise and Jio’s digital ecosystem to leverage. It will aim at benefitting all the stakeholders involved – users, music labels, artists, and advertisers,"" Reliance Industries said in the statement.  (Disclosure: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited that also owns Reliance Jio) .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/reliance-clubs-jiomusic-and-saavn-to-create-1-billion-digital-music-platform-1698441.html
2018-04-27,"On attrition rate in the company, he said it was about 32 percent in the sales and technical areas related to constructions sites. ""If it is taken at the headquarters level, it is just 2 per cent. Average if you go it will come down to 18 percent,"" he explained.   Jog said the company was having a partnership with about 6,000 colleges, including technical institutions, across the country. According to him, there are some embedded courses offered in these institutions and students who clear these are ""Reliance ready"". He said hiring would also be done through referrals and now with the help of social media platforms. Recruitments through referrals now accounted for about 60 per cent to 70 percent of the hiring, he said, adding college and employees"" referrals ""are the two major contributors to our hiring plans.""  (Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited)  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/india/reliance-jio-to-hire-up-to-80000-people-heres-how-to-apply-1731763.html
2018-07-09,"The Empowered Expert Committee constituted by the central government to assess applications had laid out four conditions for an institute to make the cut—availability of land for construction of the institution, putting in place a core team with very high qualification and wide experience, making available funding for setting up the institution and a strategic vision plan with clear annual milestones and action plan. N Gopalaswami, who headed the panel to select the institutes, said, “We looked at the (Jio) proposal and it turned out to be fit for the tag. They have a plan in place, they have funding, a place for a campus and everything that was required under the said category.”  The other members of the Empowered committee were Prof. Tarun Khanna, Prof. Pritam Singh & Renu Khatore  The government granted IoE status to IIT-Delhi, IIT-Bombay and the Bengaluru-based Indian Institute of Science (IISc) in the public sector.  In the private sector, Manipal Academy of Higher Education and BITS Pilani were selected apart from the Jio Institute. The two institutes were selected in the brownfield category.   While government institutes will be eligible for both greater autonomy and additional funding of up to Rs 1,000 crore, private institutes will not be eligible for any funding.   (Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited) .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/india/jio-institute-picked-as-an-institute-of-eminence-selection-panel-head-explains-why-1806457.html
2018-08-12,(Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited) .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px},https://www.news18.com/news/tech/reliance-jio-gigafiber-pre-bookings-start-from-august-15-all-you-need-to-know-1842397.html
2018-08-14,"At Reliance AGM 2018, the company had announced that it will be bringing Facebook, YouTube and Google Maps integration to the JioPhone. Starting August 15, the JioPhone users can avail these services on their 4G enabled feature phone. Jio has also announced that the phones will soon receive WhatsApp integration soon.  Jio had also recently launched a Monsoon Hungama Offer in which any feature phone user can exchange their existing feature phone for a brand new JioPhone for an effective price of Rs 501.   Jio GigaFibre:Jio GigaFiber broadband registration has officially begun in India. Reliance Jio announced its next big launch after the JioPhone - called JioGigaFiber - last month at RIL’s Annual General Meeting (AGM). The company has officially thrown open the registrations starting August 15, 12 am midnight. Keep in mind that right now Reliance Jio’s GigaFiber service is still a preview offer. The all-in-one service will include access to a router and JioGigaTV. The Jio GigaRouter will provide high-speed internet connectivity with speeds up to 1Gbps, while JioGigaTV set-up-box will give its users access to over 600 channels, thousands of movies, and millions of songs. To register your interest, you can simply visit the company’s website jio.com or download MyJio app. You will be asked to provide details like name, mobile number, address, email account and other details. The registration is free of cost.  JioPhone: At this year's Reliance AGM, Jio had announced that the company will be bringing Facebook, WhatsApp as well as YouTube integration to its JioPhone devices. Now the company has confirmed the rollout of the same, which will now be starting from August 15.  In a recent announcement, Reliance Jio has confirmed that the JioPhone users will be getting Facebook, YouTube and Google Maps integration beginning August 15. While the update misses out on WhatsApp integration for now, the company has promised to begin its roll out soon.  (Disclaimer: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited)  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/tech/reliance-jiophone-2-jiophone-and-gigafibre-everything-you-need-to-know-1845215.html
2018-11-11,"“The Centre will produce Olympic-level athletes,” said Ambani.   Top industrialists of the country, including chairman and founder of Adani group Gautam Adani, chairman of Mahindra Group Anand Mahindra and chairman of Jindal Steel and Power Limited Naveen Jindal, attended the second edition of the Make in Odisha Conclave. The first edition of Make in Odisha conclave was held in 2016. Earlier, Chief Minister Naveen Patnaik had personally met top industrialists in Chennai, Mumbai and Delhi and invited them to explore business opportunities in Odisha. Naveen had also met ambassadors of various countries in New Delhi in connection with the conclave for which Japan is the country partner. During the five-day conclave, Odisha will showcase the state as an emerging manufacturing hub of eastern India that can offer huge investment opportunities. The state government has also been highlighting its single-window clearance policy, hassle-free approval processes and friendly-business ecosystem for investments. The theme of the Make in Odisha Conclave is “I am Odisha”, which celebrates the success of the state in creating a vibrant eco-system for the growth of industry. During the conclave, the state government has also planned a number of tourism related initiatives, including a golf tournament and heritage walk, at Khandagiri and Udaygiri caves.  (Disclosure: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited)  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/reliance-to-invest-rs-3000-crore-in-odisha-set-up-high-power-athletic-centre-1936367.html
2018-09-22,"The statement by the ministry came a day after French publication 'Mediapart' quoted Hollande as saying that the Indian government proposed Reliance Defence as the partner for French aerospace giant in the Rs 58,000 crore Rafale deal and France did not have a choice.   The Dassault Aviation has chosen Reliance Defence Ltd (RDL) as the Indian partner to fulfil offset obligations of the deal and both companies have already announced setting up of a joint venture to manufacture aerospace components. The opposition parties have been accusing the NDA government of favouring the RDL over state-run aerospace behemoth Hindustan Aeronautics Ltd. The government has been maintaining that it has no role in selection of RDL by Dassault Aviation. ""The reported statement perhaps needs to be seen in its full context  where the French media has raised issues of conflict of interest involving persons close to the former President. His subsequent statements are also relevant in this regard,"" the ministry said, seen as a reference to a recent media report linking the Rafale deal with a film by Hollande's partner Julie Gayet. The report had said Ambani's Reliance Entertainment had signed an agreement with Gayet to produce a film before the Rafale deal was sealed. Hollande, who was France's president when procurement of 36 Rafale jets was announced in April 2015, rejected the report. ""Incidentally, media reports of February, 2012 suggest that Dassault Aviation, within two weeks of being declared the lowest bidder for procurement of 126 aircraft by the previous government, had entered into a pact for partnership with Reliance Industries in defence sector,"" the defence ministry said. The previous UPA government was negotiating with Dassault Aviation for procurement of 126 Rafale jets under which 18 jets were to supplied in a fly-away condition and 108 were to be manufactured in India by the French company along with HAL. However, the UPA could not seal the deal. In its statement, the defence ministry said the joint venture between RDL and Dassault Aviation is a ""purely commercial arrangement"" between two private companies. The joint venture came into force in February, 2017. It said the offset can be discharged by many means such as direct purchase of eligible products and services, FDI in joint ventures and investment towards equipment and transfer of technology. ""As per Defence Offset Guidelines, the foreign Original Equipment Manufacturer (OEM) is free to select any Indian company as its offset partner."" Under India's offset policy, foreign defence entities are mandated to spend at least 30 per cent of the total contract value in India through procurement of components or setting up of research and development facilities. The ministry also referred to a press release issued by Dassault Aviation stating that the company has signed partnership agreement with several companies and is negotiating with hundred odd other companies.  ""As per the guidelines, the vendor is to provide the details of the offset partners either at the time of seeking offset credit or one year prior to discharge of offset obligation, which in this case will be due from 2020,"" said the ministry. The Congress has been accusing massive irregularities in the deal, alleging that the government was procuring each aircraft at a cost of over Rs 1,670 crore as against Rs 526 crore finalised by the UPA government when it was negotiating procurement of 126 Rafale jets.   .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/india/have-no-role-in-selection-of-anil-ambani-firm-for-rafale-deal-says-govt-after-francois-hollandes-claim-1885903.html
2018-06-07,"Also Read: Samsung Galaxy Note 9 Renders Show Dual Rear Cameras, Fingerprint Scanner, Infinity Display And More   The report said that in the very first year of commercial operations, digital services business recorded revenue of Rs 23,916 crore.  Reliance's gross debt was at Rs 2,18,763 crore during 2017-18 which includes standalone gross debt of Rs 58,392 crore of Reliance Jio, according to the report.  ""During FY 2017-18, Reliance Jio Infocomm Limited (RJIL) successfully refinanced long-term syndicated loans aggregating USD 1.5 billion, resulting in substantial interest,"" the report said.  The report said that Reliance Jio has built India's largest a next generation all-IP data network with latest 4G LTE technology which is ready to deploy 5G technology and beyond.  RJIL's total spectrum footprint at the end of 2017-18 stood at at 1,108 MHz (uplink + downlink) across three spectrum bands namely 800 MHz, 1800 MHz and 2300 MHz band across all the 22 circles with an average life of over 15 years.  ""All of this spectrum is liberalised and can be used for rolling out any technology,"" the report said. (Disclosure: News18.com is part of Network18 Media & Investment Limited which is owned by Reliance Industries Limited that also owns Reliance Jio)  Also Watch: Karbonn Titanium Frames S7 Review: A Decent Budget Deal .embed-container { position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; max-width: 100%; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/tech/reliance-jio-aims-to-cover-99-population-by-end-of-fy18-1772287.html
