date,data,url
2018-07-02,"Tata Steel Ltd will be able to nearly double its capacity in India as a deal between its British entity and Germany's ThyssenKrupp will reduce the Indian parent's debt, the chairman of the company said on Monday. Tata Steel and ThyssenKrupp signed a deal on Saturday after months of negotiations to form Europe's second biggest steel company in which Tata and ThyssenKrupp will have a 50:50 partnership. ""Because Europe becomes stronger, it reduces our leverage,"" Tata Steel Chairman N Chandrasekaran told a news conference in Brussels that was shown in India via a webcast. ""(The deal) allows Indian operations to grow and address the Indian market,"" he said.Chandrasekaran and ThyssenKrupp Chief Executive Heinrich Hiesinger jointly addressed the conference. The deal will allow Tata Steel to transfer up to 2.6 billion euros ($3 billion) of debt on its European business to the joint venture company, relieving the Indian parent from substantial interest payments, he said.Chandrasekaran, who is also the chairman of the salt-to-software conglomerate Tata Group, said Tata Steel aims to increase its capacity in India from 13 million tonnes per annum currently to 25 million tonnes.While he did not give a timeline at the conference in Brussels, he had said in September that Tata Steel would like to double its capacity in India in five years. In the last few months, the third-biggest steelmaker in India has been one of the most aggressive companies in picking up distressed assets after a new bankruptcy code pushed several steel companies into debt resolution in India.The company picked up debt-ridden Bhushan Steel Ltd for 352.33 billion rupees ($5.12 billion) in May and has been short-listed as the highest bidder for unlisted Bhushan Power and Steel Ltd. Together, the two acquisitions would help the company to increase its market share in India while also lead to a higher debt, analysts have said.Restructuring in Europe allows the company to focus on opportunities in India, said TV Narendran, chief executive of Tata Steel, said in Brussels. ""It will not be a company that will be sucking cash but will be generating cash,"" Koushik Chatterjee, executive director of Tata Steel told analysts on Saturday.",https://www.businesstoday.in/current/corporate/tata-steel-chairman-says-deal-to-help-nearly-double-indian-capacity-after-thyssenkrupp-deal/story/279820.html
2018-05-18,"Tata Steel, through its wholly-owned subsidiary Bamnipal Steel Limited (BNPL), has acquired a controlling stake in the debt-laden Bhushan Steel. The steel producing arm of salt-to-software conglomerate got 72.65 percent stake in Bhushan Steel. Under this acquisition, Tata Steel acquired 79 crore share at Rs 2 each.""Tata Steel Limited hereby announces that Bamnipal Steel Limited (BNPL), a wholly-owned subsidiary of Tata Steel has successfully completed the acquisition of controlling stake of 72.65% in Bhushan Steel Limited (BSL) in accordance with the approved Resolution Plan under the Corporate Insolvency Resolution Process (CIRP) of the Insolvency and Bankruptcy Code 2016 (IBC) which has been managed by Mr. Vijaykumar V. Iyer, Partner, Deloitte Touche Tohmatsu India LLP in his capacity as the resolution professional,"" Tata Steel said in a BSE filing.In its statement, Tata Steel assured that all necessary approvals, like from Competition Commission of India (CCI) and National Compan Law Tribunal (NCLT), have already been secured. The admitted CIRP cost and employee dues have been paid, as required under IBC, said the company.Settlement of Rs 35,200 crores towards financial creditors of BSL is being carried out as per the terms of resolution plans and corresponding transaction documents. Additional Rs 1,200 crore will be paid to the operational creditors of BSL over the course of 12 months as per their admitted claims and as per the terms of the approved Resolution Plan, Tata Steel said in its statement.""The investment from BNPL in BSL has been done through a combination of the equity of Rs 158.89 crore and inter-corporate loan of Rs 34,973.69 crore. Additionally, Rs 100 crore has been paid by BNPL to the financial creditors of BSL as consideration for novation of the remaining financial debt of BSL. The acquisition is being financed through a combination of an external bridge loan of Rs 16,500 crore availed by BNPL and balance amount through investment by Tata Steel in BNPL. The bridge loan availed by BNPL is expected to be replaced by debt raised at BSL over time,"" the company said in its statement.Now that the acquisition is complete, the nominees of BNPL have been appointed on the Bhushan Steel after the existing directors of BSL have stepped down as per the approved resolution plan. As per the NCLT-approved resolution plan, BNPL has been named as the promoter of BSL and the outgoing promoters have been classified as public shareholders.",https://www.businesstoday.in/current/corporate/tata-steel-subsidiary-acquires-72-per-cent-stake-in-bhushan-steel/story/277269.html
2018-01-04,"The Sensex and Nifty closed higher in Thursday's trade  with capital goods and consumer durables stocks leading the gains. While Sensex rose 176 points to 33,969, Nifty was up 61 points to 10,504 level. The markets gained steam during the last hour of trade. Metal stocks too contributed to the rally with BSE metal index rising 420 points  to 15,578 level on BSE. The BSE consumer durables and capital goods index rose 578 points and 408 points, respectively.Public sector bank stocks  too rose after finance ministry cleared proposal for infusion of Rs 7,577 crore in six weak public sector banks (PSBs) as part of the recapitalisation plan to bolster capital adequacy ratio.Bank Nifty rose 144 points to 25,462 level. BSE Bankex rose 144 points to 28,777 level. PNB (5.97%), Bank of Baroda (3.77%) and SBI (1.72%) were the top index gainers.Market breadth was positive with 1,915 stocks closing higher against 1,002 stocks falling on BSE. Tata Steel (3.74%), Dr Reddy's (3.33%) and L&T (3.08%) were top Sensex gainers.  SJVN (11.88%) was the top gainer on BSE  after the firm said it would consider a buyback of shares at its board meeting to be held on January 9. The Hindustan Foods stock  was locked in upper circuit in Thursday's trade after the firm announced it has received all licences and started commercial production of pest products from January 2, 2018. The stock of the FMCG firm closed 10% or 34.20 points higher to Rs 376.20 on the BSE, a fresh 52-week high level.  The stock opened at 375 level and hit an intra day low of 348 on BSE. Global marketsMeanwhile, Asian stocks surged to their decade highs on the back of strong US economic data.Nikkei 225 was the top gainer in Asia  rising 3.26% or 741 points to 23,506 level. Hang Seng, Shanghai SE Composite Index rose 0.57 percent and 0.59 percent, respectively. US factory activity increased more than expected in December, boosted by a surge in new orders growth, in a further sign of strong economic momentum at the end of 2017. On Wall Street, the three main stock indexes hit record closes, helped by a 1.5 percent rise in energy stocks.In Germany, Europe's economic power house, the unemployment rate hit a record low of 5.5 percent in December, underpinning a broad-based economic upswing.Oil prices were touching levels not seen since before commodity markets slumped in 2014/15, having been boosted by tensions in key producer Iran and ongoing OPEC-led output cuts. US West Texas Intermediate (WTI) crude futures rose to as high as $62.17 per barrel, up 0.9 percent for the day and their highest level since mid-2015. International benchmark Brent also scaled a 2-1/2-year high of $68.19 a barrel.",https://www.businesstoday.in/markets/stocks/sensex-nifty-trading-pnb-bank-of-baroda-sbi-top-gainers/story/267307.html
2018-07-08,"The National Company Law Tribunal today dismissed Cyrus Mistry's pleas challenging his removal as Tata Sons Chairman. The tribunal said that it was not accepting Mistry's contentions that his removal was due to the result of mismanagement by the board and oppression of minority shareholders of the group.The NCLT said that the board of directors was competent to remove executive chairman and Mistry was ousted because Tata Sons' Board and its members had lost confidence in him. The tribunal in its judgement observed that the board and majority of its members lost confidence in Mistry after he sent out certain crucial information about the company to the Income Tax department, leaked details to the media and came out openly in public against the company's shareholders and its board.Tata Sons has welcomed the NCLT's verdict. In a statement issued after the order, Tata Sons chairman N Chandrasekaran said: ""The judgement has only re-affirmed and vindicated that Tata Sons and its operating companies have always acted in a fair manner and in the best interest of its stakeholders. The Tata Group has always been committed and will continue to be committed to transparency and good corporate governance of global standards.""""Tata Sons hopes that a finality will be given to the judgement of NCLT, Mumbai by all concerned in the larger interest of companies, the shareholders and the public,"" Mr Chandrasekaran added.The NCLT's judgement was based on a petition filed by Cyrus Mistry challenging his dismissal as chairman of the Tata Sons. The Board of Tata Sons had abruptly removed Mistry as its chairman on October 24, 2016 and sought his ouster from other group companies. He subsequently resigned from the board of six firms, but dragged Tata Sons and his then interim successor Ratan Tata to the NCLT.Cyrus Investments Pvt Ltd and Sterling Investments Corp - two Shapoorji Pallonji Group entities - in the petition against trustees of Tata Trusts and directors of Tata Sons had alleged abuse of articles of association by outsiders, breakdown of governance and loss of ethical value.The petition claimed that Mistry's removal as chairman and subsequently as director of the board of Tata Sons was a result of oppression by promoters who are in-turn owned by Tata Trusts that owns over 68 per cent in Tata Sons. The second part of the petition focused on the alleged mismanagement by Tata Sons board and Ratan Tata which caused massive revenue loss for the group.However, Tata Group had denied all the charges and said that Mistry was removed because the board had lost confidence in him. It further said that Mistry intentionally and in bad faith leaked sensitive and confidential information causing loss in Tata Group's market value. ""He (Mistry) was appointed at the behest of Tata Trusts and his removal cannot be questioned by minority shareholders,"" the Group's counsel Abhishek Manu Singhvi had argued before the tribunal.The Tata Group argued that the law clearly allows removal of a chairperson and director and Mistry was removed by a majority of 7 out of 9 -  Mistry had not voted for his removal and another official had abstained.NCLT Mumbai's special bench of B S V Prakash Kumar and V Nallasenapathy was expected to deliver its order in the case on July 4 but adjourned it to July 9 as the judgement was not ready.Ahead of the NCLT verdict, Cyrus Mistry last week questioned the rationale behind Tata Group's some of the business transactions done lately. He questioned the sale of group's telecom arm to Airtel, massive debt-driven acquisitions by Tata Steel and its unequal tie-up with Thyssenkrupp, and a first-ever dip in TCS profit.Questioning the ""free transfer of Tata Teleservices"" to Airtel, the letter said the Tatas did not get any benefit from the deal despite transferring 40 million customers, a large swathe of liberalised spectrum and access to Tata Teles extensive fibre network, while it has immensely benefited the acquirer. Mistry said that he failed to understand the logic of offering Bharti Airtel access to these assets effectively for free.Comparing the massive debt-driven expansion of Tata Steel to its doomed acquisition of Corus, Mistry cautioned against a potential debt burden arising from the Rs 80,000-crore capex needed for acquiring Bhushan Steel (Rs 35,000 crore), Bhushan Power & Steel (Rs 24,000 crore through the NCLT) as well as the Rs 23,000-crore expansion of Kalinganagar project. ""If the commodity cycle and the uptick in steel prices are to change again, leading to a decline in prices, Tata Steel will once again stand highly exposed with serious consequences Tata Sons,"" he warned.In a letter to the directors of Tata Sons, Cyrus Investments Mistry has sought accountability and information from the board of Tata Sons. Mistry family owns 18.34 per cent in Tata Sons - which makes them the single largest individual shareholder in the holding company of the Tata Group.Stating that the board is accountable for governance and performance of the Tata Group as also to the minority shareholders, the letter states that despite staring at several burning issues, ""Tata Sons is hiding behind the veneer of media management to present a rosy picture.""(With input from PTI)",https://www.businesstoday.in/current/economy-politics/nclt-verdict-ratan-tata-cyrus-mistry-tata-sons/story/280028.html
2018-06-30,"The Tata Steel board gave the green flag to the joint venture with German steel giant Thyssenkrup today. Back in Germany, the Thyssenkrup supervisory board also approved the collaboration with the Indian steel manufacturer. This deal will see both steel majors combine their European businesses to form a 50:50 joint venture.The resultant entity, which will be called Thyssenkrup Tata Steel BV , will be the second-largest steelmaker in European steel sector after Lakshmi Mittal's ArcelorMittal. It will have around 48,000 workers and about 15 billion euros in sales. The definitive agreement signed today will be formally executed shortly, Tata Steel said in a BSE filing.Meanwhile, Thyssenkrup said in a statement that joining forces with Tata Group will help with its transformation into an industrial and service group, and will help to improve its financial standing.Both parties expect the deal to be completed within 12-18 months from the date of execution of the transaction documents, the statement said, given that they get the required regulatory approval in time.Tata Steel and Thyssenkrupp had signed a Memorandum of Understanding (MoU) back in September 2017 to this effect after announcing plans to combine their European businesses and form a joint venture. Now that they are together, the steelmaking joint venture aims to produce 35,000 million tonnes of cold rolled grain oriented steel every year from its expanded factory, instead of the earlier capacity of 10,000 tonnes per annum. The company had said the new product line set-up will help in meeting the continuously increasing demand for cold rolled grain oriented in the Indian market.According to a Reuters report, the German steelmaker is expecting annual synergies of 400 million to 500 million euros from the transaction, having previously communicated a maximum of 600 million. Tata Steel's Dutch facility will be part of the cash pooling mechanism of the JV, which had been a key demand for German workers concerned that Tata would give its own workers better conditions in the new company.In case of an initial public offering (IPO) of the joint venture, which is widely expected by investors and has been flagged by both companies, Thyssenkrup would get a bigger share of the proceeds ""reflecting an economic ratio of 55-45,"" the report further said.The Tata Steel-Thyssenkrup deal comes in the backdrop of heavy tariffs of 25 per cent imposed by the Trump administration on steel imports from both European Union and India.",https://www.businesstoday.in/current/corporate/tata-steel-thyssenkrup-joint-venture-approved-second-largest-in-european-steel-market/story/279753.html
2018-02-19,"Tata Steel has just pulled off its largest acquisition to date. Pipping JSW Steel - contrary to all speculation - it has reportedly emerged as the highest bidder for Bhushan Steel. The latter, to remind you, was on RBI's first list of 12 companies to be referred to the National Company Tribunal Law (NCLT) and according to the latest Economic Survey, claims admitted under the insolvency proceedings stand at a whopping Rs 55,989 crore, making it the biggest bankruptcy, so far, to go under the hammer. What a coup pulled off by N. Chandrasekaran, the first non-Parsi chairman of the Tata Group in its 150-year-old history, as he begins the countdown to his first anniversary in office.According to MoneyControl, Tata Steel's surprise bid of Rs 35,000 crore was Rs 5,300 crore more than rival JSW Steel's offer. The aggressive bidding makes sense since Bhushan Steel's annual capacity is 5.6 million tonne - according to its website. It is the third largest secondary steel producer in the country and its acquisition will help Tata Steel tighten its grip on the eastern region. According to advisory firm Bonaz Capital, this acquisition would help it to increase domestic steel capacity by around 43 per cent to 18.6 million tonnes per annum. ""We expect the company to report revenue CAGR of 5.3 per cent over FY17-20E [expected] aided by 6.1 per cent volume growth in domestic steel production...EBITDA margins are also likely to expand by [around] 573 bps owing to better utilization for Tata Steel India,"" it added.But given that the crippled Bhushan Steel Ltd reported widening of its net loss to Rs 1,607 crore for the quarter ended December 2017, a jump of 116 per cent year-on-year, not everyone is excited by the prospects. Shares of Tata Steel are down 7 per cent since morning. But the share price of Bhushan Steel has jumped up a whopping 20 per cent, the most in three months.  Incidentally, Tata Steel is also the leading bidder for Bhushan Power and Steel. According to The Economic Times, lenders to the company decided that they would only consider Tata Steel's offer of Rs 24,500 crore - which includes an upfront payment of Rs 17,000 crore to lenders, a cash infusion of Rs 7,000 crore to meet the company's working capital requirements and a payout to operational creditors-for further negotiations on Wednesday, setting aside JSW Steel's offer that is lower by Rs 11,500 crore. Sources also told the daily that if Tata Steel does manage to pull off both acquisitions, it might gain half the market share for flat-steel products in the country. With PTI inputs",https://www.businesstoday.in/current/corporate/tata-steel-highest-bidder-bhushan-jsw-power/story/270989.html
2018-03-07,"One of the country's biggest bankruptcies to go under the hammer is finally moving towards closure. Yesterday, Tata Steel said that ""it has received a formal communication from the resolution professional [RP] of Bhushan Steel Ltd that it has been identified as the highest evaluated compliant resolution applicant to acquire controlling stake"" of the beleaguered company under the Insolvency and Bankruptcy Code 2016. The company statement added that the Committee of Creditors (CoC) of Bhushan Steel had taken the decision at a meeting on March 6, and the next steps will be as per the stipulations under the Corporate Insolvency Resolution Process. The advisors to the CoC and the RP are currently in discussions with Tata Steel on the resolution plan.Although Tata Steel did not disclose the financial details of the acquisition bid, two people close to the bidding process told Mint that the company has offered close to Rs 34,800 crore as upfront payment to banks and an additional Rs 1,200 crore to the operational creditors. In addition, Tata Steel has also offered 12% equity stake to lenders in Bhushan Steel, who were owed Rs 44,478 crore. The rival bidder for this asset, JSW Steel, had reportedly offered around Rs 29,000 crore. Reacting to the news, Bhushan Steel's share price had spiked 12 percent since closing price yesterday, but is now headed downward again.Bhushan Steel was on the RBI's first list of 12 companies to be referred to the National Company Tribunal Law (NCLT). With an annual capacity of 5.6 million tonnes, its website claims that it is the third largest secondary steel producer in the country. This explains why the auction had seen such aggressive bidding - well over the liquidation value reportedly pegged at Rs 20,000 crore.If the deal goes through, this asset will not only help Tata Steel tighten its grip on the country's eastern region but perhaps also help it to snatch the title of 'India's largest steel maker' from JSW Steel. According to advisory firm Bonaz Capital, the acquisition would help it to increase domestic steel capacity by around 43 percent to 18.6 million tonnes per annum. ""We expect the company to report revenue CAGR of 5.3 percent over FY17-20E [expected] aided by 6.1 percent volume growth in domestic steel production...EBITDA margins are also likely to expand by [around] 573 bps owing to better utilization for Tata Steel India,"" it added.This announcement will also bring much relief to fraud-ravaged Punjab National Bank, as it was the term loan consortium leader for Bhushan Steel. In fact, PNB reportedly had an exposure of close to Rs 5,000 crore, much of which will now come back to coffers and help it to partly offset the damage allegedly wrought by Nirav Modi over the past seven years.Meanwhile, Tata Steel has also submitted a bid for Bhushan Power and Steel Ltd. According to media reports, if it manages to pull off this double coup, Tata Steel will grab half the market share for flat-steel products in the country.With PTI inputs",https://www.businesstoday.in/current/corporate/tata-steel-bhushan-highest-bidder-power-insolvency-irp/story/272185.html
2018-09-22,"Tata Steel Saturday announced that it will acquire the steel business of Usha Martin Limited (UML) for Rs 4,300-4,700 crore. UML, in a stock exchange filing, said the sale of steel business to Tata Steel will help the company in ""significant reduction"" of its debt.The deal is expected to be completed in 6-9 months, it added.Tata Steel, in a release, said it has executed definitive agreements for acquisition of the steel business of UML through a slump sale on a going concern basis.""It is proposed that the steel business of UML will be acquired subject to transaction closing, for a cash consideration of between Rs 4,300-4,700 crore (subject to various transaction adjustments),"" the release said.The closing of the acquisition is subject to fulfilment of various conditions under the agreements. At the closing, Tata Steel or any of its subsidiaries or affiliates may carry out this acquisition, it added.UML's steel business comprises the specialised 1 mtpa alloy based manufacturing capacity in long products segment based in Jamshedpur, a producing iron-ore mine, a coal mine under development and captive power plants, Tata Steel said. The transaction and acquisition structure would be determined shortly, it added.Tata Steel Group is among the top global steel companies with an annual crude steel capacity of 27.5 million tonnes per annum (MTPA) as on March 31, 2018.Usha Martin is amongst the largest wire rope manufacturers in the world and a leading speciality steel producer in India. In May, Bamnipal Steel Ltd, a wholly-owned subsidiary of Tata Steel, completed the acquisition of controlling stake of 72.65 per cent in Bhushan Steel Ltd (BSL).Tata Steel had won the bid to acquire debt-laden BSL in an insolvency auction.",https://www.businesstoday.in/current/corporate/tata-steel-to-acquire-steel-biz-of-usha-martin-for-up-to-rs-4700-crore/story/282731.html
2018-08-13,"The Tata Steel stock rose in early trade after the largest private sector alloy maker reported an over two-fold growth in consolidated net profit for the quarter ending June 2018. At 9:36 am, the stock was trading 1.59% higher at 578 level on the BSE. The stock rose 3.13% to hit an intra day high of 587 level.  The stock has gained after two days of consecutive fall and opened with a gain of 2.60% at 584 level.  The stock is down 17.23% since the beginning of his year and has lost 2.42% during the last one year. The market capitalisation of the large cap stock stood at Rs 64,970 crore. Net profit came at Rs 1,934 crore in Q1 of the current fiscal due to strong demand and higher prices in the domestic market and better operational performance in Europe. The company had reported net profit of Rs 921 crore during the same period a year ago and Rs 14,688 crore in the March 2018 quarter due to a one-time gain of Rs 11,376 crore.Its turnover in the June quarter grew to Rs 37,833 crore from Rs 30,973 crore, the company said. Commenting on the performance, managing director & chief executive TV Narendran said, ""They could deliver strong performance due to the strong demand and buoyant spreads across all the geographies.  Domestic deliveries grew by 14 per cent as against market growth of 9 per cent. Our European operations also saw stronger profitability with an improvement in spreads and operational performance"", he said.Tata Steel India's pre-tax profit jumped by 75.2 per cent to Rs 5,118 crore, on account of better realisations and improved operational efficiencies, while operational margins for the quarter rose to 31.2 per cent.Meanwhile, the Sensex and Nifty rose 172 points and 50 points to 37,817 and 11,406 level, respectively.",https://www.businesstoday.in/markets/company-stock/tata-steel-stock-rises-q1-net-profit-rises-sensex-gainer/story/281289.html
2018-12-17,"Tata Steel and Germany's Thyssenkrupp on Monday appointed Andreas Goss, currently Chief Executive Officer (CEO) of Thyssenkrupp's Steel division, as the future Chief Executive Officer of the proposed European steel joint venture between the two companies.""Tata Steel and thyssenkrupp have today decided on the members of the future Management Board for the planned European steel Joint Venture between the two companies,"" Tata Steel said in a filing to the Bombay Stock Exchange.Earlier in June this year, Tata Steel and Thyssenkrupp AG signed definitive agreements to combine their European steel businesses in a 50/50 Joint Venture.The proposed new company, to be named Thyssenkrupp Tata Steel B.V., headquartered in Amsterdam area will be positioned as a leading pan-European high-quality flat steel producer, Tata Steel said.The Joint Venture is subject to merger control clearance in several jurisdictions, including in the European Union.Hans Fischer, the CEO of Tata Steel Europe, will be the Deputy CEO & Chief Technology Officer of the Joint Venture.Among others, Sandip Biswas, the Group Executive Vice President Finance of Tata Steel, is the designated Chief Financial Officer, while Premal Desai, the Chief Financial Officer of thyssenkrupp Steel Europe, will be the Chief Strategy Officer of the Joint Venture.Apart from the above appointments, it is planned to announce the next management level for the Joint Venture early in the new year, Tata Steel said in the exchange filing.The company further said that Management Board and the future top leadership team will be responsible for the planning and execution of the post-merger integration and the long-term business strategy once the planned Joint Venture has received the necessary regulatory approvals and after closing.Both companies remain committed to constructive engagement with the European Commission as part of the ongoing regulatory review process, Tata Steel said, adding that both parties are working together to ensure the success of this transaction as soon as possible.Until the completion of the Joint Venture process, thyssenkrupp Steel Europe and Tata Steel in Europe will continue to operate as separate companies and as competitors and the incumbent organisation of the respective companies will continue to operate as currently.The members of the designated Management Board will continue in their existing roles within their businesses until the formation of the Joint Venture post all regulatory approvals, Tata Steel said.Edited by Chitranjan Kumar",https://www.businesstoday.in/current/corporate/thyssenkrupp-andreas-goss-to-lead-joint-venture-with-tata-steel/story/301591.html
