date,data,url
2018-03-28,"DUESSELDORF/FRANKFURT (Reuters) - Plans by Thyssenkrupp and Tata Steel to combine their European steel operations face renewed opposition from German unions, who say the companies’ labour agreement in the Netherlands goes too far in protecting work and sites there. Last month Tata Steel guaranteed its Dutch division it could continue to operate as an independent company within the planned joint venture with ThyssenKrupp, with control over its own profits and an independent supervisory board. The plant in IJmuiden would remain a “fully integrated steel company”, Tata Steel Netherlands said. Tata Steel also operates a plant in Port Talbot, Britain. “It is not acceptable that only we in Germany are to be responsible for the risks of the joint venture and the Dutch entity is dodging responsibility,” Thyssenkrupp supervisory board member Tekin Nasikkol told Reuters, adding German employees would not accept this. “We will not accept a free state of IJmuiden.” The planned tie-up will be discussed at an extraordinary meeting of Thyssenkrupp’s supervisory board on April 12, a person familiar with the matter told Reuters. Thyssenkrupp and Tata Steel last year announced plans to combine their European steel operations to create the continent’s second-largest player after ArcelorMittal, including up to 4,000 job cuts. Thyssenkrupp and Tata have said the deal will help them tackle overcapacity in Europe’s steel market, which faces cheap imports, subdued construction demand and inefficient old plants. The signing of the deal was originally planned for the beginning of the year but a key condition is still lacking: a final labour agreement between Tata Steel and its workers in Britain and the Netherlands. Last month, steel workers at Germany’s Thyssenkrupp voted in favour of a labour agreement that will safeguard jobs and plants in a planned joint venture with Tata Steel until 2026, removing a key hurdle for the tie-up. Dutch union members still have to approve a similar preliminary agreement with Tata Steel, and are waiting for a positive opinion from Tata’s Dutch workers representative committee before they give their final consent. “That will probably still take several months,” Peter Boeseken, a spokesman of Dutch union CNV, said, adding Tata and ThyssenKrupp could proceed with the joint venture without consent “as long as no irreversible measure are taken”. Tata Steel and Thyssenkrupp declined to comment. Although not essential to the creation of the planned joint venture, workers’ approval of the labour agreement is seen as a precondition to getting the deal done as it removes the risk of strikes and potential delays. Additional reporting by Bart Meijer in Amsterdam and Maytaal Angel in London; Editing by Maria Sheahan, Victoria Bryan and Mark Potter",https://in.reuters.com/article/thyssenkrupp-tata-steel/thyssenkrupp-tata-steel-venture-faces-fresh-union-opposition-idINKBN1H42B9
2018-10-31,"(Reuters) - Tata Steel Ltd said on Wednesday it will continue talks with the European Commission after the body raised concerns over its planned steel joint venture with Thyssenkrupp. The European Commission (EC) on Tuesday opened a deeper investigation into the proposed steel joint venture over concerns that it could raise prices and harm competition. Thyssenkrupp and Tata Steel earlier this year unveiled plans to combine their steel activities in Germany, the Netherlands and Britain to become the continent’s second-largest steelmaker after ArcelorMittal. The Commission on Tuesday pointed out three areas where the combination of both companies’ specialty flat carbon steel and electrical steel products could give them a dominant position: steel for the automotive sector, metallic coated steel for packaging and grain-oriented electrical steel. Tata Steel shares, which had fallen as much as 6.2 percent in the current session, were trading down 3.2 percent at 0825 GMT. Reporting by Chris Thomas in Bengaluru, Editing by Sherry Jacob-Phillips and Rashmi Aich",https://in.reuters.com/article/us-thyssenkrupp-tata-steel-commission/indias-tata-steel-to-continue-talks-with-eu-for-thyssenkrupp-jv-idINKCN1N50XB
2018-06-11,"LONDON/FRANKFURT/DUESSELDORF (Reuters) - Tata Steel’s European works council said it is unconvinced by a planned joint venture with Thyssenkrupp, raising the chances that the deal will be delayed or even fail in its current form. The remarks deal a fresh blow to Thyssenkrupp boss Heinrich Hiesinger, at the helm of the German steel-to-submarine group for more than seven years, whose plan to sharpen the company’s focus on technology largely depends on the steel transaction. They are also in line with growing criticism from investors, including U.S. activist fund Elliott, who have pointed out the diverging fortunes of the two groups since the venture was first announced last year and have asked Thyssenkrupp to seek better terms. Tata Steel’s European Works Council (EWC) said on Monday that numerous details of the deal still needed to be hammered out before they could endorse a deal. The comments make it less likely that a planned end of June deadline could be met. “The EWC acknowledges there is an industrial rationale for pursuing this JV, but with the matters outstanding the EWC remains unconvinced that this partnership with Thyssenkrupp would be in the best interests of Tata Steel Europe’s operations and the employees we represent,” it said in a statement. The planned transaction would combine Thyssenkrupp’s and Tata Steel’s European steel operations to create the continent’s second-largest steelmaker, behind ArcelorMittal, with sales of 15 billion euros ($18 billion). The EWC, however, said that it still had significant knowledge gaps with regard to the financial structure and the business strategy of the planned 50-50 joint venture, adding Thyssenkrupp was unwilling to lay out plans for the partnership. “This situation is deeply regrettable,” the EWC said in its statement. It said its support for the joint venture depended on factors like a moratorium on job cuts until 2022 and no Tata Steel site closures before 2026. It also wants the sale of Tata’s electrical steel subsidiary Cogent to be put on hold. Since the deal was announced in September, core earnings (EBITDA) at Thyssenkrupp Steel Europe rose by about a third on a 12-month basis, while those at Tata Steel Europe declined by about a fifth, according to Reuters calculations. Some shareholders say this has created a valuation gap of up to 3 billion euros, which Thyssenkrupp’s management needs to address in the final negotiations, possibly by transferring more debt to the venture than initially planned. This will likely form one of the topics to be discussed when Thyssenkrupp’s supervisory board meets on Wednesday, two people familiar with the matter told Reuters. Thyssenkrupp was not immediately available for comment. A Tata Steel spokesman said: “We will continue to engage in constructive dialogue with our employee representatives throughout the process of creating the proposed joint venture.” He said Tata Steel was committed to delivering the joint venture without the need for compulsory redundancies. Editing by Edmund Blair/Mark Potter/Susan Fenton",https://in.reuters.com/article/thyssenkrupp-tata-steel-jointventure/tata-steel-europe-workers-question-rationale-of-thyssenkrupp-tie-up-idINKBN1J7170?rpc=401&
2018-12-17,"FRANKFURT/MUMBAI (Reuters) - Germany’s Thyssenkrupp and India’s Tata Steel on Monday named the top management of their planned European joint venture, ending months of uncertainty over who will join the entity’s leadership. Andreas Goss, the head of Thyssenkrupp’s steel division, will become the chief executive of the entity, which will be Europe’s second-largest steelmaker after ArcelorMittal. Hans Fischer, who is currently leading Tata Steel’s European division, will become deputy CEO and chief technology officer. Thyssenkrupp and Tata Steel in June signed a final agreement to create the venture following years of talks, just days before a leadership crisis erupted at the sprawling German industrials group. Sandip Biswas, a member of Tata Steel’s senior management, will become finance chief of the new entity, the groups said. Premal Desai, who serves as the chief financial officer of Thyssenkrupp’s steel unit, will complete the board as chief strategy officer. “The future management board is the right choice to build a strong number two in the European flat steel market,” Thyssenkrupp Chief Executive Guido Kerkhoff said. “I am fully convinced that this Board will successfully lead the integration of the Joint Venture given their extensive technical and operational expertise as well as their broad intercultural experiences.” The appointment of Goss as CEO of the joint venture, which still requires antitrust approval by the EU Commission, was first flagged by Reuters earlier this month, as was the fact that the board would comprise four members. Both groups had originally aimed to have six management board members for the 50-50 venture. The next level management will be named in early 2019, the companies said. Reporting by Christoph Steitz and Promit Mukherjee; Editing by Tassilo Hummel and Maria Sheahan",https://in.reuters.com/article/thyssenkrupp-tata-steel-jointventure/thyssenkrupp-steel-boss-goss-to-lead-joint-venture-with-tata-steel-idINKBN1OG1BD?feedType=RSS&feedName=businessNews
2018-07-02,"MUMBAI (Reuters) - Tata Steel Ltd will be able to nearly double its capacity in India as a deal between its British entity and Germany’s ThyssenKrupp will reduce the Indian parent’s debt, the chairman of the company said on Monday. Tata Steel and ThyssenKrupp signed a deal on Saturday after months of negotiations to form Europe’s second biggest steel company in which Tata and ThyssenKrupp will have a 50:50 partnership. “Because Europe becomes stronger, it reduces our leverage,” Tata Steel Chairman N Chandrasekaran told a news conference in Brussels that was shown in India via a webcast. “(The deal) allows Indian operations to grow and address the Indian market,” he said. Chandrasekaran and ThyssenKrupp Chief Executive Heinrich Hiesinger jointly addressed the conference. The deal will allow Tata Steel to transfer up to 2.6 billion euros ($3 billion) of debt on its European business to the joint venture company, relieving the Indian parent from substantial interest payments, he said. Chandrasekaran, who is also the chairman of the salt-to-software conglomerate Tata Group, said Tata Steel aims to increase its capacity in India from 13 million tonnes per annum currently to 25 million tonnes. While he did not give a timeline at the conference in Brussels, he had said in September that Tata Steel would like to double its capacity in India in five years. In the last few months, the third-biggest steelmaker in India has been one of the most aggressive companies in picking up distressed assets after a new bankruptcy code pushed several steel companies into debt resolution in India. The company picked up debt-ridden Bhushan Steel Ltd for 352.33 billion rupees ($5.12 billion) in May and has been short-listed as the highest bidder for unlisted Bhushan Power and Steel Ltd. Together, the two acquisitions would help the company to increase its market share in India while also lead to a higher debt, analysts have said. Restructuring in Europe allows the company to focus on opportunities in India, said T V Narendran, chief executive of Tata Steel, said in Brussels. “It will not be a company that will be sucking cash but will be generating cash,” Koushik Chatterjee, executive director of Tata Steel told analysts on Saturday.      ($1 = 0.8592 euros) ($1 = 68.7650 Indian rupees) Reporting by Promit Mukherjee, editing by David Evans",https://in.reuters.com/article/india-tata-steel/tata-steel-chairman-says-to-help-nearly-double-indian-capacity-after-thyssenkrupp-deal-idINKBN1JS1L2
2018-03-07,"MUMBAI (Reuters) - Tata Steel Ltd said on Wednesday it had been selected as the highest bidder to buy a controlling stake in debt-laden Bhushan Steel Ltd, ending weeks of speculation on which Indian group would clinch a deal. Salt-to-software conglomerate Tata Group’s steel business and India’s biggest domestic steelmaker JSW Steel Ltd were the two primary industry bidders for the acquisition of Bhushan Steel.  At 559.89 billion rupees ($8.75 billion), Bhushan Steel faces the highest claims among a dozen companies pushed to bankruptcy court last year as part of a government drive to clear a mountain of bad loans choking credit at Indian banks. “It (Tata Steel) has been identified as the highest evaluated compliant resolution applicant to acquire controlling stake of BSL (Bhushan Steel Ltd),” the company said in a stock exchange notice on Wednesday evening. Based in the east of India, the company has an annual steelmaking capacity of 5.6 million tonnes and is one of the biggest producers of cold-rolled steel products used to make cars. It also supplies steel for producing consumer goods such as refrigerators and washing machines.  A controlling stake in Bhushan Steel gives Tata Steel an edge in the fast growing automotive steel market in India at a time of strong steel price upswing, a note from brokerage Edelweiss Securities said. Tata’s access to iron ore mines also puts it in a much better position to turn around Bhushan Steel’s unit. “Tata Steel can add the maximum value as well as draw the most benefit from Bhushan Steel,” said an analyst who covers both the industry. Bhushan Steel had said last month that the resolution professional managing its case received plans from Tata Steel, JSW Living, a subsidiary of JSW Steel, and employees of Bhushan Steel. India, which did not have a formal bankruptcy process until mid-2016, has seen a surge in bankruptcy cases since last year, with over 500 companies currently facing bankruptcy court proceedings. The surge in cases comes after the government changed the law giving greater powers to the Reserve Bank of India (RBI), which has so far ordered creditor banks to push nearly 40 companies with loan defaults of nearly 4 trillion rupees ($62.5 billion) into bankruptcy proceedings. Essar Steel Ltd, another company with a heap of sour loans owed to banks, has seen heightened interest and aggressive bidding from world’s biggest steelmaker ArcelorMittal and a consortium led by Russian bank VTB, according to media reports. Reporting by Promit Mukherjee in Mumbai; Additional reporting by Tanvi Mehta in Bengaluru; Editing by Subhranshu Sahu and Keith Weir",https://in.reuters.com/article/bhushan-steel-tata-steel/tata-steel-emerges-as-top-bidder-for-bhushan-steel-idINKCN1GJ1UF
2018-05-18,"(Reuters) - India’s Tata Steel Ltd said on Friday it had completed  the acquisition of a 72.7 percent stake in Bhushan Steel Ltd, which was in bankruptcy court over unpaid loans. As part of the deal, a unit of Tata Steel is paying 352.33 billion rupees ($5.18 billion) to Bhushan Steel’s creditor banks. It will also pay Bhushan Steel’s operational creditors, such as vendors, another 12 billion rupees over 12 months. The Tata Steel unit will raise a bridge loan of 165 billion rupees to help fund the acquisition, while Tata Steel is investing the remainder in the unit, Bamnipal Steel. Bamnipal has appointed members to Bhushan Steel’s board, Tata Steel said in a statement. Bhushan Steel, which was among a dozen companies pushed to bankruptcy court last year amid a government drive to clear a mountain of bad loans choking credit at Indian banks, has an annual steel making capacity of about 5.6 million tonnes. Taking over Bhushan Steel will help Tata Steel to increase its capacity in India and gain an edge in the fast-growing automotive steel market. ($1 = 68.0500 Indian rupees) Reporting by Jessica Kuruthukulangara in Bengaluru; Editing by Subhranshu Sahu",https://in.reuters.com/article/bhushan-steel-tata-steel/tata-steel-completes-5-2-billion-purchase-of-bankrupt-bhushan-steel-idINKCN1IJ1OH
2018-03-22,"MUMBAI (Reuters) - Tata Steel has offered to pay a little more than 350 billion rupees ($5.4 billion) to lenders of Bhushan Steel & Power to take over the bankrupt steelmaker, a source with direct knowledge of the deal said. Bhushan Steel’s panel of creditors approved the deal on Thursday, pending other regulatory clearances, the company said in a stock exchange filing on Friday without disclosing financial details. Tata Steel plans to inject more than 90 billion rupees into Bhushan Steel to modernise and ramp up its facilities, the source said, declining to be named because the details had not been made public. A spokesman for the company declined to comment on the deal value and planned investment in Bhushan Steel. Bhushan Steel is among a dozen companies pushed to bankruptcy court last year amid a government drive to clear a mountain of bad loans choking credit at Indian banks. The company, which was facing $8.6 billion of claims from banks and other creditors, had received bids from Tata Steel and top Indian steelmaker JSW Steel in an auction conducted by a court-appointed administrator.  Taking over Bhushan Steel will help Tata Steel to increase capacity in India and gives the company an edge in the fast-growing automotive steel market.  With annual steelmaking capacity of 5.6 million tonnes, Bhushan Steel is one of the biggest producers of cold-rolled steel products used to make cars and consumer goods such as refrigerators and washing machines. Shares in Tata Steel closed 2.5 percent down on Friday in a Mumbai market that fell by 1.2 percent.  ($1 = 65.0050 Indian rupees) Reporting by Devidutta Tripathy; Additional reporting by Promit Mukherjee and Rajendra Jadhav in Mumbai, and Tanvi Mehta in Bengaluru; Editing by David Goodman",https://in.reuters.com/article/bhushan-steel-tata-steel/tata-steel-offers-5-4-billion-to-take-over-bankrupt-bhushan-steel-source-idINKBN1GZ0E9
2018-11-14,"MUMBAI (Reuters) - India’s two biggest private sector steel companies JSW Steel Ltd and Tata Steel Ltd are banking on their diversified product mix to take on steel giant ArcelorMittal SA as it gears up to enter the country.     In October, creditors of bankrupt Essar Steel India approved a 500 billion rupee ($6.9 billion) joint offer by ArcelorMittal and Japan’s Nippon Steel & Sumitomo Metal for Essar’s assets, paving the way for the first major foreign bets on steel manufacturing in India. Both JSW Steel and Tata Steel, during separate meetings with media on Tuesday, said the entry of the global giant in India’s fast growing steel market would be good for competition. However, the companies said their customer relationships, array of value-added products and customisation would help them retain and grow market share and take on competition.  “Obviously from Tata Steel point of view, we will continue to up the ante,” T.V. Narendran, chief executive and managing director of Tata Steel said on Tuesday. “We have the technology and the product lines that are required.” ArcelorMittal’s entry into India comes at a time when Indian steel demand is growing at the fastest pace in the world. India is expected to overtake the United States in steel consumption in 2019 to become the second biggest market behind China, global steel body World Steel Association said in a report last month.  ArcelorMittal plans to increase capacity of Essar’s plant to 15 million tonnes from 10 million tonnes now, and produce higher grades of products. Owned by billionaire Lakshmi Mittal, ArcelorMittal is the world’s biggest steel company with a total tonnage of 97.03 million tonnes in 2017. Analysts feel ArcelorMittal’s foray will force major Indian steelmakers to innovate, despite them downplaying the impact. “ArcelorMittal’s entry would spur a shift from steel capacity expansion to product/technology evolution by incumbents,” said domestic broking firm Edelweiss in a report. Indian steelmakers say this is already in the works.     “Each one of us in my view has enough space,” Seshagiri Rao, joint managing director of JSW Steel, said on Tuesday, referring to India’s growing steel market. Rao said in-line with global trends JSW had already started to move from “volumes to value” to secure its profitability and market share in the future. JSW Steel is spending up to 60 billion rupees to expand its value-added offerings like automotive steel, electrical steel, and galvanised products by over 60 percent over the next three years, out of a total spend of 450 billion rupees on expansions. “We will completely transform JSW Steel ... and also align the company in-line with what the market demands,” he said. Reporting by Promit Mukherjee; Editing by Euan Rocha and David Evans",https://in.reuters.com/article/india-steel/indias-steel-giants-to-focus-on-product-mix-quality-to-take-on-arcelormittal-idINKCN1NJ1O0
2018-04-06,"LONDON/MUMBAI/FRANKFURT (Reuters) - India’s Tata Steel would consider taking a majority stake in its planned European steel joint venture with Germany’s Thyssenkrupp after the business has publicly listed, according to two sources familiar with the matter. Tata’s willingness to increase its holding is a sign of its commitment to expanding its steel empire globally, said the sources. This had been questioned by investors and analysts in recent years after the company, under former group boss Cyrus Mistry, put its British steel assets up for sale following years of losses. Such a development in the planned joint venture - which would create Europe’s second-largest steel group after ArcelorMittal - would also fit with Thyssenkrupp’s strategy of reducing exposure to steelmaking to concentrate on manufacturing high-margin industrial and technology goods. “They have different visions. Thyssenkrupp is looking to exit the steel sector while Tata is looking to stay and grow,” said one of the sources. Tata Steel and Thyssenkrupp declined to comment. The two companies struck a preliminary deal last year to merge their European steel assets into the 50:50 joint venture. Investors widely expect a flotation of the business, something that both companies have said could happen. Tata Steel would “down the road be open to taking over a larger piece of the pie” in the Thyssenkrupp tie-up once the merged entity is publicly listed, the second source said.  The source added that this would depend on market conditions at the time of a listing and how well the company’s operations were in doing in India. Thyssenkrupp and Tata must retain a joint stake of at least 50.1 percent in the venture for at least six years following the deal’s closing in the event of an IPO, according to a labor agreement between Thyssenkrupp and its workers seen by Reuters. The deal does not specify how that stake should be split up, however, meaning Thyssenkrupp could in theory reduce its stake to, for example, 1 percent if Tata Steel agreed to take on the other 49.1 percent. “We haven’t addressed at all the question of an end, of a minimum (stake),” Thyssenkrupp Chief Financial Officer Guido Kerkhoff told journalists in February when asked about whether both groups would equally divide the 50.1 percent stake. Global steel equity values have more than doubled since hitting 12-year lows in early 2016 at the depth of the steel sector crisis.  Tata’s push to expand reflects a broader global trend towards consolidation of a fragmented steelmaking industry. The biggest players, including industry leader ArcelorMittal, China’s Hebei Iron and Steel Group (Hesteel) and India’s JSW Steel are looking to snap up assets across the world as the market rebounds.  Thyssenkrupp, an industrial firm as opposed to a pure steel player like the others, has long been open about its desire to sell out of steel. Both the Tata tie-up and last year’s sale of its Brazilian steel mill CSA were done with a view to drastically lower Thyssenkrupp’s exposure to steel and transform the group into a technology and industrials powerhouse. Many investors have welcomed this strategy to slim down the sprawling industrial group to remove some of the conglomerate discount that they say weighs on the stock. For Tata Steel, by contrast, the joint venture is a move to save its ailing European steel business, which has been burning through about $1 billion of cash a year, by getting better economies of scale. Another major contrast between the two companies centers on ownership structure and corporate philosophy. Tata Steel’s holding company is Tata Sons, a $100 billion salt-to-software conglomerate which is 65 percent owned by Tata Trusts - public charities that have a major say in group decisions and have historically favored the good of all stakeholders over shareholder returns. In 2016, former Tata Sons chairman Cyrus Mistry was ousted by family patriarch and Tata Trusts chairman Ratan Tata, in a dispute that involved competing corporate ethics and vision. The octogenarian Tata was acquisitive, legacy driven and an exponent of the traditional Tata Trusts view that companies exist to provide value and service to a community, making profits as a by-product of that process. Mistry, by contrast, was more focused on increasing shareholder returns, being nimble and cutting debt. He put Tata Steel’s British assets up for sale in 2016 and even considered closing down the business. Ratan Tata took issue with the move, even though the UK operation was losing 1 million pounds ($1.4 million) a day at the time. Thyssenkrupp, too, is 21-percent owned by the Alfried Krupp von Bohlen und Halbach Foundation, a philanthropic institution, but their stake is below the 25 percent threshold required to block important strategic decisions. Reporting by Maytaal Angel, Christoph Steitz, Tom Kaeckenhoff and Euan Rocha; Additional reporting by Promit Mukherjee; Editing by Veronica Brown and Pravin Char",https://in.reuters.com/article/us-thyssenkrupp-tata-steel-m-a/tata-steel-open-to-taking-majority-stake-in-thyssenkrupp-tie-up-sources-idINKCN1HD27P
