date,data,url
2018-03-11,"US President Donald Trump was true to his word and has imposed a 25% import tariff on steel and a 10% tariff on aluminium, with effect from 23 March. The only concession the President has made is to exclude Mexico and Canada from these tariffs, subject to continuation of trade talks and with the expectation that they will prevent transhipment through their territory to the US.The US government hopes to revive plants that may have been idled or shut, to increase the share of domestic production and create jobs. The objective is that 80% of existing domestic capacity will be put to use, due to these tariffs. The report that the government used to base this decision says capacity utilization in steel was estimated at 72% in 2017 and for aluminium at 39%.The presidential proclamation goes on to invite any country that believes it deserves an exemption to make a case for one. Even with Mexico and Canada, the government wants to limit imports. The European Union and UK are already calling for an exemption though no formal talks have been held. Rather than collectively take action to compel the US to remove these tariffs, countries or regional blocs are asking for an exemption for themselves. On Friday, a tweet from Trump indicated a deal with Australia was on the cards.That these tariffs have been approved leads to an uncertain period ahead for India’s steel and aluminium producers. While there is a risk of retaliatory tariffs, there is also a risk of excess metal in the market, if exports to the US become unviable. Consequently, metal stocks had a terrible time on the domestic stock market last week.Among companies, Tata Steel Ltd and Hindalco Industries Ltd have significant operations overseas. Tata Steel’s European steel operations are likely to feel the heat. Even when the European business moves into a joint venture with Thyssenkrupp AG, the main region of operation will remain Europe. Any significant downturn in steel demand or prices is a risk to be watched for. For steel, a bigger concern could be that prices of iron ore have declined in China last week on concerns that imports fell in February.Hindalco’s subsidiary Novelis Inc. buys aluminium metal or scrap, which it then processes into rolled products to be used to make products such as beverage cans or products used in the automobile industry. Since Canada’s steel and aluminium industry is exempted, the impact on Novelis is likely to be less than expected. When the company’s March quarter results are announced, investors will wait to hear management commentary on what impact the tariffs are having on its business.In sum, Trump’s tariffs are here to stay and how other countries react to these tariffs will be a factor that will determine how prices behave. Company-specific impact should become clear post-March quarter results. The bigger risk is industry-wide effects if other countries retaliate with their own tariffs, which then affects exports or results in a decline in prices.",https://www.livemint.com/Money/OjkIOg3Hi8sGMvXXiEr0rK/US-tariffs-Steel-set-for-a-bumpy-ride.html
2018-10-31,"Mumbai: The European Commission’s (EC’s) investigation into a proposed joint venture (JV) between Tata Steel Ltd and Germany’s Thyssenkrupp AG may delay their plan to combine their European steel businesses, analysts say. The EC on Tuesday opened a deeper probe into the proposed joint venture over concerns that it may raise prices and hurt competition. “While there could be a delay due to the probe by the European Commission, we feel that there is currently no risk of the joint venture falling through. The probe is generally expected in such big mergers in Europe. It was a similar scenario in the case of ArcelorMittal where it was trying to acquire ILVA, an Italian steelmaker and a remedy was worked out,"" said Abhisar Jain, metals and mining analyst at Centrum Broking Ltd.On 30 June, Tata Steel and Thyssenkrupp agreed to combine their steel businesses in an equal JV called Thyssenkrupp Tata Steel.The proposed venture is subject to merger control clearance in several jurisdictions, including the European Union. Until the completion of the JV process, Thyssenkrupp Steel Europe and Tata Steel in Europe will operate as separate companies and as competitors.ALSO READ | EU probe may delay Tata Steel-Thyssenkrupp merger deal“On 30 October, in line with the expected timelines of the merger review process, the EC announced that it will undertake a Phase II review of the merger proposal and will investigate certain areas of preliminary competition concern. Tata Steel has noted the EC’s concerns and will continue its discussions with the EC including providing further information and analysis, especially in relation to sectors they have identified, to secure approval for the proposed joint venture,"" Tata Steel said in an exchange filing on Wednesday. The company added that it envisions the business combination as a structurally robust, sustainable and competitive company, which will be a reliable, efficient and technologically strong partner for its customers. “We also remain committed to continued constructive engagement with the EC in the following months as part of the next phase of this review process,"" Tata Steel added. So far, there are three segments where EC has shown concern—automotive steel, electrical steel and packaging steel. ArcelorMittal has double the market share in automotive steel as compared to what this JV may have so the parties can argue for a relaxation. The Tata Steel group is among the top global steel companies with an annual crude steel capacity of 27 million tonnes per annum (mtpa) as on 31 March. It is the world’s second-most geographically diversified steel producer, with operations in 26 countries and a commercial presence in over 50 countries. The company said that over the last few months, Tata Steel and Thyssenkrupp have engaged in parallel with EC to provide information in relation to the businesses which would be part of this joint venture. Following pre-notification engagement with the EC, both parties notified the proposed JV to the EC on 25 September. Jain at Centrum Broking said Tata Steel is looking to divest the electrical steel business. “On the packaging steel business, Tata Steel and Thyssenkrupp can work out an alternative which may include a potential divestment,"" he said. Tata Steel said, however, that along with Thyssenkrupp, it continues to believe in the strong industrial logic and rationale for the proposed JV, and regards it as the optimal outcome for the future of its European steel business as well as for wider stakeholders in the European steel industry.",https://www.livemint.com/Companies/3781oFECm559ivDDzoOFrI/EU-opens-probe-into-Tata-Steel-Thyssenkrupp-deal.html
2018-09-22,"New Delhi: Tata Steel on Saturday announced it will acquire the steel business of Usha Martin Ltd for  ₹ 4,300-4,700 crore.The sale of steel business to Tata Steel will help the company in “significant reduction"" of its debt, Usha Martin said in a filing to the BSE. The deal is expected to be completed in 6-9 months, it added.Tata Steel, in a release, said it has executed definitive agreements for the acquisition of Usha Martin’s steel business through a slump sale on a going concern basis. “It is proposed that the steel business of Usha Martin Ltd will be acquired subject to transaction closing, for a cash consideration of between  ₹ 4,300 and  ₹ 4,700 crore (subject to various transaction adjustments),"" the release said.The closing of the acquisition is subject to fulfilment of various conditions under the agreements. Usha Martin’s steel business comprises the specialised 1 million-tonnes-per-annum (MTPA) alloy based manufacturing capacity in the long products segment based in Jamshedpur, a producing iron-ore mine, a coal mine under development and captive power plants.The transaction and acquisition structure would be determined shortly, Tata Steel added.Tata Steel had an annual capacity of 27.5 MTPA as on March 31, 2018. Usha Martin is among the largest wire rope manufacturers in the world and a leading speciality steel producer in India.Also read: Usha Martin board gives approval for sale of steel businessIn May, Bamnipal Steel Ltd, a wholly-owned subsidiary of Tata Steel, completed the acquisition of a controlling 72.65% stake in Bhushan Steel Ltd . Tata Steel had won the bid to acquire debt-laden Bhushan Steel in an insolvency auction. This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed.",https://www.livemint.com/Companies/BTqISSbsuRvOOAohbB0zKJ/Tata-Steel-to-acquire-Usha-Martins-steel-business-for-up-to.html
2018-08-13,"Mumbai: Tata Steel Ltd’s consolidated first quarter net profit more than doubled to  ₹ 1,934 crore from  ₹ 921 crore in the corresponding period of last year. The growth in earnings was backed by burgeoning sales growth in the automotive and industrial sectors, and better operational efficiencies. India’s largest private-sector steel producer also witnessed an year-on-year (YoY) increase of 13.8% in revenues to  ₹ 16,405 crore, while EBITDA for the quarter jumped by 75.2% to  ₹ 5,118 crore. “The performance in this quarter has been very strong and Tata Steel India delivered a stand out performance of 31% EBITDA margin on the back of strong underlying business performance and improved market conditions,"" said Tata Steel executive director and chief financial officer Koushik Chatterjee.“This reflected in the financial results of the company with Tata Steel India EBITDA at  ₹ 5,118 crore, implying an EBITDA per tonne of  ₹ 17,252 and quarterly EBIDTA of Tata Steel Europe at  ₹ 1,666 crore registering an EBITDA per tonne of  ₹ 6,801. Our quarterly consolidated EBITDA grew 33% YoY and increased to  ₹ 6,559 crore, with an EBITDA margin of 17%,"" he said. On 18 May, Tata Steel had acquired Bhushan Steel Ltd under the Insolvency and Bankruptcy Code. The process of consolidation of accounts is complete, said Tata Steel chief executive officer and managing director T.V. Narendran. The synergies between the two companies have started with extra slabs from the Bhushan Steel plant going into Tata Steel, while the former benefits from the coal procurement and product shipping lines within Tata Steel. Tata Steel has also thrown its hat in the ring for the stressed assets of Bhushan Power and Steel, which will witness another round of bid revisions. “For us Kalinganagar is very important, Bhushan Steel integration is very important. But we can’t break our head over this (revision of bids). How many times will we go in the fire? The first time we were declared the highest bidder, then someone comes along and we have to go through these rounds,"" said Chatterjee.“The process has changed, we haven’t changed our position. This is not a battlefield, it’s an acquisition. We will continue to grow but we will acquire at a cost that is fair,"" he said. Regarding Tata Steel’s joint venture with Thyssenkrupp, Narendran said: “We are working on seeking all relevant approvals for our 50:50 JV with Thyssenkrupp for our European business and look forward to a strong and sustainable business.""",https://www.livemint.com/Companies/KdtTGjaa00hqkEroLzct6K/Tata-Steel-Q1-profit-more-than-doubles-lags-forecasts.html
2018-07-02,"Mumbai: Despite its apparent concessions, has Tata Steel actually come out on top in the joint venture agreement with German competitor Thyssenkrupp? Analysts believe that ultimately, Tata Steel’s concessions have been “modest"" and far below what the more vocal of Thyssenkrupp’s investors have been gunning for.Foreign brokerage firm Jefferies said in an analysis of the deal that the 5% lower economic interest that Tata Steel has agreed to at the time of a future IPO “implies $200-350 million of value shift in favour of Thyssenkrupp"" against the original 50:50 agreement on sharing IPO proceeds. This offsets only part of the total value shift in favour of Tata Steel that Jefferies had earlier estimated of $500-600 million.In fact, US-based activist investor Elliott Advisors has accused Thyssenkrupp’s management of offloading assets into the joint venture too cheaply. Elliott had submitted an estimate of the two companies’ fair valuations, demanding an 80% stake in the joint venture for Thyssenkrupp for its more profitable operations. Financial Times reported on 1 July that two members of the Thyssenkrupp board voted against the deal while one member abstained. The newspaper also reported that Swedish activist investor Cevian Capital had voiced concerns regarding the deal’s valuations.In a conference with journalists in Brussels on Monday, Heinrich Hiesinger, CEO, Thyssenkrupp, insisted that his company had received a fair valuation. “We believe that the 55:45 split in IPO proceeds and the synergies (that will accrue) from the joint venture are a fair representation of our valuation and will address concerns that were raised about the valuation gap.""Thyssenkrupp’s management has also been under pressure to present a strategy update to the board of “life after steel"" and to improve margins in its capital goods and elevator business – its new stated areas of focus – and disposal plans for its industrial solutions and material sciences verticals. Managements at both firms have said that Thyssenkrupp Tata Steel BV – the new company and a 50:50 joint venture between the groups—is expected to have €17 billion in sales and joint labour force of 48,000 workers. It will be the second largest steel player in Europe in the flat steel market after ArcelorMittal. Both companies have stated that the JV will help achieve annual synergies of 400-500 million euros, through joint purchasing including logistics services, higher equipment utilization and reduced administrative expense. If, in the future, Thyssenkrupp decides to take the JV public, the proceeds will be split 55:45 in the German partner’s favour. Speaking to Mint a few days earlier, Atanu Mukherjee, president of global metals and energy consultant MN Dastur & Co., said: “I think it’s a great move for Tata Steel in terms of improving its position after its acquisition of Corus in 2007. With this, assets are pooled in a way that maximises value for Tata Steel globally.""At Monday’s press conference, N. Chandrasekaran, chairman, Tata Steel, told journalists that his company remains committed to building steel in Europe over the long term. “The Tata group’s approach has been to find a solution for Europe (steel operations). The discussions with Thyssenkrupp took time and there were pension issues to be resolved. There was a certain environment that was needed to create a strong JV with a strong future. This is a good solution not only for shareholders but also for employees.""",https://www.livemint.com/Companies/RenzeZacaGJCjUsTG4MbnL/Tata-Steel-comes-out-on-top-in-Thyssenkrupp-JV-agreement.html
2018-11-13,"Mumbai: Increased sales to the automotive and industrial products segments led Tata Steel, the country’s second-largest private sector steel producer, to report consolidated net profit of  ₹ 3,116 crore in the September quarter (Q2), up 206% from  ₹ 1,018 crore in the year-ago period. The company attributed this to better sales and stronger steel prices in a traditionally weak quarter.Consolidated revenue increased to  ₹ 43,544 crore in the quarter against  ₹ 32,464 crore a year ago. Over the same period, consolidated earnings before interest, taxes, depreciation and amortization (Ebitda) increased from  ₹ 4,664 crore to  ₹ 9,000 crore. The Ebitda margin was 21% while Ebitda/tonne, a key metric of a steel producer’s profitability, was  ₹ 12,131. The company spent  ₹ 2,177 crore in capital expenditure in Q2. Consolidated steel production in the quarter was 7.26 million tonnes (mt) while deliveries stood at 7.42 mt. “This has been one of the best ever quarters for Tata Steel India on the back of strong operating and market performance... The Bhushan Steel integration and synergies have been on track and that is reflected in the Bhushan Steel Ebitda margin of  ₹ 10,291/tonne,"" Koushik Chatterjee, executive director and chief financial officer, said on Tuesday.In May, Tata Steel acquired Bhushan Steel Ltd under the Insolvency and Bankruptcy Code for  ₹ 35,200 crore.One of the company’s key priorities is to reduce leverage by around a billion dollars in the next 12 months, primarily from internal cash flow and sale of non-core assets, Chatterjee said. Net debt was a little more than  ₹ 1 trillion at the end of Q2. Chatterjee said the company had already repaid about  ₹ 1,000 crore of the debt undertaken to buy Bhushan Steel since the transaction closed earlier this year.Regarding Tata Steel’s joint venture with Thyssenkrupp in Europe, T.V. Narendran, chief executive officer and managing director, said: “We are in discussions with the European Commission for the Phase 2 review, which typically takes 90 days."" To meet the EC’s competition criteria, Tata Steel will have to divest certain electrical, steel and packaging units in the region, Narendran said.Tata Steel, meanwhile, is also fighting a pitched battle in court with Sajjan Jindal-promoted JSW Steel Ltd to wrest control of another stressed asset, Bhushan Power and Steel Ltd. The next hearing in this case is on 3 December. Tata Steel has contested JSW Steel revising its bid, with Narendran saying, “The IBC process has been compromised.""On Tuesday, Tata Steel shares rose 1.07% to Rs589.15 apiece on the BSE while the benchmark Sensex gained 0.95% to end the day at 35,144.49 points.",https://www.livemint.com/Companies/3DM6pu1N6sKtW3MeGI075K/Q2-results-Tata-Steel-consolidated-profit-rises-to-Rs-3116.html
2018-03-23,"Mumbai: Tata Steel Ltd has been declared the successful resolution applicant for Bhushan Steel Ltd by the committee of creditors (CoC), the firm said in a stock exchange notification on Friday. The resolution plan finalized by the creditors will now need approval from the National Company Law Tribunal (NCLT) and the Competition Commission of India (CCI).In a report dated 7 March, Mint said Tata Steel has emerged as the highest bidder for the debt-ridden steel firm, outbidding JSW Steel Ltd.Bhushan Steel owes about Rs44,000 crore to its creditors. As per the resolution plan, Tata Steel has offered upfront cash of about Rs34,800 crore to the financial creditors, along with Rs1,200 crore to operational creditors.Even as the steel firm’s resolution plan has been finalized by CoC, pending cases against the firm in Kolkata NCLT can create hurdles for its bid.Tata Steel had also participated in the bidding for Electrosteel Steels Ltd. Its bid, however, has been challenged by Abhishek Dalmia-led Renaissance Steel India Pvt. Ltd.According to a plea filed by Renaissance Steel, Tata Steel is ineligible as a bidder under the insolvency and bankruptcy code on account of several criminal cases against the firm in the UK. The petition alleges Tata Steel UK Ltd, a unit of Tata Steel, has faced multiple prosecutions and had pleaded guilty to violating the UK Health and Safety Act several times. It also said that even as the offences were punishable with two years in jail, the UK authorities chose to impose fines. Meanwhile , Kolkata NCLT has sought a response from resolution professional Dhaivat Anjaria explaining the criteria on the basis of which Tata Steel has been declared eligible.A Tata Steel spokesperson was not available for a comment till the filing of the report.",https://www.livemint.com/Companies/oldGeHIIZWmEdtjZw0TQ1N/Tata-Steel-selected-as-successful-applicant-to-buy-Bhushan-S.html
2018-03-07,"Mumbai: Tata Steel Ltd has emerged as the highest bidder to buy a controlling stake in Bhushan Steel Ltd, which is currently undergoing bankruptcy proceedings.In a regulatory filing on Wednesday, Tata Steel said that it has been identified as the highest bidder under the corporate insolvency resolution process by the committee of creditors of Bhushan Steel on 6 March.Tata Steel is in discussion with advisers to the committee of creditors and the resolution professional of Bhushan Steel on the next steps in the process, Tata Steel said in the statement.Although Tata Steel did not disclose the financial details of the acquisition bid, two people close to the bidding process of Bhushan Steel said that the company has offered close to Rs34,800 crore as upfront payment to banks and an additional Rs1,200 crore to operational creditors. In addition, Tata Steel has also offered 12% equity stake to lenders in Bhushan Steel.Tata Steel did not respond to requests seeking details of the bid until publishing of this story.With this, Tata Steel has outbid rival JSW Steel Ltd. Mint had reported on 8 February that JSW Steel had offered Rs29,700 crore to lenders of Bhushan Steel. Tata Steel and JSW Steel were the only bidders for the debt laden steel maker and had submitted their bids on 3 February.The liquidation value of Bhushan Steel was fixed at Rs20,000 crore. Bhushan Steel is the largest manufacturer of auto-grade steel in India and owes close to Rs44,000 crore in debt to various lenders.The company is into manufacturing of flat products, hot rolled and cold rolled coils, besides operating a galvanised coil and sheet line. Its clients include General Motors Co., Hyundai Motors Co., Ford Motor Co., Mahindra and Mahindra Ltd and Eicher Tractors Ltd. Bhushan Steel is among the 12 cases identified by the Reserve Bank of India (RBI) for early bankruptcy proceedings.Mint reported on 9 February that both Tata Steel and JSW Steel have also submitted bids for Bhushan Power and Steel Ltd, the liquidation value and the fair value have been fixed at Rs9,000 crore and Rs24,000 crore, respectively. Bhushan Power and Steel is promoted by the Singhal family, which also owns Bhushan Steel. The firms, however, were managed separately—Bhushan Power by Sanjay Singhal, and Bhushan Steel by Neeraj Singhal.",https://www.livemint.com/Industry/WRZu7vqNu9aH3D5CadOvyI/Tata-Steel-emerges-as-top-bidder-for-Bhushan-Steel-acquisiti.html
2018-02-20,"Fears that Tata Steel Ltd may be biting off more than it can chew have made investors skittish as news reports say the company is in the lead to acquire Bhushan Steel Ltd, and Bhushan Power and Steel Ltd.The last time Tata Steel stretched its balance sheet to grow in size, it was to acquire Corus Plc. It took a hard fall on that one. Several restructuring attempts and asset impairment write-offs later, the European operations are set to move into a joint venture with Thyssenkrupp AG. If Tata Steel’s investors were settling in for a more normal ride from here on, the stressed assets’ bidding changes that.News reports indicate Tata Steel is offering an upfront payment of Rs35,000crore for Bhushan Steel for its financial creditors and Rs17,000 crore for Bhushan Power. This adds up to Rs52,000 crore, but after paying operational creditors and funding working capital, the amount may increase to Rs69,000 crore. At the financial creditors’ level, it translates to a haircut for the lenders of 38% for Bhushan Steel and 63% for Bhushan Power. The haircut in Bhushan Steel’s case seems to be less, which may be worrying investors.The upfront payment is only one aspect and the full transaction structure will give a better picture of what Tata Steel has offered, and what it is asking for in return. For instance, favourable debt refinancing terms could be one concession sought. Therefore, any premature reaction—celebratory or funereal—may be jumping the gun.What is behind Tata Steel’s interest in both companies? Bhushan Steel’s steel capacity is 5.6 million tonnes (mt), while that of Bhushan Power is 2.3mt, based on available information (Bhushan Power is unlisted). Both companies are also implementing expansion plans (including allied activities such as increasing captive power capacity) for their steel operations.The existing capacity of 7.9mt itself is substantial, considering that Tata Steel recently announced plans to expand its Odisha steel capacity by 5mt over four years, which will add to the company’s total steel capacity of 13mt.The location is another positive. Both the Bhushan plants are in Odisha, where Tata Steel’s new steel plant is also located. That should throw up opportunities of rationalizing costs across functions, and even higher operating efficiencies if possible, because of proximity of the plants. Saving costs on the corporate function is a given, as that function will become redundant and so will all the taxation-related concessions to make these stressed assets more attractive to bidders.What’s more, both companies are making profits at the Ebitda (earnings before interest, tax, depreciation and amortization) level, with fiscal year 2017 numbers showing Bhushan Steel turned in an Ebitda margin of 17.6% at the consolidated level while Bhushan Power’s stand-alone margin was 14%. High depreciation and interest costs pushed them into losses, implying underutilization of capacity and an unfavourable capital structure.A new owner would first focus on cutting costs, improving efficiency and utilization, and then completing those half-done projects that can improve profitability in the near run. Refinancing the debt at a lower cost will also be a priority to improve the net earnings from the acquired businesses.Tata Steel’s capital structure is set to change, which should help ease the burden of this transaction. A rights issue is under way to raise Rs12,800 crore and once the European steel business moves to a joint venture with Thyssenkrupp, the debt related to this business will also be lower. That should give Tata Steel breathing room for the increase in debt because of these acquisitions.Still, if not for these acquisitions, Tata Steel would have been left with a much lighter balance sheet and investors could have looked to a simpler life ahead. Now, the balance sheet will be weighed down by these acquisitions, and the additional investments needed to extract their full value. Invariably, such acquisitions are also a strain on profitability in the near-to-medium term. The longer run may see it all turn out well. But the longer run is also unpredictable, especially if the steel cycle goes against Tata Steel. Investors may have to reconcile having a new monkey on their backs.",https://www.livemint.com/Money/FyXGsFeaE4eXlE9e9Y39iM/Tata-Steels-bids-for-Bhushan-a-dj-vu-moment-for-investors.html
2018-06-30,"Frankfurt/Duesseldorf: Germany’s Thyssenkrupp AG and India’s Tata Steel Ltd signed a final agreement on Saturday to establish a long-expected steel joint venture, the European steel industry’s biggest shake-up in more than a decade. The final agreement comes after months of negotiations since an initial agreement was announced in September. Both companies hope it will help them respond to challenges in the volatile steel industry, including overcapacity.The largest deal in Europe’s steel industry since the takeover of Arcelor by Laxmi Niwas Mittal in 2006, the 50-50 joint venture—to be named Thyssenkrupp Tata Steel—will have about 48,000 workers and about €17 billion ($19.9 billion) in sales.Based in the Netherlands, it will be the continent’s second-largest steelmaker after ArcelorMittal. It forms the core of Thyssenkrupp CEO Heinrich Hiesinger’s plan to turn his steel-to-submarines conglomerate into a technology company.“The joint venture not only addresses the challenges of the European steel industry,"" Hiesinger said. “It is the only solution to create significant additional value of around €5 billion for both Thyssenkrupp and Tata Steel due to joint synergies which cannot be realized in a stand-alone scenario.""Tata Steel chairman Natarajan Chandrasekaran, in a separate statement, said the joint venture will create “a strong pan-European steel company that is structurally robust and competitive"".The deal comes as European steel makers face tariffs of 25% on their exports to the US, their biggest market. That might force local market to absorb more volume as a result.Since the tariffs were announced in late May, shares in European steelmakers ArcelorMittal, Thyssenkrupp, Salzgitter and Voestalpine have lost 8%-17%.Fresh termsHiesinger had faced pressure from activist shareholders Cevian and Elliott to extract more commitments from Tata Steel, whose European business has performed worse than Thyssenkrupp’s since the agreement was first announced, creating a valuation gap.Thyssenkrupp said the joint venture deal included “proper compensation"" for the gap, which it said was in the mid-triple-digit million-euro range: if the joint venture makes a widely expected initial public offering it would get a bigger share of the proceeds.Thyssenkrupp said it also secured the right to decide when a listing might take place, adding the joint venture was aiming for a dividend payout in the low-to-mid-triple-digit million-euro range.The German group also said it now expects annual synergies of €400 million to €500 million from the transaction. It said additional synergies were possible through managing capital expenditure and optimising working capital.Tata Steel will remain liable for environmental risks in Britain, where its Port Talbot factory, the least profitable of the joint venture, is based, said Markus Grolms, vice chairman of Thyssenkrupp’s supervisory board.He also said that Tata Steel’s Dutch unit would be part of the joint venture’s cash-pooling mechanism. That had been a key demand for German workers concerned that Tata would give its own workers better conditions in the new company. “Yes, we do want to protect people. But we also want a company with better chances and less risks,"" Grolms said.Thyssenkrupp’s management will present a refined strategy to its supervisory board in the second week of July. People familiar with the deal said that may include a sale of its Materials Services unit and further cost cuts.",https://www.livemint.com/Companies/NBX24xJtFaODQwdi6wfIgK/Tata-Steel--Thyssenkrupp-seal-landmark-steel-joint-venture.html
