date,data,url
2018-05-18,"Bamnipal has appointed members to Bhushan Steel's board, Tata Steel said in a statement.   Bhushan Steel, which was among a dozen companies pushed to bankruptcy court last year amid a government drive to clear a mountain of bad loans choking credit at Indian banks, has an annual steel-making capacity of about 5.6 million tonnes. Taking over Bhushan Steel will help Tata Steel to increase its capacity in India and gain an edge in the fast-growing automotive steel market. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/tata-steel-rs-35200-crore-purchase-of-bankrupt-bhushan-steel-1752885.html
2018-06-29,The proposed JV between two of the world's major steel companies will combine Thyssenkrupp's and Tata Steel's European steel operations to create Europe's second-largest steelmaker after steel tycoon Lakshmi N Mittal's ArcelorMittal. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px},https://www.news18.com/news/business/tata-steel-approves-european-steel-joint-venture-with-thyssenkrupp-1796173.html
2018-11-13,"Domestic deliveries rose to 4.32 million tonne, which is 58 percent of the group deliveries which rose 15 percent to 7.42 million tonne during the quarter.   ""Strong operational performance was primarily on the back of additional revenue from Bhushan Steel, improved deliveries in the domestic market and better realisation across geographies,"" executive director and chief financial officer Koushik Chatterjee told reporters here this evening. He further said the integration and synergies of Bhushan Steel, which the company bought through the bankruptcy process for Rs 35,200 crore during the quarter, have been on track and that is reflected in Bhushan Steel's pre-tax margin of Rs 10,291 per tonne. Chief executive and managing director TV Narendran said the domestic demand has been good and so was the domestic prices have been buoyant. ""The Tata Steel Group has delivered extremely strong results this quarter driven by robust operational performance and favourable business conditions in the home market. ""Despite a seasonally weaker period, we sold 4.32 million tonne across Tata Steel standalone and Bhushan Steel. This demonstrates our strong customer relationships and the strength of our marketing franchise,"" he said. Narendran further said the company continues to work on its strategy of increasing its domestic footprint and will ramp up operations at Bhushan Steel and implement our 5 million tonne per annum expansion at the Kalinganagar facility in Orissa. In line with this, the company has also signed definitive agreements to acquire the 1 million tonne speciality steel business of Usha Martin which will strengthen Tata Steel's capability in longs products, Narendran said. Tata Steel bought Usha Martin for around Rs 4,700 crore during the quarter, though a final approval from the NCLT is awaited. When asked about the European Union launching a probe into the proposed creation of joint venture between Tata Steel Europe and Germany's Thyssenkrupp, Narendran said the company is engaging with the Commission and supporting them. ""We were expecting it to go to phase 2 and we don't feel it is something unusual. The Commission has 90 working days and they have started the process. They have asked us a few questions and we are engaging with them and we are supporting them in the investigation,"" he said. Explaining further, Chatterjee said in the merger control clearance the Commission has made three observations on electrical steel, packaging steel and automotive steel. ""We are in a constructive engagement with the Commission along with Thyssenkrupp and we will work together to address all their concerns in the manner which they would want us to,"" he added. On the issues concerning trade wars, Narendran said, ""global steel industry demand is good. Chinese demand has increased by 7-8 percent in the past eight  months, while its production has grown by 6 percent, which means China is exporting less. Also, there is growth in demand in the US, Europe and Russia."" ""At the same time, there is good demand in India and Southeast Asia. Due to the trade actions, there is some diversion in demand, but the consequences of good macro market and good demand growth has reduced the impact of the tradewars,"" Narendran added. Chatterjee said the group had liquidity of Rs 26,470 crore of which cash/cash equivalent was Rs 14,478 crore and in sanctioned bank loans of Rs 11,992 crore. Its consolidated debt stood Rs 1.04 trillion, rose by Rs 2,065 crore during the quarter driven by a forex loss of Rs 3,528 crore. The Tata Steel counter closed at Rs 589.15 on the BSE, up 1.07 percent on a day when the index jumped 333 points.  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/bhushan-steel-boosts-tata-steel-group-net-by-over-threefold-to-rs-3116-crore-1938229.html
2018-08-10,"The appellate tribunal said that Tata Steel UK, a foreign subsidiary of Tata Steel, which was fined by an English Court in February 2018 under UK Act, had a provision of imprisonment for a term not exceeding twelve months, or a fine, or both'.   While, the provision in section 29A (d) of IBC, which deals with eligibility, stipulates has been convicted for any offence punishable with imprisonment for two years or more, cannot be equated with Section 33(1)(a) of the UK Act, said NCLAT. We hold that Tata Steel UK', which is the connected person' of Tata Steel Ltd', does not attract the disability. under Section 29A of the I&B Code' and for the said reason, we also hold that Tata Steel Limited' is eligible to file the Resolution Plan'', said NCLAT. Section 29 A of the IBC mandates that a person convicted for any offence punishable with imprisonment for two years or more is ineligible for submitting a resolution plan. Over the claims of L&T, which had supplied goods and machineries goods over Rs 900 crore, NCLAT said that Tata Steel's resolution plan was fair towards operational creditors of Bhushan Steel which has a total demand of Rs 1,422 crore. The appellate tribunal observed that the company has allotted Rs 1,200 crore for them and L&T plea for a higher priority could not be accepted. We hold that the Resolution Plan' submitted by Tata Steel is fair and equitable to all the, Creditors including the Operational Creditors therefore, no interference is called for, the appellate tribunal said. Moreover, it also declined the plea of Brij Bhushan Singal of the promoters family, contending Tata Steel's Resolution Plan' was illegal as it purports to transfer shares' of the preference shareholders' of Bhushan Steel without their consent for a fixed consideration of Rs 100 as against Rs 2,269 crore. Over the claims of Department of Forest and Environment, Government of Jharkhand that part of the land shown in the resolution plan does not belong to Bhushan Steel and is in illegal possession of the company, NCLAT said that Tata Steel is aware of the proceedings. If the title of land is defective, it cannot be cured upon taking over the assets of the Corporate Debtor' (Bhushan Steel) by the Resolution Applicants', said NCLAT. It further said: ""The Adjudicating Authority (NCLT) for the said reason held that remedy available to the Applicant/State of Jharkhand and its Officers, having already initiated and pending against the Corporate Debtor', allowing or rejecting the Resolution Plan' will not affect the legal remedy. Bhushan Steel owed its lenders about Rs 56,000 crore and was among the 12 big loan defaulters identified by the Reserve Bank of India last year to undergo insolvency under the new bankruptcy law. On May 15 the National Company Law Tribunal (NCLT) had approved Tata Steel's bid for Bhushan Steel and this was challenged by Neeraj Singal and L&T before NCLAT. Tata Steel has offered Rs 35,200 crore in cash to acquire Bhushan Steel. It would pay another Rs 1,200 crore over next 12 months to creditors and convert the remaining debt owed to banks to equity. We are not inclined to interfere with the order dated 15th May, 2018, passed by the Adjudicating Authority (NCLT) in the case of Bhushan Steel Limited' under challenge in Company Appeals... They are accordingly dismissed,' the appellate tribunal said. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/nclat-upholds-bhushan-steel-sale-to-tata-steel-rejects-issues-over-its-ineligibility-1840713.html
2018-11-10,"One point adrift is overnight joint leader Pentala Harikrishna who drew American Wesley So with the white pieces of the Berlin defence in round six to slip to third place.   Anand looked promising with the Black pieces but Shakhriyar Mamedyarov of Azerbaijan had a strong initiative to force a draw. Local challenger Surya Shekhar Ganguly had a disappointing day at office as he managed to score only 0.5/3 and went down to Aronian in his last game of the day with the white pieces in the Italian opening. World Cup champion Aronian looked in some kind of trouble initially but the Armenian star said it was his strategy to deceive Ganguly. ""That's generally my strategy for the game. I tried to create imbalance position just to press Surya on the clock. He is a very solid player. So I thought to create some imbalance and I think I managed to get him excited,"" Aronian, a winner of the 2017 St Louis rapid and blitz title, said. ""At the very last moment, he could still make a draw but I think he thought it's a good moment to have his first win and he lost his way."" Nakamura, world number two in rapid, started the day on a rousing note when he defeated overnight leader Mamedyarov Shakhriyar. Playing white, Mamedyarov had an equal position against the speed chess superstar Nakamura but blundered with a Knight move on the 33rd and there was no coming back and he went on to lose. ""He refused to go for a draw and things simply started going my way. Things became smooth (from round five) after I won the game,"" Nakamura, who outwitted Ganguly and Nihal Sarin in the fifth and sixth rounds, said. Playing each other for the first time on Indian soil, Anand and Pentala Harikrishna had an interesting draw that saw no player taking extra risks. 14-year-old Nihal Sarin had the spectators on their toes as he was on the verge of beating Mamedyarov who managed to hold on with some tricks and then ended in perpetual checks on the 60th move. ""I'm playing quite well here. It's a very good experience, it's my first super tournament and a nice exposure. But I'm not under any extra pressure,"" Sarin, who is the world number one in U-14 section, said.  Results (Round Six): Surya Shekhar Ganguly (1) lost to Levon Aronian (Arm, 4.5); Vidit Gujarati (2.5) beat Sergey Karjakin (Rus, 3); Pentala Harikrishna (3.5) drew with Wesley So (USA, 3); Shakhriyar Mamedyarov (Aze, 3) drew with Viswanathan Anand (3); Hikaru Nakamura (USA, 4.5) beat Nihal Sarin (2).  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/sports/nakamura-jumps-to-joint-lead-anand-draws-at-tata-steel-india-2018-rapid-tournament-1935425.html
2018-11-14,"""I wanted to show the audience what is that I do in some other parts of the world all the time and it was nice to be able to do it here,"" Anand, who played in Kolkata for the first time after the third Goodricke Open in 1992, said.   ""It was just the most magical day for me... Here, I did not have any problem with motivation. It genuinely meant a lot to me to do well here,"" Anand added. The legend was also playing his first competition in India after being dethroned in the 2013 World Championship by Magnus Carlsen at his hometown. ""It's long been a dream of mine. And we have ticked the other boxes, we have good opens, we have strong players. But the one thing that was lacking was frequent visits by the top players in the world. Now we have that. So it meant a lot to me to be able to play here in India and especially here in Kolkata,"" Anand who played his first GM tournament here in 1986 said. In the blitz category, the five-time World Champion of classical chess had last won a bronze medal at the World Championship in December 2017 Riyadh, the same meet where he had also won the rapid title. The American of Japanese descent had a forgettable outing on the final leg where he managed to win four and drew four and suffered a defeat to Pentala Harikrishna in the 11th round. India's youngest Grandmaster R Praggnanandhaa did a huge favour to Anand in the last round when he held Nakamura in the final round.  Playing with whites against the 13-year-old Nakamura was on the verge of winning but the wildcard entrant Praggnanandhaa probably displayed the best defensive game of his life to manage a miraculous draw that forced a playoff against Anand. In the play-off, Anand, who is world ranked 11 in blitz, was at his best winning the first in an Italian game.  Nakamura took some risks initially, but Anand displayed a solid game with a one up pawn. They had a rook and pawn endgame where Anand sealed the issue with a superb display. Down 0-1, Nakamura played with a long term strategy in the second game thinking Anand would break down trying to defend. But Anand was at his aggressive best and went in for an all-out attack to put Nakamura in the back foot. Finally, the game was forced in opposite square bishop endgame where Nakamura was forced to concede a draw and hand the title to Anand.  Nakamura gave Anand the best compliment when he said there's no reason why the 48-year-old should stop playing. ""To me what Vishy has done... I am almost certain I won't be playing chess at that age. So it's really remarkable and I think especially if you compare (him) against Gary (Kasparov) for example. Gary kind of came out of retirement to play in St Lucia.  ""And I think Vishy did better than he did. It just shows what a truly amazing chess player he is,"" Nakamura said.  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/sports/viswanathan-anand-seals-blitz-title-in-style-by-beating-hikaru-nakamura-1939421.html
2018-12-24,"In the partys manifesto also, it was promised that the agricultural lands acquired for industrial purpose, on which no project was established within five years of acquisition, will be returned to farmers.   A total of 1764.61 hectare of private land of about 1,707 farmers of ten villages was acquired by then government for the Tata Steel plant in February 2008 and December 2008, a government public relation official said. The villages in which land acquisition was done includes Chhindgaon, Kumhli, Beliyapal, Bandaji, Daabpal, Bade Paroda, Belar, Dhuragaon and Sirisguda of Lohandiguda Tehsil and Takarguda under Tokapal tehsil. In 2005, Tata Steel had signed an agreement with the Raman Singh-led BJP government for setting a steel plant with an investment of around Rs 19,500 crore in Lohandiguda, he said. In 2016, Tata Steel had scrapped the project. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/land-acquired-for-tata-steel-plant-in-chhattisgarh-to-be-given-back-to-farmers-1982883.html
2018-12-17,"Thyssenkrupp and Tata Steel in June signed a final agreement to create the venture following years of talks, just days before a leadership crisis erupted at the sprawling German industrials group.   Sandip Biswas, a member of Tata Steel's senior management, will become finance chief of the new entity, the groups said. Premal Desai, who serves as the chief financial officer of Thyssenkrupp's steel unit, will complete the board as chief strategy officer. ""The future management board is the right choice to build a strong number two in the European flat steel market,"" Thyssenkrupp Chief Executive Guido Kerkhoff said. ""I am fully convinced that this Board will successfully lead the integration of the Joint Venture given their extensive technical and operational expertise as well as their broad intercultural experiences."" The appointment of Goss as CEO of the joint venture, which still requires antitrust approval by the EU Commission, was first flagged by Reuters earlier this month, as was the fact that the board would comprise four members. Both groups had originally aimed to have six management board members for the 50-50 venture. The next level management will be named in early 2019, the companies said. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/thyssenkrupp-steel-boss-andreas-goss-to-lead-joint-venture-with-tata-steel-1976221.html
2018-09-15,"The USD 40,000 prize money tournament will feature three top players in the 2800-plus Elo rating, it was announced. The top players include Azerbaijan GM and world number three Shakhriyar Mamedyarov, Armenian GM and world number six Levon Aronian, USA's GM Wesley So who is world number 9, Japanese-American GM and four-time United States champion Hikaru Nakamura who is world number 14 and Russian GM Sergey Karjakin (world number 15).   ""There's a lot of excitement to play here. Hope it revitalises the chess in the region,"" the 48-year-old who is currently ranked 10 in the world said. Anand regained some form at the Sinquefield Cup that ended in August in St Louis, US, after a run of uninspiring performances since May. The first Indian to become a chess GM, Anand went undefeated in the tournament, though he did not manage any wins either, and finished sixth out of 10 participants. Anand is part of the Indian contingent for the Chess Olympiad later this month. It will be his first appearance in the tournament since 2006. Apart from the Indian chess wizard, the Indian GMs include P Harikrishna, Surya Sekhar Ganguly, Vidit Gujarati, Nihal Sarin, Rameshbabu Praggnanandhaa as a total of 11 top-ranked players will comepte in the meet at the Indian Council for Cultural Relations. The participants will play a single round robin (all play all) rapid tournament from November 9-11 followed by a double round robin blitz on the last two days. With an aim to make this a long-term event, Tata Steel vice president Sunil Bhaskaran said, ""We hope it's not a one-off event, there's definitely a plan and it's just the beginning. The idea is to get it into classical format. We are just starting out with the fifty and Twenty overs (rapid and blitz) versions."" Tata Steel has a long-standing association with chess having been the main sponsor of the Wijk aan Zee meet in the Netherlands. ""Tata Steel intends to make this a world class and most sought-after event in professional chess in the years to come,"" Bhaskaran added. .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/sports/viswanathan-anand-star-attraction-in-tata-steel-rapid-blitz-in-november-1878475.html
2018-11-15,"While a spokesperson of Tata Sons, which already runs two airlines-- the full-service carrier Vistara in a JV with Singapore Airlines, and the low-cost carrier AirAsia India in JV with Air Asia of Malaysia, refused to comment on ""speculation,"" Jet did not respond to PTI queries on the same.   ""We do not comment on speculation,"" a Tata Sons, which originally owned the present national carrier Air India, spokesperson said when asked for confirmation. Besides Goyal, who along with his family owns 51 percent stake in the carrier, Gulf carrier Etihad Airways holds 24 percent stake in the cash-strapped airline which earlier this week reported Rs 1,261 crore loss for the September quarter against a profit of Rs 71 crore y-o-y,making it the third straight quarters of heavy losses.  This had the airline also putting as many as six of its Boeing 777s on sale to part-fund liquidity. Media reports suggest that the parent company of Vistara, Tata-Singapore Airlines, is looking at all-stock merger with Jet Airways as part of the Tata group's plans to board Goyal's full service carrier. In an exchange filing, Jet Airways described the media reports as speculative. ""...the subject news is speculative in nature and that there is no discussion or decision in the board which would require a disclosure...,"" the airline informed BSE. According to reports, the two sides are inching towards a two-step transaction that would first see Jet Airways merging with Tata-SIA that runs Vistara through a share swap to form a new JV, which will have the Goyal family, Etihad, Tata Sons and Singapore Airlines as its partners. ""We are currently at various stages of discussions with multiple interested parties for both part stake sale in Jet Privilege and fresh equity infusion,"" Agarwal had told analysts during the post-earnings concall Tuesday. He had also said the company hired investment bankers and consulting firms to carry out these tasks. The cash paucity in the country's second largest airline by market share has resulted in delayed payments to some vendors and salaries to a section of its over 16,000 employees.  .update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.update_date{font-size:12px;color:#666;display:block;text-align:left}.update_date strong{font-weight:700}.related-storybox{padding:10px 0;border-top:1px solid #eee;border-bottom:1px solid #eee;margin:14px 0}.related-storybox h2{font-size:20px;padding-bottom:6px;color:#222}.related-storybox ul{display:flex;justify-content:space-between}.related-storybox ul li{background:#f0f0f0;margin-right:10px;flex:1;padding:10px;box-sizing:border-box;font-size:15px;line-height:21px}.related-storybox ul li:last-child{margin-right:0}.related-storybox ul li a{color:#222}.related-storybox ul li img{float:left;padding-right:10px}@media(max-width:600px){.related-storybox ul li{flex-basis:100%;margin-bottom:10px;height:92px;margin-right:0}.related-storybox ul{display:block}} .video-sicon{top:25px;}ul.opinion-listing{border-bottom:1px solid #ccc; display:flex; margin-bottom:10px; justify-content:space-between}ul.opinion-listing li{border-bottom: 0; max-width:216px; width:100%; font-size:15px; padding:15px 0 12px; position:relative; line-height:22px; font-weight:bold}ul.opinion-listing li a{color:#282828}.alsowatch{font-size:20px; font-weight:bold; padding-top:10px; color:#444; border-bottom:1px solid #ccc; padding-bottom:4px;}ul.opinion-listing li .vodeoiconb{width:35px; height:35px; background-size:35px; top:25px; left:170px}",https://www.news18.com/news/business/tata-sons-board-likely-to-meet-on-friday-to-decide-on-jet-airways-takeover-1940325.html
