date,data,url
2018-01-01,"NEW DELHI: The S&P BSE Capital Goods index was trading 0.62 per cent up at 19,253 around 12:25 pm (IST), backed by gains in shares of Reliance Naval and Engineering (up 25.58 per cent).Shares of Graphite India (up 4 per cent), Va Tech Wabag (up 2.32 per cent), Carborundum Universal (up 2.18 per cent), Suzlon Energy (up 1.99 per cent), SKF India (up 1.99 per cent), Welspun Corp (up 1.70 per cent), Sadbhav Engineering (up 1.28 per cent) and Bharat Heavy Electricals (up 0.86 per cent) were also among the top gainers in the BSE Capital Goods index.On theother hand, Finolex Cables (down 0.90 per cent), Kalpataru Power Transmissions (down 0.82 per cent), Havells India (down 0.65 per cent), V-Guard Industries (down 0.43 per cent) and BEML (down 0.30 per cent) were trading as the losers in the BSE Capital Goods index.Benchmark BSE Sensex was 10 points down at 34,047, while the NSE Nifty50 index was 8 points down at 10,523. Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. Sun Pharma, Bharti Airtel and Tata Motors were leading the Sensex index.On the other hand, Tata Consultancy Services, Hindustan Unilever and ICICI Bank were the top drags on the Sensex index.",http://economictimes.indiatimes.com/markets/stocks/news/market-now-bse-capital-goods-index-up-reliance-naval-and-engineering-zooms-over-25/articleshow/62323029.cms
2018-01-01,"Reliance Naval and Engineering, Unitech, Reliance Power, Infibeam Incorporation, Religare Enterprises, HCL Infosystems, Videocon Industries, Bombay Dyeing and Whirlpool were among to 10 BSE A group companies in terms of return at around 12.20 pm (IST).Reliance Naval was trading 25 per cent up at Rs 61.60, while Unitech was up 18 per cent at Rs 11.37 at around the same time.On the other hand, benchmark BSE Sensex was trading almost flat at 34,054.Infibeam Incorporation and Reliance Power were up by 7 per cent and 16 per cent, respectively.On the BSE, 87.29 lakh shares of Reliance Power were traded on the counter so far as against the average daily volumes of 29.18 lakh shares in the past two weeks.Benchmark equity indices BSE Sensex and NSE Nifty were trading almost flat in a volatile session on account of absence of cues as financial markets across the world were closed for New Year holiday.However, some buying was seen in real estate, healthcare, consumer durables, industrial's capital goods, utilities, auto and power sectors.",http://economictimes.indiatimes.com/markets/stocks/news/reliance-naval-unitech-among-top-10-gainers-in-bses-a-group-stocks/articleshow/62323345.cms
2018-01-01,"NEW DELHI: The S&P BSE Power index was trading 1.15 per cent up at 2,409 around 01:10 pm (IST), with shares of Reliance Power (up 17.71 per cent) zooming nearly 18 per cent.Shares of Reliance Infrastructure (up 4.21 per cent), Suzlon Energy (up 3.60 per cent), GMR Infrastructure (up 3.56 per cent), Tata Power Company (up 3.52 per cent), Adani Power (up 2.88 per cent), CESC (up 1.92 per cent), JSW Energy (up 1.46 per cent), PTC India (up 0.84 per cent), Bharat Heavy Electricals (up 0.76 per cent), CG Power and Industrial Solutions (up 0.75 per cent) and ABB India (up 0.43 per cent) were also trading up in the power index.However, shares of Adani Transmission (down 0.94 per cent), Torrent Power (down 0.19 per cent) and NTPC (down 0.14 per cent) were trading down around that time. Benchmark BSE Sensex was 23 points down at 34,034, while the NSE Nifty50 index was down 13 points down at 10,517.Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. Wipro, Sun Pharma, Coal India and Bharti Airtel were leading Sensex index.On the contrary, Tata Consultancy Services, Hindustan Unilever, ICICI Bank and HDFC were among the top losers.",http://economictimes.indiatimes.com/markets/stocks/news/market-now-power-stocks-up-reliance-power-zooms-18/articleshow/62323406.cms
2018-01-02,"NEW DELHI: The S&P BSE Power index was trading 0.09 per cent down at 2,398 around 11:25 am (IST) on Tuesday, with shares of Adani Transmission (down 3.85 per cent), Reliance Power (down 3.71 per cent), GMR Infrastructure (down 2.24 per cent) and Reliance Infrastructure (down 1.88 per cent) as the top losers.Torrent Power (down 1.61 per cent), CG Power and Industrial Solutions (down 1.29 per cent), NHPC (down 1.24 per cent), Suzlon Energy (down 0.95 per cent), JSW Energy (down 0.82 per cent), KEC International (down 0.50 per cent) and CESC (down 0.47 per cent) were also trading down around that time. However, shares of Adani Power (up 1.64 per cent), ABB India (up 1.36 per cent), Siemens (up 1.18 per cent), Bharat Heavy Electricals (up 0.89 per cent), NTPC (up 0.82 per cent), Tata Power Company (up 0.57 per cent) and PTC India (up 0.50 per cent) were trading up in the power index around that time.Benchmark BSE Sensex was 25 points down at 33,787 NSE Nifty50 index was 6 points down at 10,430. Among the 50 stocks in the Nifty50 index, 19 were trading in the green, while 31 were in the red. Oil and Natural Gas Corporation (ONGC), Coal India and Tata Motors were the top gainers of the Sensex index.State Bank of India, Larsen & Toubro, YES Bank and Maruti Suzuki were among the top laggards in the Sensex index.",http://economictimes.indiatimes.com/markets/stocks/news/market-now-bse-power-index-in-the-red-adani-transmission-reliance-power-top-drags/articleshow/62334285.cms
2018-01-02,"Reliance Jio vs Vodafone vs Bharti Airtel: With the advent of the new year, Reliance Jio has come up with 100 per cent cashback in its new Happy New Year 2018 plan. One day later, Vodafone came up with Rs 198 plan to counter RJio's Rs 199 plan. Bharti Airtel has also upped the ante by bringing in more benefits for consumers in its existing plans. Check out details here: (All plans are for pre-paid connections)The low budget plan:* Reliance Jio's Rs 199 plan: 33.6 GB 4G data for 28 days with a daily data limit of 1.2GB + Unlimited calls and SMS* Vodafone's Rs 198 plan: 1GB 4G/3G data per day for 28 days + 300 unlimited* local/STD calls per day and 100 SMS per day. (The daily call limit is 300 minutes and it may vary)* Bharti Airtel's Rs 199 plan: 1GB 4G data per day for 28 days + unlimited local/STD calls and 100 SMS per day.The mid-budget plan* Jio's Rs 459 plan: 1GB data per day for 84 days with unlimited calls and SMS* Vodafone's Rs 458 plan: 1GB 4G/3G data per day for 70 days + unlimited* local/STD calls with 100 SMS per day. (The daily call limit is 300 minutes and it may vary)* Airtel's Rs 448 plan: 1GB 4G data per day for 70 days + unlimited local/STD calls and 100 SMS per day.The high-end plan* Jio's Rs 799 plan: 3GB data per day for 28 days with unlimited calls and SMS* Vodafone's Rs 859 plan: There is no Rs 799 plan in Vodafone. However, it has a Rs 859 plan in which it offers 11 GB 3G data & free Wi-Fi @ 1 GB - for 2G/3G/4G for 28 days.* Airtel's Rs 799 plan: 3.5GB data per day for 28 days with unlimited calls (non-commercial) + 100 local/STD SMS per day(Note: The offers described for above plans may vary. Please check with your operator before recharge)",http://economictimes.indiatimes.com/news/company/corporate-trends/reliance-jio-vs-airtel-vs-vodafone-latest-plans-and-offers-you-may-opt-for-in-2018/articleshow/62335307.cms
2018-01-02,"MUMBAI: Reliance Industries (RIL) has commissioned a giant cracker project, completing its massive petchem capex programme, which Mukesh Ambani said marks a paradigm shift in the profitability of the petrochemicals business.With the commissioning of the refinery off-gas cracker (ROGC) unit, the company completed its largest ever capex of around $15 billion on petrochemicals business, which could potentially double the revenue of the business.“The world’s first ROGC and downstream plants marks a paradigm shift in the profitability and sustainability of RIL’s petrochemicals business,” Chairman Ambani said in a statement.The ROGC complex uses off-gases from RIL’s two refineries at Jamnagar as input, making the raw material cost for the unit almost nominal. This will boost the profit margin and help the company compete with low-cost producers from the Middle East and North America.Analysts have pegged the commission of this unit as value accretive, with the full impact of it kicking in the next few quarters.The ROGC plant will act as a link between the refinery and petrochemical units run by the company. It will turn the off-gas from the refinery to ethylene and propylene, which will go through further value addition at the perches units to deliver high-value polymer.RIL said there are 270 ethylene plants globally with a combined capacity of over 170 million tonne per annum (mtpa). With the commissioning of this unit, RIL has a total ethylene capacity of 4 mtpa across five sites.“RIL joins the distinguished league of top petrochemical producers globally by doubling its ethylene capacity...With ROGC and imported ethane, RIL has one of the most competitive and flexible cracker portfolio,"" the company said.In the year ended 2016-17, RIL’s petchem division clocked revenue of Rs 92,472 crore with operating profit of Rs 12,990 crore. Industry watchers believe the newly commissioned petchem units could drive the revenue and profits to surpass that of its core refinery business.The company said the ROGC complex was built in record time with approximately 40% lower capital cost compared to the similar projects globally.RIL has capability to produce entire range of PE grades covering all end-uses in the Indian market.",http://economictimes.indiatimes.com/industry/energy/oil-gas/reliance-industries-completes-16-billion-expansiondoubles-ethylene-capacity-to-4-million-metric-tonne/articleshow/62339484.cms
2018-01-03,"CLSA has retained buy rating on Reliance Industries with a target price of Rs 1,080. The Hong Kong-headquartered brokerage said this year will see a big cash-flow boost as projects of over $40 billion start to deliver in full swing while capital expenditure falls. ""Stabilisation of ROGC and petcoke gasification would boost Ebitda,"" said CLSA. CLSA said Jio’s monetisation plan entails raising smartphone Arpus and expanding 4G feature phone subs along with the launch of its broadband and enterprise offering. ""We will also start to see cross-selling and other ways to monetise Reliance’s wide customer base, which will be the key long-term value driver,"" said CLSA.",http://economictimes.indiatimes.com/markets/stocks/news/clsa-maintains-buy-on-reliance-industries/articleshow/62346668.cms
2018-01-03,"NEW DELHI: Shares of Reliance Industries (Rs 115.39 crore), Coal India (Rs 93.80 crore), Dr Reddy's Labs (Rs 76.03 crore) and Ashok Leyland (Rs 63.11 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Wednesday.Shares of Maruti Suzuki (Rs 54.16 crore), Tata Motors (Rs 50.91 crore), SBI (Rs 49.38 crore), Titan Co. (Rs 46.19 crore), Tata Power (Rs 44.85 crore), Infosys (Rs 43.73 crore), Bharti Airtel (Rs 38.48 crore) and Vedanta (Rs 36.88 crore) also jooined the club of most active stocks in terms of value. Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).For trending stocks and buzzing news, track this LIVE BLOG from Dalal StreetIn the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red.",http://economictimes.indiatimes.com/markets/stocks/news/market-now-ril-dr-reddys-labs-among-most-active-stocks-in-terms-of-value/articleshow/62347140.cms
2018-01-03,"MUMBAI: GIC Re has provided reinsurance support to Reliance Industries’ refinery and petrochemical plants at Jamnagar and Hazira in Gujarat. The mega risk policy of Rs 2 lakh crore is shared with 10 insurance companies, said two people familiar with the matter. Reliance Industries has paid a premium of Rs 625 crore for the cover. New India Assurance is in the lead, with the support of nine other insurance companies in the mega risk policy.The refinery has the highest asset value at a single location in the world, and is also one of the largest refining complexes, with an aggregate capacity of 1.24 million barrels of oil per day. The policy has come into force from December 31, 2017, and about half the risk is placed in the international reinsurance market.“Such risks cannot be absorbed by any single insurance company or even a single reinsurance company and that is where such risks are shared among a number of reinsurers globally,” said a source aware of the development. GIC Re executives declined to comment.Usually, one reinsurer, known as the leader, decides the terms of such covers. Other reinsurers then adopt the terms decided by the leader and write the risk. GIC Re is also providing significant support to other large players in the oil and petroleum sector, such as ONGC, Bharat Petroleum, Mangalore Refinery, Indian Oil and Cairn Energy. This practice also applies to infrastructure, airlines, oil and energy risk, exposures and agriculture insurance, or any exposure that goes beyond the balance sheet strength of an insurer.Insurers mostly find themselves short of required financial strength to write such risks on their own.",http://economictimes.indiatimes.com/markets/stocks/news/gic-re-backs-rs-2l-crore-cover-to-reliance-industries-units/articleshow/62347445.cms
2018-01-03,"NEW DELHI: Shares of oil-to-telecom behemoth Reliance Industries (RIL) were trading higher in early trade on Wednesday after the company said it has commissioned the world's largest refinery off-gas cracker (ROGC) complex at Jamnagar which will use refinery process residue to produce feedstock used to make petrochemicals.The ROGC is part of the $11 billion capital expenditure RIL had announced in one of the largest brown-field expansion of energy and petrochemical projects globally.Shares of the company opened at Rs 924.45 and touched a high and low of Rs 927.20 and Rs 913.30, respectively, eventually closing 0.54 per cent up at Rs 916.35.In a press statement, RIL said it has ""successfully commissioned and achieved design throughput of the world's first ever and largest ROGC complex of 1.5 million tonnes per annum capacity along with downstream plants and utilities."" Mukesh D Ambani, Chairman and Managing Director, Reliance Industries Limited said: ""The world's first ROGC and downstream plants marks a paradigm shift in the profitability and sustainability of RIL's petrochemicals business. The ROGC complex is built on our core philosophy of deep feedstock integration to establish industry leading cost and efficiency benchmarks. This world scale petrochemicals expansion, once again showcases RIL's unique competitive advantage in efficient execution of complex projects and flawless commissioning capabilities, adding yet another jewel to its crown.""",http://economictimes.indiatimes.com/markets/stocks/news/ril-shares-gain-after-expansion-at-jamnagar-refinery/articleshow/62347469.cms
