date,data,url
2018-01-01,"Airtel's all-new Rs 93 prepaid recharge plan comes with no daily data cap, and has an upper limit of 1GB data for 10 days.  It also gives users unlimited local, STD and roaming calls and 100 SMSes per day. The validity of the plan is 10 days.Jio's Rs 98 prepaid recharge planReliance Jio's Rs 98 prepaid recharge plan offers 2.1 GB of 4G data with a daily data cap of 0.15 GB along with unlimited voice calls (local + STD + roaming). A total of 140 free SMSes are also offered with Jio's Rs 98 prepaid recharge plan. The validity of the plan is 14 days. Users also get access to unlimited Jio apps.In a bid to counter Reliance Jio's Rs 98 prepaid recharge plan, Airtel has launched Rs 93 prepaid recharge offer which gives users 1GB or gigabytes of 3G/4G data for 10 days. Airtel's Rs 93 prepaid recharge plan also gives users unlimited local, STD and roaming calls along with 100 SMSes (short message service) per day. This prepaid recharge plan is allowed for for non-commercial use only, said Airtel on its website, airtel.in. On the other hand, Jio's Rs 98 prepaid plan offers 2.1GB of 4G data along with free local, STD and roaming calls with a daily data limit of 0.15 GB.Here are the details of Jio's Rs 98 prepaid recharge plan and Airtel's Rs 93 prepaid recharge plan : Airtels' Rs 93 prepaid recharge plangoogletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });  Airtel's all-new Rs 93 prepaid recharge plan comes with no daily data cap, and has an upper limit of 1GB data for 10 days.  It also gives users unlimited local, STD and roaming calls and 100 SMSes per day. The validity of the plan is 10 days.Jio's Rs 98 prepaid recharge planReliance Jio's Rs 98 prepaid recharge plan offers 2.1 GB of 4G data with a daily data cap of 0.15 GB along with unlimited voice calls (local + STD + roaming). A total of 140 free SMSes are also offered with Jio's Rs 98 prepaid recharge plan. The validity of the plan is 14 days. Users also get access to unlimited Jio apps. Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-effect-airtels-rs-93-prepaid-recharge-plan-offers-1gb-data-unlimited-calls-1794451
2018-01-02,"Reliance Jio's New Year 'Surprise cashback offer' gives a total cashback of up to Rs 3,300 on every recharge of Rs 399 or above. Jio's 'Surprise cashback offer' is valid till January 15 and is available only for Jio Prime members. According to the website of Jio (jio.com), subscribers can avail the surprise cashback of up to Rs 3,300 in three ways- Jio tariff plan recharge, digital wallets recharge and online shopping coupons from Jio's e-commerce partners. Jio's surprise cashback promises a surprise with every recharge of Rs 399 and above.How To Avail Jio's Cashback Of Rs 3,300Online Shopping Coupons From E-Commerce PartnersReliance Jio's New Year 'Surprise cashback offer' gives a total cashback of up to Rs 3,300 on every recharge of Rs 399 or above. Jio's 'Surprise cashback offer' is valid till January 15 and is available only for Jio Prime members. According to the website of Jio (jio.com), subscribers can avail the surprise cashback of up to Rs 3,300 in three ways- Jio tariff plan recharge, digital wallets recharge and online shopping coupons from Jio's e-commerce partners. Jio's surprise cashback promises a surprise with every recharge of Rs 399 and above.How To Avail Jio's Cashback Of Rs 3,300Jio is offering 100 percent cashback vouchers worth Rs 400 in the form of eight vouchers of Rs 50 on every recharge of Rs 399 or above. Jio has partnered with leading digital wallets to bring instant cashback of up to Rs 300. Jio has also partnered with e-commerce players to offer coupons of up to Rs 2,600 on every recharge. This raises the total value of the offer to Rs 3,300 (Rs 400+Rs 300+Rs 2,600).Earlier, Jio was offering a triple cashback of up to Rs 2,599 before announcing the surprise cashback offer on every recharge of Rs 399 or above. Jio's triple cashback offer ended on December 25, a day before Jio's New Year 'Surprise cashback offer' started.Jio's Surprise Cashback Offer In DetailJio Tariff Plan RechargeJio Prime members will get a cashback worth Rs 400 in the form of eight vouchers of Rs 50 denomination each on every recharge of Rs 399 or above. This will be credited immediately in customers' accounts and will be visible under My Vouchers in MyJio app.Digital Wallets RechargeJio has partnered with leading digital wallets to offer an instant cashback of up to Rs 300 to its customers. Subscribers get a cashback of up to 300 while paying for the recharge using the company's select digital wallets like FreeCharge, Mobikwik, PayTM, Amazon Pay, PhonePe and BHIM.When the recharge is done through MobiKwik, users get a cashback of Rs 300 (both new and existing Jio Prime members). Amazon Pay users get Rs 100 cashback (both new and existing Jio Prime mmebers). Paytm is offering Rs 50 as cashback to new customers and Rs 30 to existing customers. PhonePe wallet is also offering cashback where new Jio users get Rs 75 while existing ones get Rs 30. Jio has also announced the offer for BHIM app users where new users get Rs 100 as cashback while existing ones get Rs 30. Jio users recharging through Freecharge get 50 cashback, which is applicable for new users while existing ones get Rs 30.Online Shopping Coupons From E-Commerce PartnersJio has partnered with e-commerce players like Zoomcar, OYO, Paytm Mall, Yatra, BigBasket and Grofers to offer vouchers of up to Rs 2,600 on every recharge. Jio user who recharge with Rs 399 and above get 20 per cent discount on Zoomcar with up to Rs 1,000.   googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Jio users are also applicable for 30 per cent discount on Oyo Hotel bookings and 50 per cent Oyo money cashback up to Rs 1,500. Jio Prime members get a cashback of up to Rs 2,000 on minimum purchase of Rs 10,000 on Paytm mall for electronic products. BigBasket gives a 20 per cent discount on a minimum purchase of Rs 600. A flat Rs 300 cashback is available on Grofers on an order of Rs 1,500. Yatra.com offers Rs 1,000 discount on roundtrip and Rs 500 off on one way on domestic flight tickets for Jio Prime members who recharge with Rs 399 or above.Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jios-new-year-surprise-how-to-avail-cashback-of-up-to-rs-3-300-till-january-15-1794832
2018-01-04,"(Jio's prepaid recharge plans come bundled with unlimited free calls.)Jio's Rs. 199 prepaid recharge plan offers unlimited and free high speed data with a cap of 1.2GBs 4G data per day. The validity of Rs 199 prepaid recharge plan is 28 days. This prepaid recharge plan comes bundled with free and unlimited STD, local and roaming voice calls and SMS benefits.Jio's Rs 299 prepaid recharge plan offers unlimited and free high speed data of 56GBs for a period of 28 days. Subscribers can use 2GBs 4G data per day under this offer. This prepaid recharge plan comes bundled with free and unlimited local, STD and roaming calls. The plan also gives free and unlimited SMS benefits, said Jio website.Jio's Rs 309 prepaid recharge offers high speed data of 49GBs with a daily 4G data limit of 1GB. Local, STD and roaming calls and SMSes are free and unlimited. This prepaid recharge plan of Jio is valid for 49 days.Jio's prepaid recharge plan priced at Rs 399 comes with 70 GBs of high speed data for a validity period of 70 days. This pack also offers the benefit of unlimited local, STD, roaming calls and SMSes to all operators.Jio's Rs 459 prepaid recharge plan offers high speed data of 84GBs with a daily 4G data limit of 1GB. This plan of Jio also offers unlimited local, STD and roaming calls and SMSes across all operators. The validity of this prepaid recharge plan is 84 days.This prepaid recharge plan of Jio offers high speed data of 91 GBs. Under this prepaid recharge plan, Jio offers 1 GB of high speed data per day for the validity period. Jio's Rs. 499 includes unlimited local, STD and roaming calls, SMS benefits across all operators during the 91-day validity period.(Jio's Rs 509 prepaid recharge plan offers high speed data of 98 GBs.)Jio's Rs 509 prepaid recharge plan offers high speed data of 98 GBs for a validity period of 49 days. The daily 4G data limit is 2GBs. This pack also includes unlimited local, STD and roaming calls along with SMS benefits.Jio's Rs 799 prepaid recharge plan offers high speed data of 84 GBs for a validity period of 28 days. Jio offers 3 GBs of high speed data per day for the validity period of 28 days in this prepaid recharge plan. The plan also gives unlimited local, STD and roaming calls along with unlimited SMSes across all operators for the 28-day period.HighlightsJio's Rs 199 prepaid recharge plan offers 1.2 GB data on daily basisRs 299 prepaid recharge plan of Jio offers 2 GB on a daily basisThese plans come bundled with unlimited free calls and free SMSeswindow._pricee = window._pricee || []; _pricee.push({container : '_pcwgtmid'});Reliance Jio recently unveiled new prepaid recharge plans under 'Happy New Year 2018' offer. Under this offer, Jio launched two prepaid recharge plans priced at Rs 199 and Rs 299. Jio's Rs 199 prepaid recharge plan offers 1.2 GBs or gigabytes of 4G data while the Rs 299 prepaid recharge plan offers 2 GBs on a daily basis. According to the official website of Reliance Jio (jio.com), the company offers several other prepaid recharge plans also that give 1 GB-3 GBs of high-speed data per day for a validity period ranging from 28 days to 91 days.Jio's prepaid recharge plans that offer 1GB-3GBs data per day are priced from Rs 199 to Rs 799. The speed of internet gets reduced to 64 Kbps after the exhaustion of daily 4G data limits in these plans.These prepaid recharge plans come bundled with unlimited free calls, unlimited roaming calls and free SMSes.Some of Jio's prepaid recharge plans that offer up to 3 GBs of data per day:(Jio's prepaid recharge plans come bundled with unlimited free calls.)Jio Rs 199 prepaid recharge planJio's Rs. 199 prepaid recharge plan offers unlimited and free high speed data with a cap of 1.2GBs 4G data per day. The validity of Rs 199 prepaid recharge plan is 28 days. This prepaid recharge plan comes bundled with free and unlimited STD, local and roaming voice calls and SMS benefits.Jio Rs 299 prepaid recharge planJio's Rs 299 prepaid recharge plan offers unlimited and free high speed data of 56GBs for a period of 28 days. Subscribers can use 2GBs 4G data per day under this offer. This prepaid recharge plan comes bundled with free and unlimited local, STD and roaming calls. The plan also gives free and unlimited SMS benefits, said Jio website.Jio Rs 309 prepaid recharge planJio's Rs 309 prepaid recharge offers high speed data of 49GBs with a daily 4G data limit of 1GB. Local, STD and roaming calls and SMSes are free and unlimited. This prepaid recharge plan of Jio is valid for 49 days.Jio Rs 399 prepaid recharge planJio's prepaid recharge plan priced at Rs 399 comes with 70 GBs of high speed data for a validity period of 70 days. This pack also offers the benefit of unlimited local, STD, roaming calls and SMSes to all operators.Jio Rs 459 prepaid unlimited dataJio's Rs 459 prepaid recharge plan offers high speed data of 84GBs with a daily 4G data limit of 1GB. This plan of Jio also offers unlimited local, STD and roaming calls and SMSes across all operators. The validity of this prepaid recharge plan is 84 days.googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Jio Rs 499 prepaid recharge planThis prepaid recharge plan of Jio offers high speed data of 91 GBs. Under this prepaid recharge plan, Jio offers 1 GB of high speed data per day for the validity period. Jio's Rs. 499 includes unlimited local, STD and roaming calls, SMS benefits across all operators during the 91-day validity period.(Jio's Rs 509 prepaid recharge plan offers high speed data of 98 GBs.)Jio Rs 509 prepaid recharge planJio's Rs 509 prepaid recharge plan offers high speed data of 98 GBs for a validity period of 49 days. The daily 4G data limit is 2GBs. This pack also includes unlimited local, STD and roaming calls along with SMS benefits.Jio Rs 799 prepaid recharge planJio's Rs 799 prepaid recharge plan offers high speed data of 84 GBs for a validity period of 28 days. Jio offers 3 GBs of high speed data per day for the validity period of 28 days in this prepaid recharge plan. The plan also gives unlimited local, STD and roaming calls along with unlimited SMSes across all operators for the 28-day period.Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-happy-new-year-plans-of-rs-199-rs-299-vs-rs-309-rs-399-rs-459-rs-499-plans-1794846
2018-01-03,"In an effort to counter Jio's Rs 799 prepaid recharge plan, Airtel recently revised it's Rs 799 prepaid recharge plan. According to the official website of Airtel, the company  is now offering 3.5 GB of 3G or 4G data per day along with unlimited local and STD voice calls under it's Rs 799 prepaid recharge plan. Airtel's Rs 799 prepaid recharge plan comes with a validity of 28 days and gives direct competition to Jio's Rs 799 prepaid recharge plan that offers 3 GB of 4G data per day for 28 days.Airtel Rs 799 prepaid recharge planAirtel's Rs 799 prepaid recharge plan was launched last year and it initially offered 3 GB of 3G/4G data. After the latest revision, Airtel is offering 3.5 GB of 3G/4G data per day in the Rs 799 recharge plan. Overall, now Airtel is offering a total of 98GB of 3G/4G data for 28 days.Jio Rs 799 prepaid recharge planIn an effort to counter Jio's Rs 799 prepaid recharge plan, Airtel recently revised it's Rs 799 prepaid recharge plan. According to the official website of Airtel, the company  is now offering 3.5 GB of 3G or 4G data per day along with unlimited local and STD voice calls under it's Rs 799 prepaid recharge plan. Airtel's Rs 799 prepaid recharge plan comes with a validity of 28 days and gives direct competition to Jio's Rs 799 prepaid recharge plan that offers 3 GB of 4G data per day for 28 days.Airtel Rs 799 prepaid recharge planAirtel's Rs 799 prepaid recharge plan was launched last year and it initially offered 3 GB of 3G/4G data. After the latest revision, Airtel is offering 3.5 GB of 3G/4G data per day in the Rs 799 recharge plan. Overall, now Airtel is offering a total of 98GB of 3G/4G data for 28 days.Airtel's Rs 799 prepaid recharge plan also offers unlimited local, STD and outgoing roaming calls along with 100 local and national SMSes on daily basis for a period of 28 days. However, Airtel's 'unlimited' calls are restricted to 250 minutes per day and 1,000 minutes per week. Airtel users can also get a cashback of Rs 75 on recharging their numbers via Airtel Payments Bank.googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Also read: Airtel's Rs. 93 Prepaid Recharge Plan Offers 1GB Data, Free CallsJio Rs 799 prepaid recharge plan   Airtel's Rs 799 prepaid recharge plan directly counters Jio's Rs 799 prepaid recharge plan. Jio's Rs 799 prepaid recharge offers 3 GBs of 4G data per day, with a total of 84 GB data for a period of 28 days. Jio's Rs 799 prepaid recharge plan includes unlimited local, STD, roaming calls with no daily limits along with unlimited SMSes.Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-effect-airtel-revises-rs-799-prepaid-recharge-plan-now-offers-3-5gb-data-1795193
2018-01-03,"Anant Ambani's speech was like listening to Dhinchak Pooja song on loop.Every body has a passion but few has the determination to go with it ,Good work Anant ambaniAnant Ambani is undoubtedly an achiever and inspiration to many! Downsizing and Rightsizing are important skills to master in business & he is the leader of leaders who 'lead by example'. Oratory skills are 2ndary & can be acquired/improved :)New Delhi:                             Anant Ambani, the youngest son of India's richest man Mukesh Ambani, delivered his first speech at the celebration of Reliance Industries' 40th anniversary in Mumbai, attended by his family, celebs and thousands others. Strangely, over a week after the event, Anant Ambani, 22, began trending on Twitter on Wednesday afternoon as the video of his speech went viral.While some attacked him with unkind memes and jokes, others called out the trolls for spreading hate and also praised his speech. Anant Ambani's speech was like listening to Dhinchak Pooja song on loop.- Sowmya Uday Shankar (@SoGe89) January 3, 2018Rajesh Khanna :- ""Pushpa I hate tears.""Anant Ambani :- ""Your tears are my tears.""googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Who will Pushpa choose now ?- chetan soni (@chetansoni23) January 3, 2018New Tinder profile pic.twitter.com/QxLQDVOxKA- Sahil Rizwan (@SahilRiz) January 2, 2018There were many tweets in support. Every body has a passion but few has the determination to go with it ,Good work Anant ambani- shashi dogra (@dograshashi431) January 3, 2018Social media makes me hate humanity - like HATE. When you mock someone for their weight, looks, facial expressions, speech, colour of the skin, among a ton of other things, you show the poor upbringing you had and the shallow person that you are. #Anant#Ambani- Shailja (@lykabrd) January 3, 2018Anant Ambani is undoubtedly an achiever and inspiration to many! Downsizing and Rightsizing are important skills to master in business & he is the leader of leaders who 'lead by example'. Oratory skills are 2ndary & can be acquired/improved :)- Rags (@RagsTweets) January 3, 2018The event also saw speeches from Anant's older siblings Akash and Isha - seen by many as the company's attempt to pitch its next generation of leaders. In July 2017, it was twins Isha and Akash who launched Reliance Jio's feature phone.Click for more trending newsGet the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/offbeat/internet-mocks-anant-ambani-again-this-time-over-his-reliance-anniversary-speech-1795319
2018-01-05,"Jio Rs 299 prepaid recharge planJio's Rs 299 prepaid recharge plan comes bundled with free and unlimited local, STD and roaming calls.Vodafone Rs 348 prepaid recharge planAirtel Rs 349 prepaid recharge planReliance Jio has announced two prepaid recharge plans as part of ""Happy New Year 2018"" offer. Under these new Jio prepaid recharge plans, subscribers can recharge for Rs 199 or Rs 299 and avail 1.2 GB and 2GB 4G data per day respectively. Jio's latest offering makes it one of the most affordable and cheapest in the category. Airtel has a prepaid recharge plan at Rs 349 that offers 2GB data per day. Vodafone's Rs 348 prepaid recharge plan gives 2GB data per day. These prepaid recharge plans come bundled with unlimited voice calling and unlimited roaming calls.Prepaid recharge plans of Jio, Airtel and Vodafone that offer 2 GB data per day: Jio Rs 299 prepaid recharge plan Jio's Rs 299 prepaid recharge plan comes bundled with free and unlimited local, STD and roaming calls.Jio's Rs 299 prepaid recharge plan offers unlimited and free high speed data of 56 GB for a period of 28 days. Under this offer, subscribers can use 2GB 4G data per day. This prepaid recharge plan comes bundled with free and unlimited local, STD and roaming calls. The plan also gives free and unlimited SMS benefits. In addition, Reliance Jio subscribers get access to host of Jio apps such as MyJio, JioChat, JioCinema, JioTV, JioMusic, JioXpressNews, JioMoney, and many more.Also read: Jio Vs Vodafone Vs Airtel Vs Idea: Cheapest Unlimited Prepaid Plan With 1GB Data Per Day​Vodafone Rs 348 prepaid recharge plan googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Vodafone's Rs 348 offers 2GB 4G/3G/2G data per day. This plan is valid for 28 days. This means users will get a total of 56 GB of data for the validity period. Vodafone's Rs 348 prepaid recharge plan is available for select circles. This prepaid recharge plan comes bundled with unlimited local and STD, roaming calls with daily capping of 250 minutes. In a week, users can use 1000 calling minutes. Airtel Rs 349 prepaid recharge plan Airtel's Rs 349 prepaid recharge plan offers 2GB 3G/4G data per day for 28 days. This means Airtel is giving 56GB total data in this monthly prepaid recharge plan of Rs 349. According to the website of Airtel, this prepaid recharge plan comes bundled with unlimited local and STD call benefits along with unlimited roaming incoming, outgoing calls. Subscribers also get free 100 SMSes per day under this prepaid recharge plan.Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-vs-airtel-vs-vodafone-prepaid-recharge-plan-with-2gb-per-day-data-compared-1796239
2018-01-05,"Mumbai: China Development Bank (CDB), the biggest foreign lender to Reliance Communications Ltd (RCom), on Friday withdrew a petition seeking to drag the indebted telecoms carrier into insolvency.A lawyer for CDB told the National Company Law Tribunal that the Chinese bank had filed to withdraw the petition. The tribunal allowed CDB's plea to go forward.CDB, which is owed around $2 billion along with two other Chinese banks, had filed the petition in November seeking insolvency proceedings against RCom, saying a large amount of loan principal and interest payments was overdue.googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });After RCom's debt-reduction plan, including an asset sale to Reliance Jio Infocomm, was announced last week, CDB told Reuters that it was in talks with RCom.© Thomson Reuters 2018(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/relief-for-reliance-communications-rcom-china-development-bank-withdraws-insolvency-petition-1796255
2018-01-07,"Jio Booster Pack priced at Rs 11Jio Booster Pack priced at Rs 51Jio Booster Pack priced at Rs 91Jio Booster Pack priced at Rs 301Jio is regularly coming up with new prepaid and postpaid recharge plans and revising its existing plans in order to entice their customers. These recharge plans offer different data and voice call benefits and come with some validity period. There are possibilities that some users may exhaust their daily data limits. For such users, Jio offers booster packs or add-on packs. With these packs, users can continue accessing high-speed 3G or 4G data even beyond the limit. These booster packs work according to the validity of user's existing plan. Jio's booster plans are priced between Rs 11 to Rs 301 and offer additional data of up to 10 GB, which can be used during the entire validity period without any daily limit. Here's a list of Jio's booster or add-on packs:Jio Booster Pack priced at Rs 11Reliance Jio offers 100MB of 4G data and 35 minutes of voice calls with the add-on pack priced at Rs 11. Jio Booster Pack priced at Rs 51Jio's booster pack priced at Rs 51 offers 1GB of 4G data and 175 minutes of voice calls. Jio Booster Pack priced at Rs 91Jio's booster pack priced at Rs 91 offers 2GB of 4G data and 325 minutes of voice calls.googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Also read: Jio Recharge Plans Revised: 5 Things to Know About Price Cut, New Data Offers​Jio Booster Pack priced at Rs 201Jio's booster pack priced at Rs 201 offers 5GB of 4G data and 725 minutes of voice calls. Jio Booster Pack priced at Rs 301Jio's booster pack priced at Rs 301 offers 10GB of 4G data and 1,000 minutes of voice calls.Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-booster-pack-offers-rs-11-vs-rs-51-vs-rs-91-vs-rs-201-vs-rs-301-1796964
2018-01-07,"Reliance Jio, Airtel, Vodafone and Idea Cellular are going head-to-head to lure customers with new prepaid recharge plans with unlimited talktime and high speed data. Jio recently announced Happy New Year 2018 prepaid recharge plans for Rs 199 and Rs 299. Jio's Rs 199 prepaid recharge plan gives users 1.2 GB daily data for 28 days. Meanwhile Airtel also has a prepaid recharge plan priced at Rs 199 which gives 1GB 3G/4G daily data for a period of 28 days. Vodafone launched a prepaid recharge plan at Rs 198 that also offers 1GB data per day. Idea's Rs 199 prepaid recharge plan is also offering 1GB data per day for 28 days. All these prepaid recharge plans offer unlimited calls (both local and STD) and SMS benefits. Here's what Jio, Airtel, Vodafone and Idea are offering in their cheapest 1GB data per day usage prepaid recharge plans:Jio Rs 199 prepaid recharge plan Jio's Rs 199 prepaid recharge plan offers free high speed data with a cap of 1.2 GB 4G data per day. According to Jio's website, Rs 199 prepaid recharge plan also gives free and unlimited voice calls which include local, STD as well as roaming calls across the country. The plan also gives access to free and unlimited SMSes, along with subscription to premium Jio Apps. The validity of this prepaid recharge plan is 28 days. Airtel Rs 199 prepaid recharge plan Airtel's Rs 199 prepaid recharge plan offers 1 GB of 3G/4G daily data per day. The prepaid recharge plan also offers unlimited local, STD and roaming calls. This offer is valid in select circles and also includes 100 SMSes per day. The validity of this plan is also 28 days. Vodafone Rs 198 prepaid recharge plan googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Vodafone's Rs 198 prepaid recharge plan offers 1GB 3G/4G data per day for a period of 28 days. Customers also get unlimited local and STD voice calls and free roaming calls under this offer, the company said. The validity of this prepaid recharge plan is 28 days.Idea Rs 199 prepaid recharge plan Idea's Rs 199 prepaid recharge plan is offering 1GB data per day for 28 days along with 100 SMSes per day. Idea's Rs 199 prepaid recharge plan also gives unlimited local and STD calls which include calls on roaming also. The validity of this prepaid recharge plan is also 28 days. Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jio-vs-airtel-vs-idea-vs-vodafone-cheapest-prepaid-recharge-plans-with-1gb-data-unlimited-t-1797001
2018-01-09,"(Jio's Rs. 199 prepaid plan will be available at Rs 149 after the likely price cut of Rs. 50.)Jio Rs. 198 prepaid recharge planJio currently offers 28 GBs of 4G data for 28 days under its Rs 198 prepaid recharge plan. After the revision, due on Tuesday, this prepaid recharge plan will come with 42 GBs of data for 28 days. That means, the current high speed limit of 1 GB per day for the entire validity period will be revised to 1.5 GBs per day data. Unlimited local, STD, roaming voice calls and SMS benefits will be available with this prepaid recharge plan for the validity period of 28 days.Jio Rs 199 prepaid recharge plan will change to Rs. 149Jio's Rs. 199 prepaid plan will be available at Rs. 149 after the likely price cut of Rs. 50. This means what Jio was offering at Rs. 199 prepaid recharge plan will be available at Rs. 149. Under this offer, customers will get 28 GBs of 4G data with a daily cap of 1 GB for a validity period of 28 days. This pack will also come with the benefit of unlimited local, STD, roaming voice calls and SMS for the validity period.Jio Rs. 459 prepaid recharge plan will change to Rs. 399Jio's Rs. 459 prepaid plan will be available at Rs. 399 after a likely price cut of Rs. 50. This means what Jio was offering at Rs. 459 prepaid recharge plan will be available at Rs. 399. Under this offer, customers will get 84 GBs of 4G data with a daily cap of 1 GB for a validity period of 84 days. This pack will also come with the benefit of unlimited local, STD, roaming voice calls and SMS for the validity period.Reliance Jio is set to revamp some of its recharge packs. Reliance Jio plans to offer more data in the same prices and also lower the rates of some of its existing prepaid recharge plans, a source told NDTV. The current plans will be updated with the latest offers on Tuesday, the source said. Jio, the latest entrant in the country's telecom industry, is offering more data in cut-throat competition with incumbent operators including Bharti Airtel, Vodafone India, Idea Cellular and Bharat Sanchar Nigam Limited (BSNL). In fact, the largest telecom operator in terms of subscribers, Bharti Airtel, recently slashed the prices of two of its prepaid recharge plans.Here is what you will now get in the prepaid recharge plans of Jio priced at Rs 149, Rs 198, Rs 349 and Rs 399: (Jio's Rs. 199 prepaid plan will be available at Rs 149 after the likely price cut of Rs. 50.)Jio Rs. 198 prepaid recharge planJio currently offers 28 GBs of 4G data for 28 days under its Rs 198 prepaid recharge plan. After the revision, due on Tuesday, this prepaid recharge plan will come with 42 GBs of data for 28 days. That means, the current high speed limit of 1 GB per day for the entire validity period will be revised to 1.5 GBs per day data. Unlimited local, STD, roaming voice calls and SMS benefits will be available with this prepaid recharge plan for the validity period of 28 days.Jio Rs 199 prepaid recharge plan will change to Rs. 149Jio's Rs. 199 prepaid plan will be available at Rs. 149 after the likely price cut of Rs. 50. This means what Jio was offering at Rs. 199 prepaid recharge plan will be available at Rs. 149. Under this offer, customers will get 28 GBs of 4G data with a daily cap of 1 GB for a validity period of 28 days. This pack will also come with the benefit of unlimited local, STD, roaming voice calls and SMS for the validity period.Jio Rs 399 prepaid recharge plan will change to Rs. 349Jio's Rs. 399 prepaid plan will be available at Rs. 349 after the likely price cut of Rs. 50. This means what Jio was offering its prepaid subscribers at Rs 399 will be available at Rs. 349. Under this offer, customers will get 70 GBs of 4G data with a daily cap of 1 GB for a validity period of 70 days. The recharge pack will include the benefit of unlimited local, STD, roaming voice calls and SMS for the 70-day period.Jio Rs. 459 prepaid recharge plan will change to Rs. 399Jio's Rs. 459 prepaid plan will be available at Rs. 399 after a likely price cut of Rs. 50. This means what Jio was offering at Rs. 459 prepaid recharge plan will be available at Rs. 399. Under this offer, customers will get 84 GBs of 4G data with a daily cap of 1 GB for a validity period of 84 days. This pack will also come with the benefit of unlimited local, STD, roaming voice calls and SMS for the validity period.googletag.cmd.push(function() { googletag.display(""adslotNativeVideo""); });Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections.",https://www.ndtv.com/business/reliance-jios-new-offer-what-you-will-get-in-rs-149-rs-198-rs-349-rs-399-prepaid-recharge-plans-1797274
