date,data,url
2018-01-02,"Reliance Industries Ltd. (RIL) has commissioned the world’s largest off-gas cracker facility at its Jamnagar complex, completing its multi-billion-dollar expansion which has seen it doubling the ethylene capacity and entering the league of the top five petrochemical producers globally.The commissioning of the cracker plant increases RIL’s combined ethylene capacity to close to four million metric tonnes per annum at its five sites.With this, Jamnagar in Gujarat has also become home to the world’s largest operating refinery off-gas cracker, RIL said in a statement. The oil major also runs the world’s largest single location petroleum refinery at Jamnagar with a 60-million-tonne annual capacity.Commissioning of the ethylene plant integrates feedstock with the two refineries nearby, thus providing sustainable cost advantage to RIL over its global peers.“The world’s first ROGC and downstream plants marks a paradigm shift in profitability and sustainability of our petchem business as the complex deeply integrates our feedstock, reducing cost massively,” chairman Mukesh Ambani was quoted as saying. “This expansion once again showcases our competitive advantage in efficient execution of complex projects.”According to RIL, the facility is the world’s first ever and the largest refinery off-gas cracker complex of 1.5 mmtpa capacity along with downstream plants and utilities. “This is the largest ever expansion of RIL’s petrochemicals portfolio, and is also the last leg of the multi-billion dollar capex cycle, which was also one the largest capex programmes globally in the sector in recent times,” it said.In 2014, the company had announced a $16 billion capex plan at Jamnagar.Ethylene from the ROGC is used in downstream plants to produce mono-ethylene glycol (MEG) and polyethylene.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:08 AM | https://www.thehindu.com/business/Industry/ril-raises-ethylene-capacity-twofold/article22353673.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/ril-raises-ethylene-capacity-twofold/article22353673.ece
2018-01-16,"In what marks its entry into the film production market in South India, the Anil D. Ambani owned Reliance Entertainment on Tuesday announced a joint venture with Y Not Studios and AP International for production of movies.Shibasish Sarkar, Chief Operating Officer of Reliance Entertainment said, “We are extremely pleased to partner with Y Not Studios and AP International. This relationship will allow Reliance Entertainment to make its presence felt strongly in the vibrant South film market, with production of high quality content. This relationship is in line with our continuing strategy of partnering with like-minded and successful creative individuals, while playing the role of supportive investors on our part.”Y Not Studios, founded by S. Sasikanth has produced 12 feature films in Tamil, Telugu, Malayalam and Hindi, including Vikram Vedha in 2017, which featured as the Number 1 Indian Film of 2017 on IMDb, ahead of even a gigantic blockbuster like Bahubaali 2. In 2016, Y Not Studios produced a bilingual film—Sudha Kongara’s Irudhi Suttru in Tamil and Saala Khadoos in Hindi in association with Raju Hirani. R. S. Prasanna’s popular Hindi comedy drama Shubh Mangal Savdhan (2017) was a joint production of Y Not with Colour Yellow Productions and Eros International.Sanjay Wadhwa’s AP International Films is a leading overseas distributor and has distributed more than 700 movies that include Linga, Kabali, Theri, Mersal and Baahubali.The partnership follows on the heels of Reliance Entertainment’s joint ventures in the Hindi film industry with Rohit Shetty Picturez, Plan C Studios (with Neeraj Pandey) and Phantom Films (with Anurag Kashyap, Vikas Bahl, Vikramaditya Motwane and Madhu Mantena).Please enter a valid email address.Printable version | Apr 5, 2019 9:51:10 AM | https://www.thehindu.com/entertainment/movies/reliance-entertainment-heads-to-the-south/article22450662.ece© The HinduKangana Ranaut and Nithya Menen are playing the late Chief Minister in two different projectsAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/entertainment/movies/reliance-entertainment-heads-to-the-south/article22450662.ece
2018-01-16,"Reliance Industries Ltd. (RIL) will invest ₹5,000 crore in West Bengal, mainly in petroleum and retail sector, its chairman Mukesh Ambani said on Tuesday.Mr. Ambani was present with a host of other industrialists at the Bengal Global Business Summit in Kolkata.He said the investment would be made over the next three years and promote the electronics industry by manufacturing mobile phones and set top boxes.RIL had pumped in ₹15,000 crore in the telecom business in the State although it earlier committed to invest ₹4,500 crore, he pointed out.This was made possible due to the conducive business environment in the State under Chief Minister Mamata Banerjee, he said.L.N. Mittal of Arcelor-Mittal, Sajjan Jindal of JSW Steel, Kishor Biyani of Future Group, Head of the Kotak group Uday Kotak and chairman of the RP-Sanjiv Goenka group Sanjiv Goenka were among the 4,000 participants attending this year’s summit.Ms. Banerjee tweeted that “nine partner countries, 32 countries with big delegations, more than 4000 participants, [and] we look forward to the Summit with lots of optimism.”Later, Ms. Banerjee said the “State’s infrastructure, including 12000 kilometer of upgraded roadways” is ready to support the investment.(With inputs from news agencies)Please enter a valid email address.Printable version | Apr 5, 2019 9:51:11 AM | https://www.thehindu.com/news/cities/kolkata/reliance-to-invest-5000-crore-in-west-bengal-mukesh-ambani/article22449506.ece© The HinduPolitical satire pulled from theatres a day after its releaseAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/news/cities/kolkata/reliance-to-invest-5000-crore-in-west-bengal-mukesh-ambani/article22449506.ece
2018-01-16,"Reliance Industries Ltd. chairman and managing director Mukesh Ambani announced a fresh investment of ₹5,000 crore, in addition to the group’s investments about ₹15,000 crore made in the State since January 2015. He said that while West Bengal figured among the group’s largest investments in India, RIL had also emerged as one of West Bengal’s largest investors.Most of the group’s investments have gone towards creating Reliance Jio’s telecom network, he said, while speaking at the inaugural plenary session of the fourth Bengal Global Business Summit (BGBS).He said he had attended BGBS in 2016, committing ₹4,500 crore in investments then.He also announced a chair in a prestigious university to honour renowned scientist Dr. Satyendra Nath Bose.Mr. Ambani shared the dais with Chief Minister Mamata Banerjee, Finance Minister Amit Mitra, steel magnate L.N. Mittal, property tycoon N. Hiranandani, banker Uday Kotak, Spicejet chairman Ajay Singh and Kishore Biyani, among others.The latest investment is to be made in Jio and the digital ecosystem, retail and petro-retail over the next few years. “Bengal today means business.. A miracle has happened,” Mr. Ambani said.The new initiatives announced by Mr. Ambani include developing digital tools (such as the cloud-based POS solution) for small retailers, making West Bengal the group’s innovation and technology hub for customer devices like set top boxes and mobiles as well as for connecting hospitals and schools through the optical fibre network.Mr. Mittal, CEO of ArcelorMittal, said that West Bengal had the “necessary ingredients for business — political stability, good infrastructure, skilled workforce and a limited bureaucracy.”He said that the Mittal Family Foundation would explore possibilities for engagement with the State. Sanjiv Goenka, chairman of the RP-SG group, announced a new hospital, an FMCG park and a specality carbon black unit in Durgapur.SpiceJet’s Mr. Singh said the air carrier was keen to make the State its hub for flights to ASEAN countries. It is also exploring the possibility of making seaplanes in West Bengal which could be used for tourism in this riverine State.Realtor Mr. Hiranandani said that group company H-Energy, which is developing LNG regasification terminals and cross-country pipelines on India’s west and east coasts, would bring clean energy to the city in 24 months. “I had discouraged my son from coming to West Bengal... I have been proven wrong,” he proclaimed.Ms. Banerjee said that the State offered political stability and an environment of tolerance to the investors.“We love all castes, creeds and religions. We also love all States.. but they have got exhausted, saturated. West Bengal is still untapped .. invest here,” she appealed.She said that eight countries had joined as partners at the fourth BGBS in which 20 countries participated. Poland had brought the largest delegation, followed by Korea, Italy and China.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:12 AM | https://www.thehindu.com/business/Industry/ril-plans-to-invest-5000-crore-more-in-west-bengal/article22451373.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/ril-plans-to-invest-5000-crore-more-in-west-bengal/article22451373.ece
2018-01-19,"Reliance Industries (RIL) reported a 25.1% growth in third quarter net profit to ₹9,423 crore as all segments contributed to the growth. India’s most valued firm by market capitalisation saw a 30.5% growth in its revenues to ₹109,905 crore.The refinery segment contributed ₹75,865 crore to the topline and ₹6,165 crore to profit before interest and taxes (EBIT), while petrochemicals contributed ₹33,726 crore to the topline and ₹5,753 crore to EBIT.RIL’s gross refining margins for the quarter improved to $11.6 a barrel from $10.8 a year earlier.“This quarter marks the culmination of our petrochemical expansion projects and the first positive net profit contribution from our newest business line — Digital Services,” said RIL chairman Mukesh Ambani.The organised retail business contributed ₹18,798 crore to the topline with EBIT of ₹487 crore, both growing more than 100% over the year-earlier period.RIL’s debt increased to ₹2.13 lakh crore from ₹1.96 lakh crore, making it India’s most indebted firm. The company had cash and cash equivalent of ₹78,617 crore as on December 31.Reliance Jio, with investments of more than ₹2 lakh crore, reported a net profit of ₹504 crore. The company had reported a loss of ₹270 crore in the immediately preceding quarter. Reliance Jio’s total subscriber base stood at 160.1 million as on December 31, making it the fourth-largest telecom firm after Bharti Airtel, Vodafone and Idea Cellular.Talking about Jio’s results, Mr. Ambani said, “Jio’s strong financial results reflect the fundamental strength of the business, significant efficiencies and right strategic initiatives. Jio has demonstrated that it can sustain its strong financial performance.”RIL shares rose 1.09% to ₹929.35 on the BSE in a firm Mumbai market on Friday, valuing the firm at ₹5.88 lakh crore.Investor advisor S.P. Tulsian said he was surprised by the numbers.“I never expected that Jio would be profitable so soon. It’s beyond imagination that they got more than 160 million subscribers. All businesses delivered well and the huge capex has started delivering results for RIL,” Mr. Tulsian told The Hindu.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:13 AM | https://www.thehindu.com/business/ril-q3-net-rises-251-jio-turns-profitable/article22475234.ece© The HinduCurtailed operation cannot support overheadsAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/ril-q3-net-rises-251-jio-turns-profitable/article22475234.ece
2018-01-19,"Mukesh Ambani led Reliance Industries (RIL) reported a 25.1% growth in its third quarter net profits to ₹9423 crore as all the segments from refining to petrochemicals and from retail to telecom contributed to the growth. India’s most valued firm by market capitalisation saw a 30.5% growth in its revenues to ₹109,905 crore.Refining and petrochemicals contributed for 75% of the revenues and over 90% of the profits of the company. Refinery contributed ₹75865 crore to the topline and ₹6165 crore to EBIT, while petrochemicals contributed ₹33,726 crore to the topline and ₹5753 crore to EBIT.RIL’s GRMs for the quarter improved to $11.6 a barrel from $10.8 a year ago.“I am happy to share record-setting consolidated quarterly earnings to mark the 40th anniversary of Reliance’s listing in January 1978. Fittingly, this quarter marks the culmination of our petrochemical expansion projects and the first positive net profit contribution from our newest business line – Digital Services,” said RIL chairman Mukesh Ambani.Organised retail business contributed ₹18798 crore to the topline with EBIT of ₹487 crore, both growing over 100% over the year ago period.RIL’s debt increased to ₹2.13 lakh crore from ₹1.96 lakh crore in the year ago period, making it India’s most indebted firm. The company had cash and cash equivalents of ₹78617 crore as on December 31.Reliance Jio with investments of over ₹2 lakh crore reported a net profit of ₹504 crore within two months of commercial operations, when all the telcos are in red. The company had reported a loss of Rs 270 crore in the immediate preceding quarter. Reliance Jio’s total subscriber base stood at 160.1 million as on December 31, making it the fourth largest telco after Bharti Airtel, Vodafone and Idea Cellular.Talking about Jio’s results, Mukesh Ambani said, “Jio’s strong financial result reflects the fundamental strength of the business, significant efficiencies and right strategic initiatives. Jio has demonstrated that it can sustain its strong financial performance.”RIL shares on BSE closed up 1.09% at ₹929.35 in a firm Mumbai market on Friday, valuing the firm at ₹5.88 lakh crore.Investor advisor S.P. Tulsian believes that RIL delivered blast results. “I never expected that Jio will be profitable so soon. It’s beyond imagination that they got over 160 million subscribers. All businesses delivered well and the huge capex has started delivering results for RIL,” Mr. Tulsian told The Hindu.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:15 AM | https://www.thehindu.com/business/Industry/reliance-jio-reports-first-ever-net-profit-of-504-cr/article22472856.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/reliance-jio-reports-first-ever-net-profit-of-504-cr/article22472856.ece
2018-01-23,"The World Economic Forum (WEF) in partnership with India’s most valued firm Reliance Industries (RIL) has agreed to set up a new Centre for Fourth Industrial Revolution (C4IR) in Mumbai to promote Prime Minister Narendra Modi’s Digital India and Startup India programmes to promote young entrepreneurs.This would be first (C4IR) opened outside Silicon Valley at San Francisco, which is already home to several of these exciting developments in the digital space including include Artificial Intelligence and Machine Learning, Internet of Things (IoT), Blockchain amongst many others.“The C4IR in India will operate as the Sister Centre to the World Economic Forum Centre for the Fourth Industrial Revolution in San Francisco, allowing policymakers and thought leaders in India to stay ahead of the curve through unique insights in new forms of governance and new technology applications, and connections with cutting-edge technology innovators globally,” said a company statement adding that the centre is being set-up in partnership with the Government of India and RIL..Please enter a valid email address.Printable version | Apr 5, 2019 9:13:27 AM | https://www.thehindu.com/business/Industry/after-silicon-valley-wef-to-set-up-c4ir-in-mumbai-in-partnership-with-ril/article22500542.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/after-silicon-valley-wef-to-set-up-c4ir-in-mumbai-in-partnership-with-ril/article22500542.ece
2018-01-26,"India’s most indebted firm Reliance Industries Ltd. (RIL), with outstanding loans of ₹2.13 lakh crore, plans to deleverage as it nears the completion of its ₹3 lakh-crore capital expenditure cycle.“If you look at the way our earnings are shaping up, across hydrocarbons, across Jio, across retail, we will have enough free cash flow,” V. Srikanth, joint CFO, RIL, told The Hindu.“We are earning a lot and our earnings are going to be way bigger in coming quarters. This quarter is just the beginning, which does not even factor in refinery off-gas cracker’s (ROGC) full capability,” he said.“We are talking about ROGC full capability in the next quarter and then gasification economics coming in a big way in the next quarter and there will be sequential growth. So, cash flows are going to be much stronger in the next financial year and a positive free cash flow by definition means that your level of debt will only be coming down.”However, with Moody’s Investors Service estimating that Reliance Jio likely to invest as much as $23 billion over three to four years as it expands beyond wireless services, a significant reduction in RIL’s debt may take longer to achieve.The company is also set to invest about $4 billion in acquiring telecom assets of Reliance Communications.Queried about the Moody’s report projecting the $23 billion investment, Mr. Srikanth said, “Moody’s report is a bit of a surprise. My understanding is that they have ticketed $15 billion to $23 billion. The way Moody’s looks at cash flow, if you have to pay suppliers 12 months from now, it’s included. When you look to pay suppliers, that number itself is going to be $12-13 billion. Even if you look at whatever set of numbers we need to continue to grow, we will have enough positive cash flows.”RIL’s outstanding debt as on December 31, 2017, stood at ₹2,13,206 crore ($33.4 billion) compared with ₹1,96,601 crore as on March 31, 2017. The company had cash and cash equivalents of ₹78,617 crore ($ 12.3 billion) as on December 31 .An increase in debt had led RIL’s finance cost to rise significantly to ₹2,095 crore ($328 million) compared with ₹1,204 crore in the year-earlier period.RIL attributed the increase in finance cost to lower capitalisation of financial costs related to commencement of digital services business and higher loan balance partially offset by exchange rate variation during the quarter.The company last week reported a 25% jump in net profit to ₹9,423 crore on revenue of ₹1,09,905 crore.RIL shares closed flat at ₹964.55 on the BSE on Thursday, valuing the company at ₹6,10,938 crore.Please enter a valid email address.Printable version | Apr 5, 2019 9:17:53 AM | https://www.thehindu.com/business/Industry/ril-aims-to-cut-debt-in-2018/article22530570.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/ril-aims-to-cut-debt-in-2018/article22530570.ece
2018-02-03,"Reliance Industries chairman Mukesh Ambani on Saturday announced an investment of ₹2,500 crore in Assam in various sectors, including retail, petroleum, telecom, tourism and sports, creating jobs for at least 80,000 people over the next three years.“Today I am happy to announce five commitments for Assam over the next three years. Reliance will invest an additional ₹ 2,500 crore to augment its presence in this market,” he said at the inaugural function of the Global Investors Summit 2018.The company will enhance its retail division’s outlet to 40 from existing two, while the number of petrol depots will be increased to 165 from the existing 27, he added.“We are also going to open new offices in all 145 tehsil headquarters across Assam. Our approach has always been to create sustainable livelihood opportunities and have generated 20,000 jobs in Assam,” Ambani said.Assam has always been a low priority market for other telecom operators, but it is a ‘Category A’ market for Reliance, he added.In the tourism sector, the company’s CSR wing Reliance Foundation will partner with Assam government to set up a centre at an university to promote “wildlife protection and eco-tourism”, he added.“In football, ISL is a huge success iin the state and so we have decided to establish a top class football academy in partnership with Government of Assam ,” Ambani said.Reliance Industries has become the largest private sector investor in Assam by investing in ₹ 5,000 crore over the last few years, he said.Complimenting Assam Chief Minister Sarbananda Sonowal for organising the ‘Advantage Assam - Global Investors Summit 2018’, Ambani said: “Assam’s development potential is limitless. In 50’s, the state was a developed one with its per capital income more than the national average.”Ambani also praised Prime Minister Narendra Modi for his government “presenting one of the best budgets in recent times” by focusing on all segments of the society, including the farmers.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:17 AM | https://www.thehindu.com/business/Industry/reliance-to-invest-2500-crore-in-assam-create-80000-jobs-mukesh-ambani/article22643132.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/reliance-to-invest-2500-crore-in-assam-create-80000-jobs-mukesh-ambani/article22643132.ece
2018-02-14,"In a major fillip to the State government’s plans to develop the electronics industry, Reliance Industries Limited (RIL) has come forward to invest in Andhra PradeshMukesh Ambani-led RIL has plans to manufacture 10 million mobile phones per annum in Andhra Pradesh. The RIL is looking for 150 acres of land to start a cellphone manufacturing unit near Tirupati in Chittoor district.The government is planning to offer it at Tirupati where already an electronic manufacturing park exists. Besides Jio Phones, RIL would make other electronic products including television sets, set-top boxes among other things. If all clearances were given, a foundation stone laying ceremony would be held in next two weeks.Mr. Ambani met Chief Minister N. Chandrababu Naidu at the Secretariat at Velagapudi, near here, on Tuesday. He visited Real Time Governance Centre (RTG Centre) established in first block of the Secretariat, and later in the evening had dinner with Mr, Naidu at his official residence.Mr. Ambani told the Chief Minister that RIL plans to create 100 entrepreneurial industries in association with the Andhra Pradesh government. The RIL also evinced interest in working together with the State government in the agriculture sector . Mr. Ambani said, “If you (government) allow private investment, we have plans to invest in agriculture, education and heath sectors.”Earlier, Mr. Naidu floored the RIL CEO with the RTG facility at the Secretariat. Mr. Ambani showered praises on the Chief Minister saying, “You (Mr. Naidu) are way ahead than everything that I have seen. I never imagined that you have implemented everything that I have seen and heard.”Mr. Ambani also expressed the view that Andhra Pradesh has a biggest opportunity to market its technology.The State government can charge the Union government with the kind of system and technology you developed. This is your biggest opportunity. “The time is not far. . For the massive use of your data, you will get paid,” he said.Mr. Naidu said: “ I love always one thing in Dhirubhai and Mukesh. They think big and implement what they aim for. Scaling up and cost effective.”Panchayat Raj and IT Minister Nara Lokesh received Mr. Ambani at Gannavaram airport.Please enter a valid email address.Printable version | Apr 5, 2019 9:51:18 AM | https://www.thehindu.com/business/Industry/ril-to-invest-in-mobile-making-unit-at-tirupati/article22749026.ece© The HinduBetter awareness about the nutrient-rich fruit is driving demandNet worth estimated at $54 billion; Amazon’s Jeff Bezos retains top slot with $ 147 billionAlready a user? Sign InTo know more about Ad free news reading experience and subscription Click Hereor Please remove the Ad Blocker",https://www.thehindu.com/business/Industry/ril-to-invest-in-mobile-making-unit-at-tirupati/article22749026.ece
