date,data,url
2018-01-04,"Manas Jaiswal of manasjaiswal.com has a buy call on Tata Steel with a target price of Rs 765.The current market price of Tata Steel is Rs 753.50.Time period given by the analyst is 'Intra Day' when Tata Steel price can reach defined target. Manas Jaiswal recommended to keep a stop loss at Rs 738.Tata Steel, incorporated in the year 1907, is a Large Cap company (having a market cap of Rs 71,219.26 Crore) operating in Iron and Steel sector.The company’s top management includes Dr.Peter Blauwhoff, Mr.Aman Mehta, Mr.D K Mehrotra, Mr.Deepak Kapoor, Mr.Koushik Chatterjee, Mr.Natarajan Chandrasekaran, Mr.O P Bhatt, Mr.Ratan N Tata, Mr.T V Narendran, Ms.Mallika Srinivasan. Company has Price Waterhouse & Co LLP as its auditors. As on 30-09-2017, the company has a total of 971,215,889 shares outstanding.",http://economictimes.indiatimes.com/markets/stocks/recos/buy-tata-steel-target-rs-765-manas-jaiswal/articleshow/62362194.cms
2018-01-05,"Dr CK Narayan of Chart Advise has a buy call on Tata Steel with a target price of Rs 780.The current market price of Tata Steel is Rs 760.75.Time period given by the analyst is 'Intra Day' when Tata Steel price can reach defined target. Dr CK Narayan recommended to keep a stop loss at Rs 750.Tata Steel, incorporated in the year 1907, is a Large Cap company (having a market cap of Rs 73,885.25 Crore) operating in Iron and Steel sector.The company’s top management includes Dr.Peter Blauwhoff, Mr.Aman Mehta, Mr.D K Mehrotra, Mr.Deepak Kapoor, Mr.Koushik Chatterjee, Mr.Natarajan Chandrasekaran, Mr.O P Bhatt, Mr.Ratan N Tata, Mr.T V Narendran, Ms.Mallika Srinivasan. Company has Price Waterhouse & Co LLP as its auditors.As on 30-09-2017, the company has a total of 971,215,889 shares outstanding.",http://economictimes.indiatimes.com/markets/stocks/recos/buy-tata-steel-target-rs-780-dr-ck-narayan/articleshow/62375397.cms
2018-01-05,"KOLKATA: Tata Steel has reported a 10% increase in sales in Oct-Dec 2017 (Q3FY18) to 3.3 million tonne (mt) compared to same period last year. In doing so, it registered its best-ever quarterly sales beating its previous best of 3.2 million tonne achieved in Q4FY17. The company also doubled its sales year on year in the engineering segment of Industrial Products & Construction business. In ‘Automotive & Special Products’ it achieved its highest ever quarterly sales with a growth of 6% QoQ and 26% YoY. Tata Steel also achieved highest-ever quarterly sales in ‘Branded Products and Retail Solutions’ segment with a growth of 10% on both QoQ and YoY, an official statement issued on Friday evening said.In terms of production, sinter plants at Tata Steel, Jamshedpur achieved best-ever Q3 production of 2.11 million tonne in FY18 (Previous best was 2.09 million tonne in Q3 FY17), while the pellet plant achieved best-ever Q3 production of 1.7 million tonne in FY18 (Previous best was 1.64 million tonne in Q3 FY17). Tata Steel Kalinganagar successfully ramped-up to 100% capacity utilisation for commercial saleable steel. At Tata steel Europe, deliveries were lower quarter on quarter (QoQ) basis to 2.33 mt in Q3FY18 against 2.6 mt in Q2FY18 due to seasonality, though Q3 FY18 production began to show improvements following planned annual maintenance shutdowns. Volumes in South East Asia were also impacted by seasonality with sales of 0.62 mt against 0.65 mt in previous corresponding period., the company said.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/tata-steel-reports-increase-in-sales-to-3-3-million-tonne/articleshow/62383374.cms
2018-01-09,"NEW DELHI: Debt-laden Electrosteel today said four companies including Vedanta and Tata Steel have submitted bids to its Resolution Professional (RP), under the insolvency resolution process.Electrosteel Steels, which owes Rs 10,273.6 crore to its lenders, was among the 12 companies which the Reserve Bank of India (RBI) had referred for insolvency proceedings.The company said the corporate insolvency resolution process, in terms of Insolvency and Bankruptcy Code, 2016 (IBC), was commenced against it pursuant to the order dated July 21, 2017 passed by National Company Law Tribunal (NCLT), Kolkata bench.The company said in a BSE filing that the RP has on close of business on January 4, 2018 received 4 resolution plans.It said the plans have been received from ""Renaissance Steel India Private Ltd, Tata Steel Ltd, Vedanta Ltd and Edelweiss Alternative Asset Advisor Pte Ltd acting as the investment advisor of EISAF II and EC Holdings, with support of Edelweiss Asset Reconstruction Company Ltd"".January 4 was the last last the date to submit the bids in relation to the CIR (corporate insolvency resolution) process of Electrosteel Steels, it said.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/vedanta-tata-steel-2-others-submit-bids-for-electrosteel/articleshow/62431740.cms
2018-01-13,"MUMBAI: Tata Steel is set to launch a $1-billion bond issue as part of a mega financing exercise to streamline its international balance sheet before its European joint venture with Thyssenkrupp kicks off, said several people with knowledge of the matter. A formal announcement is expected on Saturday, they said. This will be among the largest fund-raising exercises that the group will be undertaking after N Chandrasekaran took over as Tata Sons chairman in February last year.Apart from the bonds, which will have a tenure of five, seven and 10 years, Tata Steel will also refinance $1.1-1.5 billion of loans housed in its Singapore subsidiaries, TS Global Holdings Pte. and NatSteel Asia Pte, for another six years, said the people. The loans were last refinanced in 2015 and are expected to carry a pricing of Libor+250 basis points or 4.5%. A basis point is 0.01percentage point.“Roadshows for the bonds begin on Monday. The management will meet investors in Dubai, London, Singapore and Hong Kong,” said a company executive on condition of anonymity. “The plan is to price them on January 18.”Over a dozen global banks have been mandated for the issue and are said to include BofA Merrill Lynch, JPMorgan, Morgan Stanley, Citi, StanChart, Barclays, HSBC, UBS and BNP Paribas.The bonds will be based on letters of comfort from Tata Steel India and not corporate guarantees, said the people cited above. Tata Steel didn’t respond to queries. “At the beginning of the year, many global investors are likely to come with fresh allocations for emerging markets. We are trying to tap that pool of money along with traditional ones,” said a person involved in the process.Since September, the US 10-year Treasury yields — the global risk-free proxy — have surged about 55 basis points. Bond yields and prices move in opposite directions.This has led to an increase in other benchmark rates used to price loans. Sixmonth Libor, or the London Interbank Offered Rate, rose about 60 basis points to 1.87% in the same period. Thyssenkrupp and Tata Steel in September reached a preliminary agreement to merge their European steel units to create the continent’s secondlargest steelmaker after ArcelorMittal, with 15 billion euros (about Rs 1.14 lakh crore) of sales.They said the deal will help them tackle overcapacity in Europe’s steel market, which faces cheap imports, subdued construction demand and inefficient legacy plants. The companies have already announced 4,000 job cuts as part of the tieup. Tata Steel is expected to transfer 2.4 billion euros of debt from its troubled European business to the balance sheet of the joint venture, while Thyssenkrupp will transfer 4 billion euros of debt. About 450 million euros of debt from the European operations will remain, which the Tata group plans to pay out. “Now that the JV will address the lion’s share of its European debt, the focus has shifted to the debt at the Singapore entity,” said an investment banker. “Once the bond issuance is through, chances are that the total refinancing will be upsized to $2.5 billion.”Moody’s in November changed its ratings outlook on Tata Steel and Tata Steel UK Holdings (TSUKH) to stable from negative. “The change reflects our expectation that the benign operating environment and recovery in the financial performance of TSUKH and Tata Steel over the last few quarters will continue over a longer term, leading to a sustained improvement in its credit metrics,” said Kaustubh Chaubal, Moody's vice president and senior analyst.Tata Steel's consolidated adjusted leverage--as indicated by adjusted debt/reported EBITDA--stood at an estimated 4.7x at end-September 2017, down from 8.9x in March 2016.As of September 30, Tata Steel’s gross debt stood at Rs 90,259 crore. Strong growth prospects, particularly in the key operating markets of India, Europe and Southeast Asia, amid capacity removals in China, augur well for Tata Steel, analysts said.RIGHTS ISSUE The company is also planning a $2 billion rights issue to fund India expansion. At its December 19 board meeting, Tata Steel approved an expansion of 5 million tonnes per annum (mtpa) at its Kalinganagar plant, which currently has a capacity of 13 mtpa.The proposed expansion will cost the company Rs 23,500 crore, which will be funded through a mix of debt and equity. The expansion is expected to meet the requirements of automotive, general engineering and other value-added segments, the company said in its stock exchange filings.“Some industry observers may argue that with the Europe JV likely to be completed next year and a strong outlook for the steel industry, the net debt profile and leverage should be manageable and hence, why dilute equity?” said Pinakin Parekh, analyst at JP Morgan.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/tata-steel-begins-to-recast-up-to-2-5-billion-of-global-debt/articleshow/62482043.cms
2018-01-15,"A young Sajjan Jindal would attend the AGMs of Tata Steel, Birla Group and Reliance Industries to observe the industry leaders at work.  Today, the role of a good mentor in business is more important than ever, and most HNIs and industrialists are willing to share their knowledge with budding entrepreneurs. Some have even created platforms to exchange such ideas. The scene, however, was very different in the mid-1980s, as JSW Group chairman Sajjan Jindal recalls.  As a young entrepreneur, tasked with the job of turning a sick steel unit into a profitable one and creating a legacy of his own, Jindal didn’t have the “good fortune” of having access to such platforms. So, what did he do? He attended AGMs of other companies like Tata Steel, Reliance Industries and Birla Group.  From the AGMs, Jindal says, he gained insight into how the business leaders of the day tackled stressful situations.  “I would sit in a corner [at the Tata Steel AGMs] and look at the chairman [JRD Tata]. Even Dhirubhai Ambani. Every year, as a ritual, I would sit in the meetings and just observe them. What their reaction was,” says Jindal.  The way each industry leader handled shareholder queries or complaints also gave a peek into their personality. “For instance, Dhirubhai Ambani would react to the shareholders. If someone complained, he would respond very passionately. Aditya Birla would reply calmly, while JRD Tata would just make copious notes till the end of the AGM. Then he would say, ‘My CFO or company secretary will take care of all your questions’. So, as a young person, I learnt a lot from these stalwarts of Indian industry,” Jindal says.  Hero worship It’s no secret that Jindal is an admirer of Jamsetji Tata. When building his own steel factory, his benchmark was Tata Steel. “Jamsetji Tata built the steel plant when there were no drones or satellites to tell you about the location of minerals. Still, he could find the best location in the world to build Tata Steel,” Jindal says. “Jamshedpur is close to the iron ore and coking coal. There cannot be a better site in the world to build a steel plant. I often wonder how he managed to find such an amazing site way back in 1890-95. That’s why he was a real hero for me.”",http://economictimes.indiatimes.com/magazines/panache/master-class-sajjan-jindal-learnt-business-skills-by-attending-agms-of-tata-steel-reliance-industries/articleshow/62503130.cms
2018-01-18,"Tata Steel has launched two new products, Tata Aggreto and Tata Nirman, India’s first branded LD slag products for applications in road, fly ash brick and clinker making.The addition of these two branded products in Tata Steel’s portfolio will be significant for the company and the industry at large, since it marks the first foray by any domestic steel major in branding processed steel slag. The two new brands were unveiled by Anand Sen, President TQM & Steel Business, Tata Steel, at the IBMD’s (Industrial By-Products Management Division) Customer Meet held in Kolkata on Tuesday.The IBMD division caters to a wide range of Industrial By-Products produced by Tata Steel that serve as key raw materials for various industries. The company also has pioneered value creation out of by-products as part of its quest to contribute to a sustainable ecosystem. The launch of the two new brands Tata Aggreto (branded LD Slag for usage as road aggregates) and Tata Nirman (branded LD Slag for use in fly ash brick and clinker making) is part of that journey, an official statement said.Speaking on the launch of the brands, T V Narendran, CEO & MD, Tata Steel, said: “We at Tata Steel are extremely happy to have launched Tata Aggreto and Tata Nirman, which are designed to create value for customers, end users and Tata Steel.” He added that, “Tata Steel has always believed in sustainable growth and we are on a journey to reduce the carbon footprint. The launch of Tata Aggreto and Tata Nirman will help us progress further in this journey.” Tata Aggreto is produced out of 0-65 mm processed LD slag with four different size ranges for convenience in design mix. Owing to its size and texture, it is suitable for use in bituminous and concrete road construction. Tata Nirman, produced from 0-6mm LD Slag, can be used as a replacement of sand and lime in fly ash bricks, whereas it can partially replace lime in clinker making.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/tata-steel-launches-indias-first-branded-ld-slag-products/articleshow/62555187.cms
2018-01-19,"MUMBAI - Tata Steel has raised 1.3 billion by selling dollar-denominated bonds to overseas investors, who rushed to grab the high-yielding securities. The company has obtained oversubscription in excess of $7 billion reflecting strong investment appetite for such papers.The bonds were in two tranches including $300 million with 5.5 year maturity and $ 1 billion with 10-year maturity. They have offered 4.45% and 5.45% respectively.“The proceeds of the bonds will be used to refinance the offshore obligations of the group, which will help de-risk the balance sheet, enhance financial flexibility, diversify the investor base and improve the overall debt maturity profile,” said Koushik Chatterjee, ED and CFO of Tata Steel in a release on Friday.Last week, ET reported, Tata Steel was set to raise a $1-billion bond issue as part of a mega financing exercise to streamline its international balance sheet before its European joint venture with Thyssenkrupp kicks off.“The tremendous response enabled the issue to be priced about 42 bps tighter than the initial price thoughts on both the tranches,” the company said in a release.Over a dozen global banks have been mandated for the issue. They include BofA Merrill Lynch, JPMorgan, HSBC, StanChart, Barclays, Morgan Stanley.Abja Investment Co Pte Ltd, a wholly owned subsidiary of Tata Steel was the actual issuer of the bonds, rated as BB- by S&P, two notches lower than investment grade. Those will be listed on the Singapore Exchange (SGX).The deal was distributed to a wide number of long term institutional investors, banks and private banks across regions.The bond-sale is known as Regulation S, where are bonds are offered to investors outside investors.",http://economictimes.indiatimes.com/markets/bonds/tata-steel-raises-1-3-billion-via-dollar-bonds-at-a-tighter-price/articleshow/62567079.cms
2018-01-22,"MUMBAI: Tata Steel in association with the Indian Institute of Metals on Monday announced the 7th Asia Steel International Conference to be held in Bhubhaneshwar from February 6 to 9.The conference will address and focus on different challenges faced by the steel industry like optimising specific consumption of raw materials, especially coke and iron ore, usage of low-grade raw materials, along with decreasing the energy consumption in various ironmaking and steelmaking operations and, thereby, reducing carbon dioxide emissions.It will also be a platform for steel experts to discuss new surface treatments, innovative and green technologies for ironmaking and promoting automation and digitization in steel industry as well.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/tata-steel-and-indian-institute-of-metals-announce-7th-asia-steel-international-conference/articleshow/62606949.cms
2018-01-23,"KOLKATA: Tata Steel is keen on pursuing every opportunity to acquire stressed steel assets that can help it expand capacity in the domestic market, the company’s managing director has said. This comes at a critical time as several debt-ridden steel companies like Essar Steel, Electrosteel Steels, and Bhushan Steel are undergoing bankruptcy proceedings under the dedicated insolvency court –– the NCLT (National Company Law Tribunal).“Such inorganic opportunities come once in a while and we need to pursue them. It is a great opportunity for anyone in the steel industry that has the appetite and ambition to grow in India and steel industry is one of the pioneers in India,” TV Narendran, MD, Tata Steel, said.“We have announced our plans to raise capacity in India. We see great opportunity to grow in India. We are well positioned because we have organic and inorganic opportunities to grow,” Narendran said. He was speaking on the sidelines of the Tata Literary Meet which opened in the city on Monday.“Kalinganager has shaped up well. It is in full production and it is the right time to start work on the second phase which has already been approved by the board,” he added. The company is raising ₹12,800 crore through a mega rights issue that will go into creating additional steel capacity of 5 million tonne in Odisha.Narendran’s comments come close on the heels of Tata Steel announcing a mega bond issue of $1.38 billion last Friday that the company said will help refinance part of its debt in Europe and pave the way for its possible merger of its steel business in Europe with Thyssenkrupp of Germany.Commenting on the Budget expectations, Narendran said the steel industry and Tata Steel would benefit if the government invests more in infrastructure.“You cannot build infrastructure without steel. It forms the biggest component of the steel policy. Secondly, better infra reduces cost of production since logistics remains abig issue in India and drags down production cost. We are also seeing demand coming from construction and rural sectors,” he said.",http://economictimes.indiatimes.com/industry/indl-goods/svs/steel/tata-steel-keen-to-buy-stressed-assets-md-tv-narendran/articleshow/62612350.cms
