user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
MarketMagnifyMM,MarketMagnify Investment Advisor,1030342944518156288,2018-08-17 06:37:55,/MarketMagnifyMM/status/1030342944518156288,0,0,0,"#Metal stocks gain on following rally in global commodities; #Tata Steel, JSPL jump 2-3%
for more #Market updates, #Teading updates call on 7879881122 or visit http://www.marketmagnify.com ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Metal?src=hash""><s>#</s><b>Metal</b></a> stocks gain on following rally in global commodities; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tata?src=hash""><s>#</s><b><strong>Tata</strong></b></a> <strong>Steel</strong>, JSPL jump 2-3%
for more <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Market?src=hash""><s>#</s><b>Market</b></a> updates, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Teading?src=hash""><s>#</s><b>Teading</b></a> updates call on 7879881122 <strong>or</strong> visit <a class=""twitter-timeline-link"" data-expanded-url=""http://www.marketmagnify.com"" dir=""ltr"" href=""https://t.co/HSZmFukciO"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.marketmagnify.com""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">marketmagnify.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
John50865218,John #DrainTheSwamp #MBGA #LeaveMeansLeave,1029832230305259527,2018-08-15 20:48:31,/John50865218/status/1029832230305259527,0,0,0,"Numb nut. Tata Steel is Indian, Liberty Steel is Turkish or something. Only BRITISH Steel is actually a BRITISH company. The clues in the name Jeremy!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Numb nut. <strong>Tata Steel</strong> is Indian, Liberty <strong>Steel</strong> is Turkish <strong>or</strong> something. Only BRITISH <strong>Steel</strong> is actually a BRITISH company. The clues in the name Jeremy!!</p>"
Oreng_Social,Oreng,1029253953849044993,2018-08-14 06:30:39,/Oreng_Social/status/1029253953849044993,0,0,0,"Tata Steel shares zoom 3% on stellar Q1 show as profit doubles, should you buy or sell stock? https://oreng.co.in/markets/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-stock/ …pic.twitter.com/GJrfEYAdCL","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tata Steel</strong> shares zoom 3% on stellar Q1 show as profit doubles, should you buy <strong>or</strong> sell stock? <a class=""twitter-timeline-link"" data-expanded-url=""https://oreng.co.in/markets/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-stock/"" dir=""ltr"" href=""https://t.co/WfIltpj8yI"" rel=""nofollow noopener"" target=""_blank"" title=""https://oreng.co.in/markets/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-stock/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">oreng.co.in/markets/tata-s</span><span class=""invisible"">teel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-stock/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GJrfEYAdCL"">pic.twitter.com/GJrfEYAdCL</a></p>"
FEMarkets,FEMarkets,1029239721246031879,2018-08-14 05:34:06,/FEMarkets/status/1029239721246031879,0,0,0,"Tata Steel shares zoom 3% on stellar Q1 show as profit doubles, should you buy or sell stock? https://www.financialexpress.com/market/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-shares/1280045/ … via @FinancialXpress","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tata Steel</strong> shares zoom 3% on stellar Q1 show as profit doubles, should you buy <strong>or</strong> sell stock? <a class=""twitter-timeline-link"" data-expanded-url=""https://www.financialexpress.com/market/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-shares/1280045/"" dir=""ltr"" href=""https://t.co/3OB0jtevkq"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.financialexpress.com/market/tata-steel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-shares/1280045/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">financialexpress.com/market/tata-st</span><span class=""invisible"">eel-shares-zoom-3-on-stellar-q1-show-as-profit-doubles-should-you-buy-or-sell-shares/1280045/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""50279781"" dir=""ltr"" href=""/FinancialXpress""><s>@</s><b>FinancialXpress</b></a></p>"
sefindia,Structural Engineers,1029217059496837120,2018-08-14 04:04:03,/sefindia/status/1029217059496837120,0,0,0,"RE: Is TMT safe: Dr. N. Subramanian Subject: Re: Is TMT safe Posted: Tue Aug 14, 2018 3:57 am Dear Er Ramachandran Please look into the catalog/brochure published by TATA steel regarding their manufacturing process. Or refer pp. 25 of my RC Design book. … http://dlvr.it/QfpMz3 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">RE: Is TMT safe: Dr. N. Subramanian Subject: Re: Is TMT safe Posted: Tue Aug 14, 2018 3:57 am Dear Er Ramachandran Please look into the catalog/brochure published by <strong>TATA steel</strong> regarding their manufacturing process. <strong>Or</strong> refer pp. 25 of my RC Design book. … <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/QfpMz3"" dir=""ltr"" href=""https://t.co/eiwgVhL9wn"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/QfpMz3""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/QfpMz3</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
AnilSinghviZEE,Anil Singhvi Zee Business,1029205587513360384,2018-08-14 03:18:28,/AnilSinghviZEE/status/1029205587513360384,33,4,5,"14th August Strategy:

No stock Enter or out of F&O Ban

Already in Ban: Adani Ent, Adani Power, PNB, Jet Air
 
Results Impact:
 
Tata Steel: Strong results
DHFL: Neutral to positive results

@ZeeBusiness","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">14th August Strategy:

No stock Enter <strong>or</strong> out of F&amp;O Ban

Already in Ban: Adani Ent, Adani Power, PNB, Jet Air
 
Results Impact:
 
<strong>Tata Steel</strong>: Strong results
DHFL: Neutral to positive results

<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""140798905"" dir=""ltr"" href=""/ZeeBusiness""><s>@</s><b>ZeeBusiness</b></a></p>"
AshVerma111,Ashish Verma,1029188676172095488,2018-08-14 02:11:16,/AshVerma111/status/1029188676172095488,9,0,1,"#ResultReview TATA STEEL
#Alert Not Comparable YoY or With Poll Coz of Consolidation of Bhushan Steel Financials

 India Biz EBIDTA/Ton @ 17252 Vs 10623 (Little Lower Than Exp of 18500)
Europe EBITDA/Ton Up 28% @ $102 vs $ 79 (Exp<80)

@CNBC_Awaaz #Q1WithAwaaz","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ResultReview?src=hash""><s>#</s><b>ResultReview</b></a> <strong>TATA STEEL</strong>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Alert?src=hash""><s>#</s><b>Alert</b></a> Not Comparable YoY <strong>or</strong> With Poll Coz of Consolidation of Bhushan <strong>Steel</strong> Financials

<img alt=""😐"" aria-label=""Emoji: Neutral face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f610.png"" title=""Neutral face""/> India Biz EBIDTA/Ton @ 17252 Vs 10623 (Little Lower Than Exp of 18500)
<img alt=""😃"" aria-label=""Emoji: Smiling face with open mouth"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f603.png"" title=""Smiling face with open mouth""/><img alt=""👍🏻"" aria-label=""Emoji: Thumbs up sign (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f44d-1f3fb.png"" title=""Thumbs up sign (light skin tone)""/>Europe EBITDA/Ton Up 28% @ $102 vs $ 79 (Exp&lt;80)

<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""116112129"" dir=""ltr"" href=""/CNBC_Awaaz""><s>@</s><b>CNBC_Awaaz</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Q1WithAwaaz?src=hash""><s>#</s><b>Q1WithAwaaz</b></a></p>"
kndgrc,#KNDfrintegrity,1029068138623553537,2018-08-13 18:12:18,/kndgrc/status/1029068138623553537,0,0,0,"@dasraghubar @PMOIndia It's been nearly 4.5 years since then power supply of chandi grid to Mango has hardly improved . It has very little improvement ,but break downs are very frequent .Kindly get it connected to either bahuguna grid or offer us Tata Steel Supply.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3123339037"" dir=""ltr"" href=""/dasraghubar""><s>@</s><b>dasraghubar</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""471741741"" dir=""ltr"" href=""/PMOIndia""><s>@</s><b>PMOIndia</b></a> It's been nearly 4.5 years since then power supply of chandi grid to Mango has hardly improved . It has very little improvement ,but break downs are very frequent .Kindly get it connected to either bahuguna grid <strong>or</strong> offer us <strong>Tata Steel</strong> Supply.</p>"
rakhimET,Rakhi Mazumdar,1029011136643915781,2018-08-13 14:25:47,/rakhimET/status/1029011136643915781,0,0,0,"Tata Steel board has approved issue of debt securities of up to Rs 12,000 crore in the form of Non-Convertible Debentures (NCDs) on private placement basis in one or more tranches.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tata Steel</strong> board has approved issue of debt securities of up to Rs 12,000 crore in the form of Non-Convertible Debentures (NCDs) on private placement basis in one <strong>or</strong> more tranches.</p>"
Epic_Research,Epic Research,1028895465457123328,2018-08-13 06:46:09,/Epic_Research/status/1028895465457123328,3,0,3,"#TataSteel slides ahead of Q1 earnings; key figures

Tata Steel came off 1 percent early Monday ahead of its financial results for the quarter ended June.

#WhatsApp ✆ – 7049084664 or Visit: http://www.epicresearch.co/festive-offers 
#IndependenceDayOffer #FreedomSale #EpicResearch #StockMarketpic.twitter.com/lULARDagbr","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TataSteel?src=hash""><s>#</s><b><strong>TataSteel</strong></b></a> slides ahead of Q1 earnings; key figures

<strong>Tata Steel</strong> came off 1 percent early Monday ahead of its financial results for the quarter ended June.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WhatsApp?src=hash""><s>#</s><b>WhatsApp</b></a> ✆ – 7049084664 <strong>or</strong> Visit: <a class=""twitter-timeline-link"" data-expanded-url=""http://www.epicresearch.co/festive-offers"" dir=""ltr"" href=""https://t.co/1mG7WGlmnM"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.epicresearch.co/festive-offers""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">epicresearch.co/festive-offers</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IndependenceDayOffer?src=hash""><s>#</s><b>IndependenceDayOffer</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FreedomSale?src=hash""><s>#</s><b>FreedomSale</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EpicResearch?src=hash""><s>#</s><b>EpicResearch</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StockMarket?src=hash""><s>#</s><b>StockMarket</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/lULARDagbr"">pic.twitter.com/lULARDagbr</a></p>"
