date,positive,negative,neutral,compound
2018-01-01,0.07,0.03,0.91,0.97
2018-01-02,,,,
2018-01-03,,,,
2018-01-04,,,,
2018-01-05,,,,
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,0.08,0.02,0.9,0.89
2018-01-09,,,,
2018-01-10,0.06,0.03,0.91,0.89
2018-01-11,0.12,0.02,0.85,0.99
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,,,
2018-01-16,0.06,0.03,0.9,0.36
2018-01-17,,,,
2018-01-18,0.12,0.06,0.82,0.99
2018-01-19,0.1,0.01,0.89,0.97
2018-01-20,0.12,0.03,0.85,0.99
2018-01-21,,,,
2018-01-22,0.07,0.06,0.87,0.37
2018-01-23,0.06,0.02,0.92,0.94
2018-01-24,0.08,0.03,0.89,0.99
2018-01-25,0.08,0.02,0.9,0.99
2018-01-26,,,,
2018-01-27,,,,
2018-01-28,0.13,0.0,0.87,0.99
2018-01-29,0.06,0.01,0.93,0.69
2018-01-30,,,,
2018-01-31,0.07,0.09,0.84,-0.99
2018-02-01,0.14,0.02,0.84,0.99
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,0.12,0.02,0.86,0.92
2018-02-09,0.11,0.04,0.86,0.99
2018-02-10,0.1,0.08,0.83,0.93
2018-02-11,0.04,0.06,0.9,-0.82
2018-02-12,0.13,0.0,0.87,0.99
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,0.07,0.02,0.91,0.94
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,0.09,0.01,0.9,0.98
2018-02-19,,,,
2018-02-20,0.04,0.05,0.92,0.13
2018-02-21,0.05,0.03,0.92,0.09
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,0.15,0.02,0.84,1.0
2018-02-26,0.07,0.04,0.88,0.93
2018-02-27,0.13,0.0,0.87,0.99
2018-02-28,0.05,0.04,0.9,0.03
2018-03-01,0.06,0.08,0.86,-0.66
2018-03-02,0.07,0.02,0.91,0.06
2018-03-03,,,,
2018-03-04,0.06,0.06,0.88,0.11
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,0.05,0.01,0.94,0.9
2018-03-08,0.1,0.0,0.89,0.95
2018-03-09,0.09,0.04,0.88,0.95
2018-03-10,0.12,0.01,0.87,0.99
2018-03-11,0.11,0.03,0.86,0.76
2018-03-12,0.07,0.02,0.9,0.83
2018-03-13,,,,
2018-03-14,0.05,0.01,0.94,0.85
2018-03-15,,,,
2018-03-16,0.13,0.01,0.86,0.99
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,0.16,0.0,0.84,1.0
2018-03-20,0.09,0.03,0.88,0.99
2018-03-21,0.06,0.03,0.91,0.89
2018-03-22,0.11,0.02,0.87,0.99
2018-03-23,0.06,0.02,0.92,0.61
2018-03-24,0.13,0.01,0.86,0.99
2018-03-25,,,,
2018-03-26,,,,
2018-03-27,0.09,0.04,0.87,0.97
2018-03-28,,,,
2018-03-29,0.12,0.02,0.86,0.99
2018-03-30,,,,
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,,,
2018-04-03,,,,
2018-04-04,0.16,0.0,0.84,1.0
2018-04-05,,,,
2018-04-06,,,,
2018-04-07,0.08,0.02,0.9,0.91
2018-04-08,,,,
2018-04-09,0.11,0.01,0.89,0.98
2018-04-10,0.08,0.02,0.9,0.25
2018-04-11,0.09,0.01,0.9,0.88
2018-04-12,,,,
2018-04-13,0.12,0.01,0.88,0.99
2018-04-14,,,,
2018-04-15,0.09,0.03,0.88,0.96
2018-04-16,0.07,0.04,0.89,0.93
2018-04-17,,,,
2018-04-18,,,,
2018-04-19,0.05,0.05,0.9,-0.16
2018-04-20,0.05,0.01,0.94,0.9
2018-04-21,0.17,0.0,0.83,1.0
2018-04-22,,,,
2018-04-23,,,,
2018-04-24,0.06,0.02,0.92,0.94
2018-04-25,0.04,0.01,0.95,0.91
2018-04-26,,,,
2018-04-27,0.1,0.03,0.87,0.98
2018-04-28,,,,
2018-04-29,0.04,0.02,0.93,0.02
2018-04-30,0.12,0.03,0.85,0.99
2018-05-01,,,,
2018-05-02,0.01,0.04,0.94,-0.92
2018-05-03,0.08,0.02,0.9,0.97
2018-05-04,0.07,0.04,0.89,0.93
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,0.1,0.01,0.89,0.97
2018-05-08,,,,
2018-05-09,0.05,0.02,0.92,0.18
