,positive,negative,neutral,compound
2018-01-01,,,,
2018-01-02,0.07,0.18,0.75,-0.78
2018-01-03,,,,
2018-01-04,0.07,0.0,0.93,0.27
2018-01-05,,,,
2018-01-06,0.2,0.0,0.8,0.84
2018-01-07,0.05,0.06,0.89,0.07
2018-01-08,,,,
2018-01-09,,,,
2018-01-10,,,,
2018-01-11,0.04,0.15,0.81,-0.5
2018-01-12,,,,
2018-01-13,0.26,0.0,0.74,0.95
2018-01-14,0.0,0.19,0.81,-0.62
2018-01-15,0.05,0.05,0.9,0.0
2018-01-16,0.06,0.04,0.9,0.13
2018-01-17,,,,
2018-01-18,0.25,0.03,0.72,0.57
2018-01-19,0.12,0.04,0.85,0.2
2018-01-20,0.0,0.0,1.0,0.0
2018-01-21,,,,
2018-01-22,0.35,0.0,0.65,0.72
2018-01-23,0.08,0.0,0.92,0.3
2018-01-24,0.07,0.0,0.93,0.45
2018-01-25,0.2,0.0,0.8,0.84
2018-01-26,,,,
2018-01-27,0.0,0.0,1.0,0.0
2018-01-28,0.06,0.0,0.94,0.26
2018-01-29,,,,
2018-01-30,0.24,0.0,0.76,0.75
2018-01-31,0.0,0.0,1.0,0.0
2018-02-01,,,,
2018-02-02,0.18,0.0,0.82,0.84
2018-02-03,0.0,0.0,1.0,0.0
2018-02-04,0.11,0.06,0.83,0.26
2018-02-05,0.0,0.0,1.0,0.0
2018-02-06,,,,
2018-02-07,0.0,0.05,0.95,-0.18
2018-02-08,0.09,0.07,0.84,0.18
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,0.03,0.12,0.85,-0.44
2018-02-14,,,,
2018-02-15,0.14,0.14,0.72,0.22
2018-02-16,,,,
2018-02-17,0.05,0.09,0.85,-0.01
2018-02-18,0.07,0.1,0.83,-0.16
2018-02-19,0.07,0.04,0.89,0.07
2018-02-20,0.08,0.14,0.78,-0.16
2018-02-21,0.21,0.09,0.7,0.71
2018-02-22,0.01,0.09,0.9,-0.27
2018-02-23,0.11,0.0,0.89,0.56
2018-02-24,0.07,0.0,0.93,0.25
2018-02-25,,,,
2018-02-26,0.03,0.25,0.72,-0.26
2018-02-27,,,,
2018-02-28,0.0,0.0,1.0,0.0
2018-03-01,0.08,0.06,0.86,0.13
2018-03-02,0.08,0.1,0.82,0.12
2018-03-03,0.06,0.04,0.9,0.19
2018-03-04,0.11,0.04,0.85,0.36
2018-03-05,,,,
2018-03-06,0.0,0.0,1.0,0.0
2018-03-07,,,,
2018-03-08,0.18,0.04,0.78,0.46
2018-03-09,0.0,0.18,0.82,-0.72
2018-03-10,,,,
2018-03-11,0.0,0.07,0.93,-0.34
2018-03-12,,,,
2018-03-13,0.05,0.03,0.92,0.06
2018-03-14,0.09,0.0,0.91,0.34
2018-03-15,,,,
2018-03-16,,,,
2018-03-17,,,,
2018-03-18,0.1,0.0,0.9,0.32
2018-03-19,,,,
2018-03-20,,,,
2018-03-21,0.12,0.2,0.68,-0.7
2018-03-22,,,,
2018-03-23,0.14,0.0,0.86,0.45
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,0.23,0.0,0.77,0.66
2018-03-27,0.1,0.06,0.84,0.25
2018-03-28,0.1,0.07,0.83,0.27
2018-03-29,0.0,0.0,1.0,0.0
2018-03-30,0.0,0.0,1.0,0.0
2018-03-31,,,,
2018-04-01,0.1,0.0,0.9,0.53
2018-04-02,0.0,0.0,1.0,0.0
2018-04-03,,,,
2018-04-04,0.0,0.08,0.92,-0.22
