user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
ItsNotMe000,davrosindalekland,816433962704846848,2017-01-03 23:59:59,/ItsNotMe000/status/816433962704846848,0,0,0,On HBO?.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">On HBO?.</p>"
SalvadorMonto20,Salvador Montoya,816433962696527872,2017-01-03 23:59:59,/SalvadorMonto20/status/816433962696527872,0,0,0,# nocompresuncarroford,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""># nocompresuncarroford</p>"
JackieSharp,Rep. Jackie Sharp,816433962432139264,2017-01-03 23:59:59,/JackieSharp/status/816433962432139264,11,1,3,will you be resigning and asking @BarackObama to serve a 3rd term (after a constitutional amendment)?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">will you be resigning and asking <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""813286"" dir=""ltr"" href=""/BarackObama""><s>@</s><b>BarackObama</b></a> to serve a 3rd term (after a constitutional amendment)?</p>"
jheffron48,Happy Days Ahead,816433961362669568,2017-01-03 23:59:59,/jheffron48/status/816433961362669568,0,0,0,it's called NAFTA.  #DTS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">it's called NAFTA.  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DTS?src=hash""><s>#</s><b>DTS</b></a></p>"
Godspkr1951,WARRIOR ANGEL,816433960389640192,2017-01-03 23:59:59,/Godspkr1951/status/816433960389640192,1,0,1,TRUMP PPL KNEW this.MEDIASELLINGBS USADONTTRUST.all LIES.TRUMP elected legally &lawfully.usa voter's.JAN20LEADERSHIP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>TRUMP</strong> PPL KNEW this.MEDIASELLINGBS USADONTTRUST.all LIES.<strong>TRUMP</strong> elected legally &amp;lawfully.usa voter's.JAN20LEADERSHIP</p>"
TrumpTrumpsAll2,UK For Trump!,816433960234446848,2017-01-03 23:59:59,/TrumpTrumpsAll2/status/816433960234446848,0,0,0,pic.twitter.com/gzriKRkS45,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gzriKRkS45"">pic.twitter.com/gzriKRkS45</a></p>"
pinsanorg,Pinsan,816433959957647360,2017-01-03 23:59:59,/pinsanorg/status/816433959957647360,0,0,0,Trump is looking to be the worst case scenario for abortion rights http://fb.me/6RbYL3VPP ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Trump</strong> is looking to be the worst case scenario for abortion rights <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://fb.me/6RbYL3VPP"" dir=""ltr"" href=""https://t.co/fXWcXXVQPQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/6RbYL3VPP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/6RbYL3VPP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
strangeah,Fergus Fendegreese,816433959676637184,2017-01-03 23:59:59,/strangeah/status/816433959676637184,0,0,0,"""Trump is already delivering the jobs he promised America"" http://ln.is/r2iaq  by #realDonaldTrump via @c0nvey","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""<strong>Trump</strong> is already delivering the jobs he promised America"" <a class=""twitter-timeline-link"" data-expanded-url=""http://ln.is/r2iaq"" dir=""ltr"" href=""https://t.co/qrjhJU63Lh"" rel=""nofollow noopener"" target=""_blank"" title=""http://ln.is/r2iaq""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ln.is/r2iaq</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/realDonaldTrump?src=hash""><s>#</s><b>realDonaldTrump</b></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""750282011160481792"" dir=""ltr"" href=""/c0nvey""><s>@</s><b>c0nvey</b></a></p>"
samkamkor,Sammy Kampbell,816433957843537921,2017-01-03 23:59:58,/samkamkor/status/816433957843537921,0,0,0,Trump should make a Trump U grad the head of the Education Department.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Trump</strong> should make a <strong>Trump</strong> U grad the head of the Education Department.</p>"
TNM_ORG,Proud Deplorable,816433957566676992,2017-01-03 23:59:58,/TNM_ORG/status/816433957566676992,0,0,0,cant wait!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">cant wait!!</p>"
