,positive,negative,neutral,compound
2018-01-01,0.1,0.01,0.89,0.36
2018-01-02,0.09,0.08,0.83,0.11
2018-01-03,0.06,0.09,0.85,-0.09
2018-01-04,0.05,0.03,0.92,0.08
2018-01-05,0.12,0.04,0.84,0.28
2018-01-06,0.09,0.04,0.87,0.22
2018-01-07,,,,
2018-01-08,0.08,0.13,0.79,-0.16
2018-01-09,0.13,0.03,0.84,0.31
2018-01-10,0.34,0.01,0.65,0.81
2018-01-11,0.08,0.06,0.85,0.07
2018-01-12,0.09,0.06,0.85,0.09
2018-01-13,0.12,0.03,0.85,0.32
2018-01-14,0.08,0.12,0.8,-0.18
2018-01-15,0.08,0.08,0.84,0.01
2018-01-16,0.12,0.13,0.75,-0.17
2018-01-17,0.08,0.06,0.86,0.09
2018-01-18,0.08,0.05,0.86,0.15
2018-01-19,0.13,0.07,0.8,0.18
2018-01-20,0.12,0.05,0.83,0.3
2018-01-21,0.13,0.06,0.81,0.21
2018-01-22,0.11,0.05,0.84,0.27
2018-01-23,0.11,0.03,0.86,0.31
2018-01-24,0.11,0.07,0.82,0.11
2018-01-25,0.06,0.15,0.78,-0.23
2018-01-26,0.11,0.06,0.84,0.24
2018-01-27,0.11,0.05,0.84,0.16
2018-01-28,0.05,0.01,0.94,0.08
2018-01-29,0.1,0.07,0.82,0.06
2018-01-30,0.08,0.07,0.85,0.05
2018-01-31,0.13,0.04,0.83,0.33
2018-02-01,0.11,0.04,0.85,0.3
2018-02-02,0.07,0.06,0.87,0.12
2018-02-03,0.15,0.05,0.81,0.43
2018-02-04,0.08,0.05,0.86,0.11
2018-02-05,0.12,0.06,0.82,0.19
2018-02-06,0.15,0.02,0.82,0.45
2018-02-07,,,,
2018-02-08,0.12,0.06,0.82,0.17
2018-02-09,0.14,0.06,0.79,0.19
2018-02-10,0.35,0.01,0.64,0.76
2018-02-11,0.09,0.05,0.86,0.17
2018-02-12,0.1,0.09,0.81,0.11
2018-02-13,0.15,0.06,0.79,0.31
2018-02-14,0.15,0.08,0.76,0.18
2018-02-15,0.11,0.07,0.82,0.17
2018-02-16,0.1,0.09,0.81,0.02
2018-02-17,0.09,0.08,0.83,0.05
2018-02-18,0.12,0.04,0.84,0.22
2018-02-19,0.1,0.05,0.85,0.21
2018-02-20,0.09,0.03,0.88,0.24
2018-02-21,0.08,0.04,0.87,0.18
2018-02-22,0.12,0.05,0.83,0.28
2018-02-23,0.09,0.05,0.86,0.17
2018-02-24,0.09,0.04,0.87,0.22
2018-02-25,0.08,0.09,0.83,0.03
2018-02-26,0.13,0.04,0.83,0.23
2018-02-27,0.12,0.07,0.81,0.24
2018-02-28,0.05,0.04,0.91,0.04
2018-03-01,0.13,0.05,0.83,0.33
2018-03-02,0.1,0.08,0.83,0.11
2018-03-03,0.08,0.06,0.86,0.05
2018-03-04,0.1,0.06,0.83,0.15
2018-03-05,0.11,0.07,0.82,0.13
2018-03-06,0.09,0.04,0.87,0.12
2018-03-07,,,,
2018-03-08,0.09,0.07,0.84,0.16
2018-03-09,0.1,0.07,0.83,0.07
2018-03-10,0.31,0.01,0.68,0.78
2018-03-11,0.09,0.07,0.84,0.09
2018-03-12,0.08,0.13,0.79,-0.12
2018-03-13,0.09,0.07,0.84,0.08
2018-03-14,0.12,0.05,0.83,0.28
2018-03-15,0.11,0.05,0.84,0.3
2018-03-16,0.16,0.05,0.79,0.35
2018-03-17,0.1,0.02,0.88,0.33
2018-03-18,0.15,0.04,0.81,0.42
2018-03-19,0.12,0.05,0.83,0.23
2018-03-20,0.09,0.08,0.82,0.02
2018-03-21,0.11,0.1,0.79,0.03
2018-03-22,0.11,0.06,0.83,0.21
2018-03-23,0.08,0.06,0.86,0.13
2018-03-24,0.11,0.07,0.82,0.22
2018-03-25,0.06,0.11,0.84,-0.05
2018-03-26,0.09,0.12,0.79,-0.06
2018-03-27,0.11,0.07,0.82,0.15
2018-03-28,0.13,0.05,0.82,0.29
2018-03-29,0.09,0.06,0.85,0.15
2018-03-30,0.11,0.06,0.83,0.19
2018-03-31,0.11,0.07,0.83,0.16
2018-04-01,0.09,0.07,0.85,0.09
2018-04-02,0.07,0.06,0.87,-0.01
